符合條件商品
資料日期：2022年  1月 20日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-20 20:28 符合檔數(1446)
257	,2208.TW,台船,20.8,0,998,0.64,0.56,0.62,0.1,0.53,0.6
258	,2211.TW,長榮鋼,54.5,2.06,547,0.54,0.63,0.26,0,0.71,0.46
259	,2221.TW,大甲,36.85,0.96,61,0.6,0.42,0.43,0,0.59,0.43
260	,2228.TW,劍麟,69.4,0,43,0.57,0.58,0.27,0,0.06,0.53
261	,2230.TW,泰茂,14.9,0.34,12,0.46,0.51,0,0,0.06,0.06
262	,2231.TW,為升,184,1.1,202,0.62,0.56,0.68,0.51,0.56,0.5
263	,2233.TW,宇隆,114,5.56,1876,0.52,0.48,0.57,0.67,0.41,0.46
264	,2235.TW,謚源,38.2,-0.52,8,0.35,0.44,0,0,0,0
265	,2236.TW,百達-KY,27.3,-1.97,17,0.56,0.56,0.33,0,0,0.22
266	,2239.TW,英利-KY,85.6,0.47,73,0.55,0.66,0.52,0.07,0.38,0.5
267	,2241.TW,艾姆勒,49.75,0.1,165,0.69,0.56,0.28,0,0.36,0.48
268	,2243.TW,宏旭-KY,17.05,1.19,45,0.56,0.46,0.04,0,0.5,0.39
269	,2247.TW,汎德永業,213,0.71,19,0.47,0.57,0.26,0,0,0.47
270	,2250.TW,IKKA-KY,111.5,0.9,44,0.83,0.42,0,0,0.5,0.33
271	,2301.TW,光寶科,63.7,0.16,3372,0.42,0.52,0.48,0.66,0.6,0.38
272	,2302.TW,麗正,15.85,0.32,79,0.56,0.54,0.35,0,0.51,0.42
273	,2303.TW,聯電,63.5,1.11,62252,0.52,0.74,0.7,0.52,0.7,0.52
274	,2305.TW,全友,11.15,1.83,2899,0.54,0.76,0.24,0.25,0.4,0.54
275	,2308.TW,台達電,272.5,-0.91,7289,0.4,0.74,0.62,0.6,0.47,0.48
276	,2312.TW,金寶,15.5,0.32,5169,0.58,0.52,0.74,0,0.57,0.44
277	,2313.TW,華通,44.45,0.57,12038,0.44,0.62,0.72,0.49,0.48,0.42
278	,2314.TW,台揚,68.8,0.73,838,0.64,0.66,0.74,0.22,0.55,0.44
279	,2316.TW,楠梓電,35.25,0.43,1246,0.34,0.66,0.35,0,0.52,0.43
280	,2317.TW,鴻海,103,-0.48,29542,0.56,0.76,0.7,0.6,0.46,0.46
281	,2323.TW,中環,12.8,5.79,188786,0.42,0.66,0.6,0.35,0.45,0.48
282	,2324.TW,仁寶,25.45,0,8828,0.5,0.72,0.56,0.54,0.65,0.46
283	,2327.TW,國巨,481.5,-1.23,3624,0.42,0.68,0.7,0.6,0.52,0.46
284	,2328.TW,廣宇,37.2,0.27,1484,0.68,0.6,0.76,0.15,0.56,0.52
285	,2329.TW,華泰,24.35,0.21,2349,0.72,0.62,0.64,0.11,0.6,0.36
286	,2330.TW,台積電,651,-0.46,48996,0.34,0.62,0.58,0.54,0.6,0.5
287	,2331.TW,精英,20.9,-1.65,1369,0.54,0.68,0.7,0.2,0.62,0.64
288	,2332.TW,友訊,17.2,-0.29,974,0.53,0.58,0.72,0.17,0.53,0.53
289	,2337.TW,旺宏,40.05,-0.37,6492,0.5,0.66,0.78,0.54,0.56,0.48
290	,2338.TW,光罩,105.5,2.93,11223,0.68,0.6,0.72,0.71,0.66,0.42
291	,2340.TW,台亞,62,1.64,19010,0.8,0.5,0.78,0.29,0.66,0.52
292	,2342.TW,茂矽,45.5,0.66,812,0.74,0.6,0.49,0,0.62,0.45
293	,2344.TW,華邦電,30.75,0.99,13553,0.66,0.68,0.8,0.48,0.58,0.52
294	,2345.TW,智邦,263.5,-1.5,1963,0.39,0.56,0.64,0.6,0.62,0.48
295	,2347.TW,聯強,68.9,1.32,3322,0.58,0.46,0.57,0.54,0.61,0.32
296	,2348.TW,海悅,112.5,2.27,148,0.54,0.6,0.56,0,0.27,0.32
