"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1516",="2754","亞洲藏壽司","02/17","194","+6.5","+3.47","2022","194","0.49","0.45","0","0.45","0.23","0","0.23","91.8","0","91.8","22'09/16"
"1517",="3062","建漢","02/17","24.95","+0.7","+2.89","2022","24.95","0.07","0.05","0","0.05","0.2","0","0.2","71.4","0","71.4","22'08/26"
"1518",="4128","中天","02/17","66.9","-0.2","-0.3","2022","66.9","0.11","0.04","0.96","1","0.06","1.43","1.49","36.4","873","909","22'08/08"
"1519","2883B","開發金乙特","02/17","8.05","+0.1","+1.26","2022","8.05","","0","0","0","0.02","0","0.02","","","","22'08/03"
"1520",="0057","富邦摩台","02/17","86.55","-0.55","-0.63","2022","86.55","","0","0","0","0","0","0","","","",""
"1521",="0061","元大寶滬深","02/17","19.51","-0.35","-1.76","2022","19.51","","0","0","0","0","0","0","","","",""
"1522",="006205","富邦上証","02/17","32.43","-0.64","-1.94","2022","32.43","","0","0","0","0","0","0","","","",""
"1523",="006206","元大上證50","02/17","31.24","-0.43","-1.36","2022","31.24","","0","0","0","0","0","0","","","",""
"1524",="006207","FH滬深","02/17","25.36","-0.59","-2.27","2022","25.36","","0","0","0","0","0","0","","","",""
"1525","00625K","富邦上証+R","02/17","7.41","0","0","2022","7.41","","0","0","0","0","0","0","","","",""
"1526","00631L","元大台灣50正2","02/17","111.05","-1.9","-1.68","2022","111.05","","0","0","0","0","0","0","","","",""
"1527","00632R","元大台灣50反1","02/17","5.39","+0.05","+0.94","2022","5.39","","0","0","0","0","0","0","","","",""
"1528","00633L","富邦上証正2","02/17","41.55","-1.37","-3.19","2022","41.55","","0","0","0","0","0","0","","","",""
"1529","00634R","富邦上証反1","02/17","4.33","+0.08","+1.88","2022","4.33","","0","0","0","0","0","0","","","",""
"1530","00635U","期元大S&P黃金","02/17","23.34","-0.16","-0.68","2022","23.34","","0","0","0","0","0","0","","","",""
"1531",="00636","國泰中國A50","02/17","22.29","-0.34","-1.5","2022","22.29","","0","0","0","0","0","0","","","",""
"1532","00636K","國泰中國A50+U","02/17","7.35","-0.12","-1.61","2022","7.35","","0","0","0","0","0","0","","","",""
"1533","00637L","元大滬深300正2","02/17","16.39","-0.5","-2.96","2022","16.39","","0","0","0","0","0","0","","","",""
"1534","00638R","元大滬深300反1","02/17","9.06","+0.14","+1.57","2022","9.06","","0","0","0","0","0","0","","","",""
"1535",="00639","富邦深100","02/17","13.39","-0.36","-2.62","2022","13.39","","0","0","0","0","0","0","","","",""
"1536","00640L","富邦日本正2","02/17","29.58","-0.34","-1.14","2022","29.58","","0","0","0","0","0","0","","","",""
"1537","00641R","富邦日本反1","02/17","9.43","+0.07","+0.75","2022","9.43","","0","0","0","0","0","0","","","",""
"1538","00642U","期元大S&P石油","02/17","16.45","-0.29","-1.73","2022","16.45","","0","0","0","0","0","0","","","",""
"1539",="00643","群益深証中小","02/17","15.45","-0.41","-2.59","2022","15.45","","0","0","0","0","0","0","","","",""
"1540","00643K","群益深証中小+R","02/17","3.59","0","0","2022","3.59","","0","0","0","0","0","0","","","",""
"1541",="00645","富邦日本","02/17","26.56","-0.14","-0.52","2022","26.56","","0","0","0","0","0","0","","","",""
"1542",="00646","元大S&P500","02/17","38.29","-0.58","-1.49","2022","38.29","","0","0","0","0","0","0","","","",""
"1543","00647L","元大S&P500正2","02/17","54.9","-2.15","-3.77","2022","54.9","","0","0","0","0","0","0","","","",""
"1544","00648R","元大S&P500反1","02/17","7.15","+0.15","+2.14","2022","7.15","","0","0","0","0","0","0","","","",""
"1545","00650L","FH香港正2","02/17","14.72","-0.57","-3.73","2022","14.72","","0","0","0","0","0","0","","","",""
"1546","00651R","FH香港反1","02/17","8.06","+0.15","+1.9","2022","8.06","","0","0","0","0","0","0","","","",""
"1547",="00652","富邦印度","02/17","29.24","-0.14","-0.48","2022","29.24","","0","0","0","0","0","0","","","",""
"1548","00653L","富邦印度正2","02/17","43.93","-0.6","-1.35","2022","43.93","","0","0","0","0","0","0","","","",""
"1549","00654R","富邦印度反1","02/17","7.93","+0.06","+0.76","2022","7.93","","0","0","0","0","0","0","","","",""
"1550","00655L","國泰中國A50正2","02/17","29.44","-1.01","-3.32","2022","29.44","","0","0","0","0","0","0","","","",""
"1551","00656R","國泰中國A50反1","02/17","8.11","+0.13","+1.63","2022","8.11","","0","0","0","0","0","0","","","",""
"1552",="00657","國泰日經225","02/17","32.5","-0.32","-0.98","2022","32.5","","0","0","0","0","0","0","","","",""
"1553","00657K","國泰日經225+U","02/17","10.71","-0.11","-1.02","2022","10.71","","0","0","0","0","0","0","","","",""
"1554",="00660","元大歐洲50","02/17","31.23","-0.27","-0.86","2022","31.23","","0","0","0","0","0","0","","","",""
"1555",="00661","元大日經225","02/17","34.95","-0.24","-0.68","2022","34.95","","0","0","0","0","0","0","","","",""
"1556",="00662","富邦NASDAQ","02/17","48.38","-1.1","-2.22","2022","48.38","","0","0","0","0","0","0","","","",""
"1557","00663L","國泰臺灣加權正2","02/17","102.05","-1.65","-1.59","2022","102.05","","0","0","0","0","0","0","","","",""
"1558","00664R","國泰臺灣加權反1","02/17","6.07","+0.04","+0.66","2022","6.07","","0","0","0","0","0","0","","","",""
"1559","00665L","富邦恒生國企正2","02/17","9.12","-0.37","-3.9","2022","9.12","","0","0","0","0","0","0","","","",""
"1560","00666R","富邦恒生國企反1","02/17","14.09","+0.32","+2.32","2022","14.09","","0","0","0","0","0","0","","","",""
"1561",="00668","國泰美國道瓊","02/17","37.05","-0.49","-1.31","2022","37.05","","0","0","0","0","0","0","","","",""
"1562","00668K","國泰美國道瓊+U","02/17","12.21","-0.2","-1.61","2022","12.21","","0","0","0","0","0","0","","","",""
"1563","00669R","國泰美國道瓊反1","02/17","7.93","+0.14","+1.8","2022","7.93","","0","0","0","0","0","0","","","",""
"1564","00670L","富邦NASDAQ正2","02/17","60.6","-3.8","-5.9","2022","60.6","","0","0","0","0","0","0","","","",""
"1565","00671R","富邦NASDAQ反1","02/17","5.88","+0.16","+2.8","2022","5.88","","0","0","0","0","0","0","","","",""
"1566","00673R","期元大S&P原油反1","02/17","8.8","+0.16","+1.85","2022","8.8","","0","0","0","0","0","0","","","",""
"1567","00674R","期元大S&P黃金反1","02/17","12.93","+0.08","+0.62","2022","12.93","","0","0","0","0","0","0","","","",""
"1568","00675L","富邦臺灣加權正2","02/17","44.5","-0.69","-1.53","2022","44.5","","0","0","0","0","0","0","","","",""
"1569","00676R","富邦臺灣加權反1","02/17","3.35","+0.03","+0.9","2022","3.35","","0","0","0","0","0","0","","","",""
"1570",="00678","群益NBI生技","02/17","25.71","-0.38","-1.46","2022","25.71","","0","0","0","0","0","0","","","",""
"1571","00680L","元大美債20正2","02/17","11.16","-0.45","-3.88","2022","11.16","","0","0","0","0","0","0","","","",""
"1572","00681R","元大美債20反1","02/17","18.65","+0.39","+2.14","2022","18.65","","0","0","0","0","0","0","","","",""
"1573","00682U","期元大美元指數","02/17","20.79","+0.15","+0.73","2022","20.79","","0","0","0","0","0","0","","","",""
"1574","00683L","期元大美元指正2","02/17","22.07","+0.34","+1.56","2022","22.07","","0","0","0","0","0","0","","","",""
"1575","00684R","期元大美元指反1","02/17","15.86","-0.1","-0.63","2022","15.86","","0","0","0","0","0","0","","","",""
"1576","00685L","群益臺灣加權正2","02/17","39.48","-0.57","-1.42","2022","39.48","","0","0","0","0","0","0","","","",""
"1577","00686R","群益臺灣加權反1","02/17","3.63","+0.03","+0.83","2022","3.63","","0","0","0","0","0","0","","","",""
"1578","00688L","國泰20年美債正2","02/17","11.03","-0.46","-4","2022","11.03","","0","0","0","0","0","0","","","",""
"1579","00689R","國泰20年美債反1","02/17","19.29","+0.41","+2.17","2022","19.29","","0","0","0","0","0","0","","","",""
"1580","00693U","期街口S&P黃豆","02/17","27.17","+0.07","+0.26","2022","27.17","","0","0","0","0","0","0","","","",""
"1581",="00700","富邦恒生國企","02/17","13.45","-0.25","-1.82","2022","13.45","","0","0","0","0","0","0","","","",""
"1582",="00703","台新MSCI中國","02/17","16.87","-0.33","-1.92","2022","16.87","","0","0","0","0","0","0","","","",""
"1583","00706L","期元大S&P日圓正2","02/17","9.75","-0.12","-1.22","2022","9.75","","0","0","0","0","0","0","","","",""
"1584","00707R","期元大S&P日圓反1","02/17","24.18","+0.14","+0.58","2022","24.18","","0","0","0","0","0","0","","","",""
"1585","00708L","期元大S&P黃金正2","02/17","24.46","-0.28","-1.13","2022","24.46","","0","0","0","0","0","0","","","",""
"1586",="00709","富邦歐洲","02/17","24.05","-0.29","-1.19","2022","24.05","","0","0","0","0","0","0","","","",""
"1587","00715L","期街口布蘭特正2","02/17","14.84","-0.49","-3.2","2022","14.84","","0","0","0","0","0","0","","","",""
"1588",="00732","國泰RMB短期報酬","02/17","40.54","+0.05","+0.12","2022","40.54","","0","0","0","0","0","0","","","",""
"1589",="00737","國泰AI+Robo","02/17","27.56","-0.39","-1.4","2022","27.56","","0","0","0","0","0","0","","","",""
"1590","00738U","期元大道瓊白銀","02/17","21.23","-0.3","-1.39","2022","21.23","","0","0","0","0","0","0","","","",""
"1591",="00752","中信中國50","02/17","19.72","-0.27","-1.35","2022","19.72","","0","0","0","0","0","0","","","",""
"1592","00753L","中信中國50正2","02/17","12.35","-0.54","-4.19","2022","12.35","","0","0","0","0","0","0","","","",""
"1593",="00757","統一FANG+","02/17","41.22","-1.51","-3.53","2022","41.22","","0","0","0","0","0","0","","","",""
"1594",="00762","元大全球AI","02/17","35.63","-1.08","-2.94","2022","35.63","","0","0","0","0","0","0","","","",""
"1595","00763U","期街口道瓊銅","02/17","25.85","+0.19","+0.74","2022","25.85","","0","0","0","0","0","0","","","",""
"1596","00768B","FH20年美債","02/17","53.9","-0.95","-1.73","2022","53.9","","0","0","0","0","0","0","","","",""
"1597",="00783","富邦中証500","02/17","21.18","-0.58","-2.67","2022","21.18","","0","0","0","0","0","0","","","",""
"1598",="00851","台新全球AI","02/17","26.88","-0.37","-1.36","2022","26.88","","0","0","0","0","0","0","","","",""
"1599","00852L","國泰美國道瓊正2","02/17","19.35","-0.61","-3.06","2022","19.35","","0","0","0","0","0","0","","","",""
"1600",="00861","元大全球未來通訊","02/17","28.29","-0.33","-1.15","2022","28.29","","0","0","0","0","0","0","","","",""
"1601","00864B","中信美國公債0-1","02/17","40.26","+0.15","+0.37","2022","40.26","","0","0","0","0","0","0","","","",""
"1602","00865B","國泰US短期公債","02/17","39.98","+0.15","+0.38","2022","39.98","","0","0","0","0","0","0","","","",""
"1603",="00875","國泰網路資安","02/17","25.86","-0.44","-1.67","2022","25.86","","0","0","0","0","0","0","","","",""
"1604",="00876","元大全球5G","02/17","27.18","-0.5","-1.81","2022","27.18","","0","0","0","0","0","0","","","",""
"1605",="00877","FH中國5G","02/17","9.97","-0.5","-4.78","2022","9.97","","0","0","0","0","0","0","","","",""
"1606",="00885","富邦越南","02/17","11.51","-0.04","-0.35","2022","11.51","","0","0","0","0","0","0","","","",""
"1607",="00886","永豐美國科技","02/17","19.48","-0.51","-2.55","2022","19.48","","0","0","0","0","0","0","","","",""
"1608",="00887","永豐中國科技50大","02/17","15.19","-0.38","-2.44","2022","15.19","","0","0","0","0","0","0","","","",""
"1609",="00893","國泰智能電動車","02/17","13.4","-0.54","-3.87","2022","13.4","","0","0","0","0","0","0","","","",""
"1610",="00895","富邦未來車","02/17","14.43","-0.5","-3.35","2022","14.43","","0","0","0","0","0","0","","","",""
"1611",="00897","富邦基因免疫生技","02/17","8.18","-0.15","-1.8","2022","8.18","","0","0","0","0","0","0","","","",""
"1612",="00898","國泰基因免疫革命","02/17","7.5","-0.09","-1.19","2022","7.5","","0","0","0","0","0","0","","","",""
"1613",="020000","富邦特選蘋果N","02/17","7.03","0","0","2022","7.03","","0","0","0","0","0","0","","","",""
"1614",="020001","富邦存股雙十N","02/17","8.05","0","0","2022","8.05","","0","0","0","0","0","0","","","",""
"1615",="020002","元富新中國N","02/17","14.02","0","0","2022","14.02","","0","0","0","0","0","0","","","",""
"1616",="020007","凱基臺灣500N","02/17","31.99","0","0","2022","31.99","","0","0","0","0","0","0","","","",""
"1617",="020011","統一微波高息20N","02/17","7.12","0","0","2022","7.12","","0","0","0","0","0","0","","","",""
"1618",="020012","富邦行動通訊N","02/17","6.71","0","0","2022","6.71","","0","0","0","0","0","0","","","",""
"1619",="020015","統一MSCI美低波N","02/17","14.53","0","0","2022","14.53","","0","0","0","0","0","0","","","",""
"1620",="020016","統一MSCI美科技N","02/17","17.49","-0.35","-1.96","2022","17.49","","0","0","0","0","0","0","","","",""
"1621",="020018","統一價值成長30N","02/17","15.52","0","0","2022","15.52","","0","0","0","0","0","0","","","",""
"1622",="020019","統一特選台灣5GN","02/17","12.68","0","0","2022","12.68","","0","0","0","0","0","0","","","",""
"1623","02001B","統一美國政府債N","02/17","8.09","-0.06","-0.74","2022","8.09","","0","0","0","0","0","0","","","",""
"1624","02001L","富邦蘋果正二N","02/17","9.79","-0.23","-2.3","2022","9.79","","0","0","0","0","0","0","","","",""
"1625","02001R","富邦蘋果反一N","02/17","2.82","0","0","2022","2.82","","0","0","0","0","0","0","","","",""
"1626",="020020","元大台股領航N","02/17","6.64","-0.02","-0.3","2022","6.64","","0","0","0","0","0","0","","","",""
"1627",="020022","元大電動車N","02/17","5.42","-0.03","-0.55","2022","5.42","","0","0","0","0","0","0","","","",""
"1628",="020023","元大櫃買半導體N","02/17","4.96","-0.05","-1","2022","4.96","","0","0","0","0","0","0","","","",""
"1629",="020024","兆豐富櫃200N","02/17","5.59","0","0","2022","5.59","","0","0","0","0","0","0","","","",""
"1630",="020025","統一亞洲半導體N","02/17","6.73","-0.1","-1.46","2022","6.73","","0","0","0","0","0","0","","","",""
"1631",="020026","兆豐上櫃ESG電菁N","02/17","4.52","0","0","2022","4.52","","0","0","0","0","0","0","","","",""
"1632",="020027","元大上櫃ESG成長N","02/17","4.5","-0.02","-0.44","2022","4.5","","0","0","0","0","0","0","","","",""
"1633",="020028","元大特選電動車N","02/17","5.23","-0.03","-0.57","2022","5.23","","0","0","0","0","0","0","","","",""
"1634",="020029","元大ESG高股息N","02/17","4.81","0","0","2022","4.81","","0","0","0","0","0","0","","","",""
"1635","02002L","兆豐富櫃200正二N","02/17","5.43","-0.05","-0.91","2022","5.43","","0","0","0","0","0","0","","","",""
"1636",="020030","統一智慧電動車N","02/17","4.18","-0.01","-0.24","2022","4.18","","0","0","0","0","0","0","","","",""
"1637",="1102","亞泥","02/17","42.85","+0.3","+0.71","2023","42.85","1.33","0","0","0","0","0","0","0","0","0",""
"1638",="1213","大飲","02/17","7.07","+0.16","+2.32","2022","7.07","-1.67","0","0","0","0","0","0","0","0","0",""
