符合條件商品
資料日期：2023年  5月  5日
策略,	周大於70
序號,	代碼,	商品,	成交,	漲幅%,	總量,	70
執行時間：2023-05-07 13:04 符合檔數(1772)
271	,3289.TW,宜特,85.7,1.3,1043,14
272	,3312.TW,弘憶股,21.6,0.23,461,14
273	,3357.TW,臺慶科,103,2.49,191,14
274	,3438.TW,類比科,59.7,0.17,124,14
275	,3537.TW,堡達,38.7,1.31,590,14
276	,3702.TW,大聯大,50.3,0.2,3975,14
277	,4126.TW,太醫,88.7,-1.22,345,14
278	,4306.TW,炎洲,16.9,0.3,1556,14
279	,4416.TW,三圓,86,-0.46,2,14
280	,4527.TW,方土霖,32.25,0.16,91,14
281	,4923.TW,力士,53.5,-1.83,101,14
282	,4930.TW,燦星網,26.05,0.19,52,14
283	,4961.TW,天鈺,152,-1.62,3399,14
284	,5469.TW,瀚宇博,38.45,-1.66,2967,14
285	,5511.TW,德昌,42.55,6.37,2129,14
286	,5878.TW,台名,49.2,0.31,9,14
287	,6112.TW,邁達特,56.3,7.44,18410,14
288	,6143.TW,振曜,92.5,0.98,716,14
289	,6201.TW,亞弘電,43.3,-0.57,16,14
290	,6275.TW,元山,36.75,-1.74,2460,14
291	,6533.TW,晶心科,447,2.88,1584,14
292	,6605.TW,帝寶,98.7,-0.7,415,14
293	,6690.TW,安碁資訊,190.5,-1.04,583,14
294	,6767.TW,台微醫,44.2,1.14,436,14
295	,6830.TW,汎銓,150.5,0,234,14
296	,8049.TW,晶采,38.4,-0.26,477,14
297	,8059.TW,凱碩,13.45,-1.1,119,14
298	,8088.TW,品安,32.6,-0.31,1064,14
299	,8210.TW,勤誠,83.1,-0.6,505,14
300	,8358.TW,金居,55.5,3.16,3456,14
301	,8426.TW,紅木-KY,48.05,-1.74,750,14
302	,8921.TW,沈氏,15.2,2.36,4,14
303	,1102.TW,亞泥,44.25,-0.23,2309,13
304	,1304.TW,台聚,24.45,-1.01,1603,13
305	,1315.TW,達新,70,0.14,13,13
306	,1504.TW,東元,45.65,-2.04,30807,13
307	,1537.TW,廣隆,141.5,0,89,13
308	,1612.TW,宏泰,21,-1.64,669,13
309	,1762.TW,中化生,98.6,0.51,3575,13
310	,1795.TW,美時,281.5,0.9,8108,13
311	,2015.TW,豐興,67.2,-0.44,193,13
312	,2239.TW,英利-KY,72.5,-0.41,89,13
313	,2243.TW,宏旭-KY,19.65,0.26,152,13
314	,2301.TW,光寶科,76.2,0.26,6139,13
315	,2316.TW,楠梓電,28.5,0.35,81,13
316	,2329.TW,華泰,19.6,2.08,1903,13
317	,2402.TW,毅嘉,27.55,0.92,4306,13
318	,2454.TW,聯發科,675,1.05,3272,13
319	,2462.TW,良得電,32.6,-2.4,457,13
320	,2495.TW,普安,25.6,-1.73,5538,13
321	,2515.TW,中工,10.5,0.96,17121,13
322	,2530.TW,華建,21.95,-2.23,1435,13
323	,2597.TW,潤弘,119.5,0.42,49,13
324	,2718.TW,晶悅,48.4,0,5,13
325	,2748.TW,雲品,82.3,-2.02,1625,13
326	,2801.TW,彰銀,18.05,0.56,11283,13
327	,2816.TW,旺旺保,16.45,-0.9,177,13
328	,3046.TW,建碁,73.4,0.55,3047,13
329	,3052.TW,夆典,11.5,0.88,429,13
330	,3064.TW,泰偉,13.5,0,0,13
331	,3260.TW,威剛,73.7,-1.34,2105,13
332	,3515.TW,華擎,132,0,176,13
333	,3533.TW,嘉澤,935,2.07,1198,13
334	,3632.TW,研勤,14.9,0,36,13
335	,3704.TW,合勤控,40.35,-1.1,2267,13
336	,3706.TW,神達,28.15,-0.71,1453,13
337	,4129.TW,聯合,61.6,-6.38,4651,13
338	,4163.TW,鐿鈦,132.5,-0.75,274,13
339	,4164.TW,承業醫,72.6,1.11,11334,13
340	,4417.TW,金洲,42.45,1.31,388,13
341	,4919.TW,新唐,133.5,1.52,4240,13
342	,4933.TW,友輝,34.8,-0.85,48,13
343	,5269.TW,祥碩,1140,4.59,947,13
344	,5274.TW,信驊,2765,-2.12,353,13
345	,5364.TW,力麗店,24.65,2.71,8,13
346	,5488.TW,松普,13.3,-3.27,789,13
347	,5533.TW,皇鼎,18.65,-0.53,129,13
348	,5904.TW,寶雅,570,-1.55,258,13
349	,6123.TW,上奇,70.8,0.14,74,13
350	,6146.TW,耕興,262.5,-0.19,192,13
351	,6180.TW,橘子,75,1.08,1847,13
352	,6184.TW,大豐電,50.2,-0.2,144,13
353	,6215.TW,和椿,29,0,268,13
354	,6245.TW,立端,115.5,7.94,17039,13
355	,6248.TW,沛波,33.7,1.2,1291,13
356	,6266.TW,泰詠,41.75,-0.71,2043,13
357	,6472.TW,保瑞,832,-0.6,4402,13
358	,6515.TW,穎崴,659,-7.18,2027,13
359	,6579.TW,研揚,91.7,-0.11,22,13
360	,6743.TW,安普新,60.4,2.03,202,13
361	,8215.TW,明基材,34.65,-9.88,17981,13
362	,8234.TW,新漢,38.75,0.65,313,13
363	,8422.TW,可寧衛,194,0,196,13
364	,8436.TW,大江,214,4.39,2010,13
365	,8924.TW,大田,116.5,-0.85,369,13
366	,8926.TW,台汽電,49.35,-1.3,2766,13
367	,9904.TW,寶成,31.85,0,2661,13
368	,9911.TW,櫻花,64.6,0,54,13
369	,1101.TW,台泥,39.3,-0.38,15902,12
370	,1234.TW,黑松,36.75,0.41,359,12
371	,1313.TW,聯成,14.55,0,377,12
372	,1506.TW,正道,20.55,0.74,105,12
373	,1529.TW,樂事綠能,41.05,-7.75,22036,12
374	,1570.TW,力肯,18.55,-1.59,137,12
375	,1702.TW,南僑,50.7,0.6,1139,12
376	,2049.TW,上銀,233,1.53,1021,12
377	,2231.TW,為升,173.5,-1.42,369,12
378	,2236.TW,百達-KY,39.7,-4.34,1227,12
379	,2344.TW,華邦電,24.65,-1.6,26778,12
380	,2409.TW,友達,17.3,1.17,16221,12
381	,2413.TW,環科,37.3,1.08,5691,12
382	,2458.TW,義隆,95.8,2.02,3802,12
383	,2461.TW,光群雷,23.15,-1.49,660,12
384	,2472.TW,立隆電,65.6,1.23,1219,12
385	,2520.TW,冠德,29.7,0,430,12
386	,3265.TW,台星科,57.2,2.33,3979,12
387	,3288.TW,點晶,23.75,9.95,78,12
388	,3308.TW,聯德,36.85,10,1608,12
389	,3624.TW,光頡,71.1,0,3284,12
390	,3675.TW,德微,297,-2.94,1252,12
391	,3679.TW,新至陞,90.3,-0.33,57,12
392	,3709.TW,鑫聯大投控,21.3,-0.47,10,12
393	,4113.TW,聯上,16.3,0,157,12
394	,4147.TW,中裕,130.5,-1.14,3067,12
395	,4305.TW,世坤,31.5,-0.32,14,12
396	,4526.TW,東台,17.35,-1.14,192,12
397	,4550.TW,長佳,33.15,0.76,188,12
398	,4580.TW,捷流閥業,95.5,0.63,59,12
399	,4904.TW,遠傳,78.5,-0.51,3122,12
400	,4942.TW,嘉彰,39,-0.13,226,12
401	,5213.TW,亞昕,27.1,0,82,12
402	,5225.TW,東科-KY,40.8,0.49,805,12
403	,5234.TW,達興材料,88.7,-0.34,191,12
404	,5481.TW,新華,12.7,-0.78,80,12
405	,5607.TW,遠雄港,72.6,1.4,657,12
406	,6108.TW,競國,17.4,-1.42,75,12
407	,6136.TW,富爾特,19.4,0,64,12
408	,6148.TW,驊宏資,41.55,-0.36,15273,12
409	,6183.TW,關貿,63,0,35,12
410	,6194.TW,育富,26.1,-1.88,159,12
411	,6235.TW,華孚,95.5,-0.42,2296,12
412	,6261.TW,久元,65,-0.31,117,12
413	,6464.TW,台數科,89.8,0,3,12
414	,6525.TW,捷敏-KY,72.7,-0.14,53,12
415	,6527.TW,明達醫,99,3.45,2116,12
416	,6556.TW,勝品,129.5,0.78,152,12
417	,6664.TW,群翊,113,0.44,142,12
418	,6680.TW,鑫創電子,77,-1.53,6,12
419	,6721.TW,信實,51.2,-1.16,9,12
420	,8284.TW,三竹,68.8,1.03,44,12
421	,8462.TW,柏文,155.5,-0.96,98,12
422	,8464.TW,億豐,346.5,-2.12,448,12
423	,8476.TW,台境,73,3.69,1474,12
424	,8482.TW,商億-KY,76.6,-0.78,3,12
425	,9906.TW,欣巴巴,49.6,-1.2,22,12
426	,1109.TW,信大,17.9,-0.28,211,11
427	,1210.TW,大成,52.8,1.93,3435,11
428	,1476.TW,儒鴻,491,-1.8,642,11
429	,1512.TW,瑞利,13.1,-2.24,83,11
430	,1532.TW,勤美,34.2,0,139,11
431	,1709.TW,和益,26.7,-1.66,2384,11
432	,1799.TW,易威,20.1,1.01,36,11
433	,1808.TW,潤隆,73.9,-0.27,143,11
434	,2006.TW,東和鋼鐵,57,-0.7,644,11
435	,2014.TW,中鴻,24.45,1.66,6457,11
436	,2031.TW,新光鋼,47.05,0.75,2257,11
437	,2034.TW,允強,29.25,-0.34,337,11
438	,2066.TW,世德,96.9,2.11,210,11
439	,2347.TW,聯強,62.4,0.48,2576,11
440	,2354.TW,鴻準,53.8,0,1384,11
