符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
277	,6144.TW,得利影,14.45,0.35,7,50
278	,6231.TW,系微,124,1.64,852,50
279	,6446.TW,藥華藥,363.5,-5.58,5113,50
280	,6482.TW,弘煜科,47.6,2.48,6,50
281	,6485.TW,點序,104,4,1594,50
282	,8171.TW,天宇,55.9,0.36,498,50
283	,8289.TW,泰藝,43,-0.58,300,50
284	,8940.TW,新天地,25.35,2.84,722,50
285	,9802.TW,鈺齊-KY,122,2.52,1468,50
286	,9958.TW,世紀鋼,109,-4.39,8149,50
287	,1796.TW,金穎生技,145.5,4.68,1699,49
288	,2376.TW,技嘉,135,-1.46,3289,49
289	,2497.TW,怡利電,72,0.14,472,49
290	,2731.TW,雄獅,180,-1.37,7108,49
291	,3178.TW,公準,80.6,0.12,216,49
292	,3234.TW,光環,22.8,0.66,236,49
293	,3432.TW,台端,13.4,-0.74,244,49
294	,3707.TW,漢磊,78.3,0.64,1078,49
295	,6101.TW,寬魚國際,45.75,-0.11,149,49
296	,6237.TW,驊訊,43.05,-0.92,179,49
297	,6491.TW,晶碩,406,-0.25,420,49
298	,6510.TW,精測,483.5,2.11,135,49
299	,6527.TW,明達醫,93.3,-5.76,1343,49
300	,6538.TW,倉和,119.5,9.63,2606,49
301	,6666.TW,羅麗芬-KY,88.9,1.83,113,49
302	,6672.TW,騰輝電子-KY,82.7,1.47,583,49
303	,8114.TW,振樺電,109,2.83,440,49
304	,8299.TW,群聯,395,3.27,2799,49
305	,8467.TW,波力-KY,58.8,-0.51,59,49
306	,1762.TW,中化生,95.9,-2.74,3735,48
307	,2321.TW,東訊,19.55,-0.26,30,48
308	,2327.TW,國巨,504,-0.4,1626,48
309	,2421.TW,建準,66,7.14,70603,48
310	,2436.TW,偉詮電,47.65,-1.95,687,48
311	,2468.TW,華經,28.5,8.99,9419,48
312	,2906.TW,高林,17.2,-0.29,383,48
313	,3022.TW,威強電,81.5,0.87,1268,48
314	,3438.TW,類比科,59.1,-1.01,60,48
315	,3523.TW,迎輝,18,3.15,2,48
316	,3704.TW,合勤控,41.3,2.35,8238,48
317	,4121.TW,優盛,34.55,-0.58,6513,48
318	,4536.TW,拓凱,206.5,0.98,645,48
319	,4744.TW,皇將,42.8,8.22,17367,48
320	,4976.TW,佳凌,44.05,-0.56,674,48
321	,5301.TW,寶得利,11.85,-1.25,28,48
322	,5364.TW,力麗店,24.95,1.22,11,48
323	,6266.TW,泰詠,42.25,1.2,2044,48
324	,6274.TW,台燿,67.7,-1.88,4318,48
325	,6279.TW,胡連,138.5,-0.72,526,48
326	,6523.TW,達爾膚,146,1.39,823,48
327	,6612.TW,奈米醫材,181.5,-1.89,1124,48
328	,8091.TW,翔名,101,0.5,864,48
329	,8183.TW,精星,54.2,-0.18,464,48
330	,8234.TW,新漢,39.25,1.29,452,48
331	,1477.TW,聚陽,231,1.99,925,47
332	,1568.TW,倉佑,23.2,-0.64,96,47
333	,2383.TW,台光電,172,1.18,2245,47
334	,2641.TW,正德,18.55,-1.59,822,47
335	,2754.TW,亞洲藏壽司,170,0.89,560,47
336	,3094.TW,聯傑,34.45,3.77,1802,47
337	,3217.TW,優群,104,-0.48,443,47
338	,3535.TW,晶彩科,20.55,-1.2,350,47
339	,4130.TW,健亞,29.1,-2.51,1308,47
340	,4736.TW,泰博,184,-0.54,229,47
341	,4944.TW,兆遠,9.76,-2.4,33,47
342	,5225.TW,東科-KY,41.85,2.57,1250,47
343	,5464.TW,霖宏,30.65,-3.16,1747,47
344	,6242.TW,立康,81.1,2.01,179,47
345	,6271.TW,同欣電,173.5,0.58,1406,47
346	,6284.TW,佳邦,56.7,-0.53,399,47
347	,6404.TW,通訊-KY,22.45,3.94,3,47
348	,6443.TW,元晶,35.9,-1.64,11994,47
349	,6547.TW,高端疫苗,63.6,-2.9,3031,47
350	,6684.TW,安格,45.8,0.22,69,47
351	,8044.TW,網家,56.3,2.18,558,47
352	,8421.TW,旭源,16,0.95,131,47
353	,8455.TW,大拓-KY,22.35,2.52,2,47
354	,1609.TW,大亞,32,2.24,68171,46
355	,1736.TW,喬山,65.9,-1.05,381,46
356	,2329.TW,華泰,19.5,-0.51,1228,46
357	,2342.TW,茂矽,40.3,-0.98,834,46
358	,2344.TW,華邦電,24.5,-0.61,18807,46
359	,2375.TW,凱美,70.2,-0.14,657,46
360	,2484.TW,希華,35.8,0,1060,46
361	,3058.TW,立德,28.4,9.23,7550,46
