符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-09 01:25 符合檔數(1736)
212	,4755.TW,三福化,127.5,-4.85,1295,241.5,102,136.76
213	,3529.TW,力旺,1875,-1.06,419,2125,899,136.37
214	,3169.TW,亞信,125.5,0.4,436,189.5,80.2,136.28
215	,8940.TW,新天地,25.35,2.84,722,29.95,12.7,135.83
216	,1773.TW,勝一,123,-3.91,393,231.5,98.2,135.74
217	,6187.TW,萬潤,61.1,-0.81,116,126.5,53.7,135.57
218	,2609.TW,陽明,60.5,-1.14,19653,133,56.6,134.98
219	,6743.TW,安普新,59.3,-1.82,210,66,28.15,134.46
220	,5274.TW,信驊,2880,4.16,488,3380,1445,133.91
221	,4961.TW,天鈺,157.5,3.62,4157,203.5,87,133.91
222	,3523.TW,迎輝,18,3.15,2,22.6,9.67,133.71
223	,3479.TW,安勤,119,1.71,8020,121,51.8,133.59
224	,8097.TW,常珵,48.85,1.88,883,94.6,40.5,133.58
225	,8454.TW,富邦媒,738,0.82,587,1015,435,133.33
226	,6741.TW,91APP*-KY,156,2.63,5412,165.5,71,133.1
227	,6111.TW,大宇資,93.9,0.54,13947,98.6,42.3,133.1
228	,6703.TW,軒郁,190.5,-0.78,283,195.5,84,132.74
229	,6276.TW,安鈦克,27.1,9.94,395,27.1,11.65,132.62
230	,3017.TW,奇鋐,181.5,0.28,20066,185.5,79.9,132.17
231	,1325.TW,恆大,24.05,-0.21,104,48.75,21,132.14
232	,2206.TW,三陽工業,60.1,1.52,15506,61.4,26.45,132.14
233	,6781.TW,AES-KY,644,-0.16,570,1230,530,132.08
234	,2390.TW,云辰,12.3,-1.6,334,25.5,11,131.82
235	,5299.TW,杰力,131,3.15,256,197,85,131.76
236	,2540.TW,愛山林,76.5,0.53,46,156.5,67.6,131.51
237	,3545.TW,敦泰,76,-5.59,9809,130.5,56.4,131.38
238	,6026.TW,福邦證,12.15,-0.41,2944,21.75,9.41,131.14
239	,3324.TW,雙鴻,250,3.95,12954,258.5,112,130.8
240	,3680.TW,家登,343.5,0.59,744,385,167,130.54
241	,4927.TW,泰鼎-KY,55.3,1.47,1405,106.5,46.2,130.52
242	,9958.TW,世紀鋼,109,-4.39,8149,138,59.9,130.38
243	,6138.TW,茂達,172,0.88,1856,230,99.9,130.23
244	,8933.TW,愛地雅,11.85,-0.42,651,24.95,10.85,129.95
245	,4747.TW,強生,60.1,-2.28,729,69.1,30.05,129.95
246	,3432.TW,台端,13.4,-0.74,244,29.3,12.75,129.8
247	,8067.TW,志旭,14.65,1.03,14,18.2,7.92,129.8
248	,8436.TW,大江,207.5,-3.04,1394,235.5,102.5,129.76
249	,3006.TW,晶豪科,77.1,2.8,8660,137.5,60,129.17
250	,6716.TW,應廣,110.5,9.95,75,172.5,75.3,129.08
251	,6732.TW,昇佳電子,332,-0.9,910,425.5,186,128.76
252	,6770.TW,力積電,30.3,-1.14,8244,59.4,26,128.46
253	,6589.TW,台康生技,125,-1.96,7802,163.5,71.6,128.35
254	,5211.TW,蒙恬,33.7,6.48,5968,36.3,15.9,128.3
255	,2388.TW,威盛,74.8,0,2228,97,42.5,128.24
256	,2033.TW,佳大,15.2,0,98,25.9,11.35,128.19
257	,6679.TW,鈺太,293,1.91,283,389,170.5,128.15
258	,1760.TW,寶齡富錦,163,-1.51,2134,195,85.6,127.8
259	,3521.TW,鴻翊,23.85,0,162,29.6,13,127.69
260	,2201.TW,裕隆,78.1,0.9,6802,86.4,38,127.37
261	,6109.TW,亞元,17.05,0.29,455,20.6,9.07,127.12
262	,2611.TW,志信,12.85,-1.15,235,26.8,11.8,127.12
263	,3288.TW,點晶,26.1,9.89,212,26.3,11.6,126.72
264	,3466.TW,致振,32.25,-0.31,260,38.5,17,126.47
265	,3189.TW,景碩,111,1.37,7421,197,87,126.44
266	,4746.TW,台耀,92.6,0.43,3683,100,44.2,126.24
267	,1432.TW,大魯閣,15.2,0.33,142,22.6,10,126
268	,1591.TW,駿吉-KY,27.3,-3.53,441,31.85,14.1,125.89
269	,5289.TW,宜鼎,293,1.56,1819,333,147.5,125.76
270	,1727.TW,中華化,41.5,0.12,1539,50,22.15,125.73
271	,4541.TW,晟田,49,4.7,28503,51.2,22.7,125.55
272	,6756.TW,威鋒電子,209,0.72,400,352.5,157,124.52
273	,8155.TW,博智,149,0.68,907,186,83,124.1
274	,6578.TW,達邦蛋白,18.1,0.28,272,28.85,12.9,123.64
275	,5011.TW,久陽,28.9,3.21,2361,44.5,19.9,123.62
276	,3570.TW,大塚,168,3.07,415,172,77,123.38
277	,1443.TW,立益物流,28.8,0.52,26,33.5,15,123.33
278	,3289.TW,宜特,84.3,-1.63,1322,100.5,45,123.33
279	,4148.TW,全宇生技-KY,63,-0.94,182,98.8,44.25,123.28
280	,3034.TW,聯詠,429,0.23,3243,464,208,123.08
281	,5474.TW,聰泰,84.5,-1.05,17,130,58.3,122.98
282	,2637.TW,慧洋-KY,61,-0.16,2672,109,48.9,122.9
