符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-08 23:20 符合檔數(1769)
298	,2637.TW,慧洋-KY,61,-0.16,2672,109,48.9,122.9
299	,8932.TW,宏大,54.3,4.02,739,50.8,22.8,122.81
300	,3149.TW,正達,16.65,-9.76,3847,34.75,15.6,122.76
301	,4712.TW,南璋,4.22,-0.71,8,8.83,3.97,122.42
302	,3629.TW,地心引力,101,3.06,58,67.6,30.4,122.37
303	,6806.TW,森崴能源,119,1.71,12165,127,57.2,122.03
304	,2415.TW,錩新,24.5,-0.2,45,44.25,19.95,121.8
305	,4976.TW,佳凌,44.05,-0.56,674,71.5,32.25,121.71
306	,8467.TW,波力-KY,58.8,-0.51,59,79.8,36,121.67
307	,4763.TW,材料-KY,511,-6.75,7981,195,88,121.59
308	,5251.TW,天鉞電,21.3,-0.7,93,32,14.45,121.45
309	,6655.TW,科定,128.5,0.39,35,176,79.5,121.38
310	,2338.TW,光罩,79.8,-0.99,1863,110.5,49.95,121.22
311	,2388.TW,威盛,74.8,0,2228,93.9,42.5,120.94
312	,2323.TW,中環,7.92,-0.5,1795,13.8,6.25,120.8
313	,4760.TW,勤凱,82.9,2.35,241,96,43.5,120.69
314	,6693.TW,廣閎科,68,1.8,72,129.5,58.7,120.61
315	,4513.TW,福裕,21.4,-2.51,355,29.45,13.35,120.6
316	,6175.TW,立敦,38,-0.78,332,49.5,22.5,120
317	,6242.TW,立康,81.1,2.01,179,82.5,37.5,120
318	,5227.TW,立凱-KY,72.4,-0.41,1293,102,46.4,119.83
319	,8299.TW,群聯,395,3.27,2799,545,248,119.76
320	,5225.TW,東科-KY,41.85,2.57,1250,43.5,19.8,119.7
321	,1515.TW,力山,30.3,-0.33,436,57.1,26,119.62
322	,3540.TW,曜越,41.8,4.76,1586,44.75,20.4,119.36
323	,2358.TW,廷鑫,12.4,-2.36,2044,28.5,13,119.23
324	,5471.TW,松翰,50.6,0,251,96.4,44,119.09
325	,3438.TW,類比科,59.1,-1.01,60,92.1,42.05,119.02
326	,2491.TW,吉祥全,11.9,0,28,24.2,11.05,119
327	,3535.TW,晶彩科,20.55,-1.2,350,37.3,17.05,118.77
328	,3014.TW,聯陽,96.5,0.52,4862,120.5,55.1,118.69
329	,3523.TW,迎輝,18,3.15,2,21.1,9.65,118.65
330	,2613.TW,中櫃,22.35,-0.45,46,43.25,19.8,118.43
331	,4919.TW,新唐,133.5,0,6390,205,94.1,117.85
332	,3229.TW,晟鈦,19.6,0,17,29.95,13.75,117.82
333	,6508.TW,惠光,38.9,-0.13,94,68.5,31.45,117.81
334	,4989.TW,榮科,26.2,-0.57,127,46.1,21.2,117.45
335	,3645.TW,達邁,33.85,-0.44,63,62.7,28.85,117.33
336	,6266.TW,泰詠,42.25,1.2,2044,40.95,18.85,117.24
337	,9955.TW,佳龍,26.9,-8.97,10503,35.5,16.35,117.13
338	,2906.TW,高林,17.2,-0.29,383,29.85,13.75,117.09
339	,5483.TW,中美晶,154.5,4.39,5911,249,115,116.52
340	,1472.TW,三洋實業,26.75,0,10,35.7,16.5,116.36
341	,2477.TW,美隆電,20.7,0,23,35.25,16.3,116.26
342	,6199.TW,天品,18.6,0,14,32.65,15.1,116.23
343	,4503.TW,金雨,57.7,9.9,1703,47.2,21.85,116.02
344	,5272.TW,笙科,28.2,-1.74,150,48.6,22.5,116
345	,4304.TW,勝昱,9.99,0,12,15.8,7.32,115.85
346	,4303.TW,信立,17.3,0,47,31.5,14.6,115.75
347	,4543.TW,萬在,27.6,1.1,142,35.35,16.45,114.89
348	,8080.TW,永利聯合,10.9,0,1,18.5,8.62,114.62
349	,1432.TW,大魯閣,15.2,0.33,142,21.4,10,114
350	,4174.TW,浩鼎,87.5,0,404,137.5,64.3,113.84
351	,6173.TW,信昌電,43.5,3.57,7641,65.2,30.5,113.77
352	,3406.TW,玉晶光,383,0.39,809,593,277.5,113.69
353	,3176.TW,基亞,34.1,-2.57,265,60.9,28.5,113.68
354	,2736.TW,富野,22.4,-1.75,457,29.9,14,113.57
355	,2038.TW,海光,20.3,0.25,182,36.5,17.1,113.45
356	,3483.TW,力致,77.3,9.96,6953,92.4,43.3,113.39
357	,5210.TW,寶碩,16.9,-0.88,133,30.5,14.3,113.29
358	,1752.TW,南光,77.5,-0.51,2554,69.5,32.6,113.19
359	,3685.TW,元創精密,20.9,-0.24,67,38.85,18.25,112.88
360	,9802.TW,鈺齊-KY,122,2.52,1468,205,96.3,112.88
361	,5864.TW,致和證,17.75,9.91,2993,20.25,9.52,112.71
362	,8436.TW,大江,207.5,-3.04,1394,218,102.5,112.68
363	,6202.TW,盛群,68.2,-0.29,530,126.5,59.5,112.61
364	,3499.TW,環天科,21.7,1.88,313,27.8,13.1,112.21
365	,2606.TW,裕民,52.6,1.35,2347,71.2,33.6,111.9
366	,1608.TW,華榮,16.6,-0.9,1260,24.25,11.45,111.79
367	,6509.TW,聚和,44.15,-0.79,426,70.8,33.45,111.66
368	,3338.TW,泰碩,48.2,-2.13,5184,62.7,29.65,111.47
369	,3016.TW,嘉晶,64.2,0.31,263,139.5,66.1,111.04
370	,8040.TW,九暘,45,-1.42,239,75.6,35.85,110.88
371	,2641.TW,正德,18.55,-1.59,822,29.95,14.25,110.18
372	,6134.TW,萬旭,23.6,-0.63,539,33.2,15.8,110.13
373	,2498.TW,宏達電,57.4,0.17,4821,88.4,42.1,109.98
374	,4939.TW,亞電,16.6,1.22,113,29.5,14.05,109.96
375	,4952.TW,凌通,56,1.08,196,88.1,42,109.76
376	,6442.TW,光聖,54.2,-1.99,301,71,33.85,109.75
377	,1732.TW,毛寶,27.4,-0.9,133,53.8,25.65,109.75
378	,6103.TW,合邦,39.55,3.4,1,9.49,4.53,109.49
379	,3555.TW,重鵬,26.95,0.37,1,42,20.05,109.48
380	,2250.TW,IKKA-KY,72.1,-0.55,42,135,64.5,109.3
381	,2348.TW,海悅,67.5,0,34,119.5,57.1,109.28
382	,8255.TW,朋程,174.5,0.58,395,261.5,125,109.2
383	,3094.TW,聯傑,34.45,3.77,1802,46.9,22.45,108.91
384	,3289.TW,宜特,84.3,-1.63,1322,94,45,108.89
385	,6510.TW,精測,483.5,2.11,135,760,364.5,108.5
386	,2945.TW,三商家購,43.15,-2.38,48,71.4,34.25,108.47
387	,3617.TW,碩天,127,1.2,693,121,58.1,108.26
388	,6789.TW,采鈺,218,-1.8,504,341.5,164,108.23
389	,5015.TW,華祺,54.1,-0.37,153,76,36.5,108.22
390	,6233.TW,旺玖,25.85,-0.77,221,36,17.3,108.09
