符合條件商品
資料日期：2023年  5月  8日
策略,	紅K次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	紅K次數
執行時間：2023-05-09 00:17 符合檔數(1736)
309	,8436.TW,大江,207.5,-3.04,1394,120
310	,9958.TW,世紀鋼,109,-4.39,8149,120
311	,1308.TW,亞聚,26.55,-0.19,1001,119
312	,1321.TW,大洋,34,0,87,119
313	,1419.TW,新紡,40.7,0.12,40,119
314	,1568.TW,倉佑,23.2,-0.64,96,119
315	,1591.TW,駿吉-KY,27.3,-3.53,441,119
316	,1614.TW,三洋電,36.65,-0.14,13,119
317	,1712.TW,興農,37.1,0.54,835,119
318	,1799.TW,易威,21.75,8.21,52,119
319	,2204.TW,中華,79.8,4.45,5582,119
320	,2392.TW,正崴,42,1.45,658,119
321	,2477.TW,美隆電,20.7,0,23,119
322	,2478.TW,大毅,48,-1.13,294,119
323	,2527.TW,宏璟,22.5,0.67,124,119
324	,2743.TW,山富,59.6,-1.49,242,119
325	,3032.TW,偉訓,48.05,0.52,2827,119
326	,3131.TW,弘塑,338,-2.45,503,119
327	,3303.TW,岱稜,27.15,-1.27,365,119
328	,3501.TW,維熹,56.7,-0.35,448,119
329	,3558.TW,神準,286,0.7,1497,119
330	,4139.TW,馬光-KY,37.45,-0.4,14,119
331	,4190.TW,佐登-KY,95.3,-1.45,913,119
332	,4506.TW,崇友,75.1,0,49,119
333	,4933.TW,友輝,34.95,0.43,38,119
334	,4952.TW,凌通,56,1.08,196,119
335	,5258.TW,虹堡,83.4,0.36,2231,119
336	,5310.TW,天剛,24.5,-1.41,5,119
337	,5356.TW,協益,27.15,-0.37,1312,119
338	,6112.TW,邁達特,61.9,9.95,12296,119
339	,6115.TW,鎰勝,45.65,-0.65,135,119
340	,6139.TW,亞翔,47.85,3.68,3980,119
341	,6142.TW,友勁,13.65,-0.73,1439,119
342	,6191.TW,精成科,36.85,1.1,7621,119
343	,6197.TW,佳必琪,55.2,5.54,3011,119
344	,6285.TW,啟碁,97,1.78,3940,119
345	,6412.TW,群電,79.7,1.27,439,119
346	,6442.TW,光聖,54.2,-1.99,301,119
347	,6625.TW,必應,88.2,2.56,3966,119
348	,8021.TW,尖點,29.6,0,1014,119
349	,8044.TW,網家,56.3,2.18,558,119
350	,8403.TW,盛弘,45.3,0.67,10194,119
351	,8433.TW,弘帆,71.4,0.56,97,119
352	,8446.TW,華研,92.6,0.11,171,119
353	,8926.TW,台汽電,51.7,4.76,11238,119
354	,8928.TW,鉅明,38.3,0.26,76,119
355	,9925.TW,新保,41.6,0.36,76,119
356	,1418.TW,東華,15.25,-0.33,14,118
357	,1437.TW,勤益控,28.85,2.49,498,118
358	,1504.TW,東元,48.7,6.68,66429,118
359	,1702.TW,南僑,51.1,0.79,1200,118
360	,1784.TW,訊聯,72,2.86,3230,118
361	,1795.TW,美時,287,1.95,9408,118
362	,1904.TW,正隆,33.5,1.21,5414,118
363	,2035.TW,唐榮,31.35,0,3,118
364	,2105.TW,正新,38.6,0.52,2468,118
365	,2342.TW,茂矽,40.3,-0.98,834,118
366	,2360.TW,致茂,191,0.53,1620,118
367	,2377.TW,微星,144,1.05,1702,118
368	,2515.TW,中工,10.4,-0.95,7405,118
369	,2524.TW,京城,31.15,-2.04,86,118
370	,2643.TW,捷迅,71.4,-0.42,64,118
371	,2707.TW,晶華,289,-1.2,780,118
372	,2809.TW,京城銀,35.55,0.71,809,118
373	,2838.TW,聯邦銀,16.1,-0.62,392,118
374	,2880.TW,華南金,22,0,10638,118
375	,2903.TW,遠百,22.95,0.44,3708,118
376	,3167.TW,大量,41.9,0.84,44,118
377	,3257.TW,虹冠電,61,0.83,433,118
378	,3556.TW,禾瑞亞,64.2,-0.16,106,118
379	,3653.TW,健策,480,1.69,957,118
380	,3694.TW,海華,24.6,1.86,393,118
381	,3706.TW,神達,28.1,-0.18,1007,118
382	,3709.TW,鑫聯大投控,21.3,0,64,118
383	,3712.TW,永崴投控,39.6,0.76,3415,118
384	,4119.TW,旭富,129,0.39,282,118
385	,4528.TW,江興鍛,34.75,0,58,118
386	,5202.TW,力新,15.45,-0.96,52,118
387	,5312.TW,寶島科,68.5,1.63,216,118
388	,5328.TW,華容,13.95,-3.13,1459,118
389	,5381.TW,合正,20.4,-6.42,2571,118
390	,5410.TW,國眾,36.75,2.23,1609,118
391	,5493.TW,三聯,51.1,0.59,3,118
392	,6189.TW,豐藝,41.95,0.24,217,118
393	,6220.TW,岳豐,27.65,-1.43,1029,118
394	,6235.TW,華孚,98.3,2.93,4843,118
395	,6451.TW,訊芯-KY,81.4,-0.73,139,118
396	,6523.TW,達爾膚,146,1.39,823,118
397	,6527.TW,明達醫,93.3,-5.76,1343,118
398	,6776.TW,展碁國際,54.9,2.62,621,118
399	,8284.TW,三竹,68.9,0.15,49,118
400	,8996.TW,高力,208,5.05,10099,118
401	,1215.TW,卜蜂,98.9,-0.2,2237,117
402	,1589.TW,永冠-KY,83.8,0.96,3922,117
403	,1907.TW,永豐餘,31.75,0.79,3658,117
404	,2012.TW,春雨,27.15,-0.37,106,117
405	,2108.TW,南帝,39.25,-0.25,252,117
406	,2233.TW,宇隆,114,-0.87,365,117
407	,2303.TW,聯電,50,0.81,27878,117
408	,2337.TW,旺宏,32.5,0,5084,117
409	,2338.TW,光罩,79.8,-0.99,1863,117
410	,2514.TW,龍邦,17.1,0.59,396,117
411	,2539.TW,櫻花建,37.8,0,289,117
412	,2542.TW,興富發,43.3,0.93,3325,117
413	,2904.TW,匯僑,20.45,0.25,18,117
414	,3033.TW,威健,30.75,-0.32,2190,117
415	,3042.TW,晶技,87,1.16,947,117
416	,3088.TW,艾訊,76.4,0.53,448,117
417	,3163.TW,波若威,54.7,0.74,299,117
418	,3227.TW,原相,103,-0.48,205,117
419	,3349.TW,寶德,13.8,-2.13,5,117
420	,3479.TW,安勤,119,1.71,8020,117
421	,3529.TW,力旺,1875,-1.06,419,117
422	,3580.TW,友威科,57,1.42,166,117
423	,3594.TW,磐儀,49.65,1.53,1232,117
424	,4154.TW,樂威科-KY,30.5,0,0,117
425	,4541.TW,晟田,49,4.7,28503,117
426	,4551.TW,智伸科,139.5,0.72,66,117
427	,4908.TW,前鼎,35.15,-0.14,341,117
428	,4931.TW,新盛力,44.65,-0.22,716,117
429	,5227.TW,立凱-KY,72.4,-0.41,1293,117
430	,5285.TW,界霖,78.1,0.64,156,117
431	,5465.TW,富驊,37.45,1.08,3858,117
432	,5525.TW,順天,27.05,0.56,86,117
433	,5533.TW,皇鼎,18.65,0,109,117
434	,5538.TW,東明-KY,41.45,-1.31,13,117
435	,6176.TW,瑞儀,113,-0.88,989,117
436	,6214.TW,精誠,89.3,3,5158,117
437	,6217.TW,中探針,43.15,0,475,117
438	,6278.TW,台表科,97.4,-0.2,1007,117
439	,6568.TW,宏觀,176.5,-0.84,325,117
440	,6643.TW,M31,625,-0.79,1956,117
441	,6670.TW,復盛應用,216,0.47,179,117
442	,8027.TW,鈦昇,46.45,-7.65,1446,117
443	,8091.TW,翔名,101,0.5,864,117
444	,9940.TW,信義,29.25,0.17,79,117
445	,9941.TW,裕融,192.5,1.32,965,117
446	,1210.TW,大成,53.5,1.33,6443,116
447	,1720.TW,生達,75,0.4,3082,116
448	,2352.TW,佳世達,34.2,0,9511,116
449	,2387.TW,精元,45.5,0.11,979,116
450	,2438.TW,翔耀,24.8,-1.78,200,116
451	,2471.TW,資通,68.5,3.32,14945,116
452	,2505.TW,國揚,18.3,0.27,99,116
453	,2723.TW,美食-KY,154.5,-2.52,836,116
454	,2855.TW,統一證,16.75,1.52,1049,116
455	,2881.TW,富邦金,59.4,0.51,11810,116
456	,3093.TW,港建*,36.65,-0.14,420,116
