符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
204	,1905.TW,華紙,23.45,0.21,4830,71.34,2.71,5.33,57.83
205	,1906.TW,寶隆,20.35,0.25,166,67.55,1.6,18.73,35
206	,1907.TW,永豐餘,33.6,0.3,3192,78.07,15.95,4.09,5.79
207	,1909.TW,榮成,23.7,1.28,4104,67.1,9.72,8.89,36.71
208	,2002.TW,中鋼,35.45,3.2,187761,60.87,22.26,2.13,20.17
209	,2006.TW,東和鋼鐵,67,7.2,19523,61.88,16.94,7.3,34.05
210	,2007.TW,燁興,21.75,2.11,5005,75.69,0.9,21.4,73.59
211	,2008.TW,高興昌,19.9,1.02,142,84.98,7.69,1.75,37.69
212	,2009.TW,第一銅,43.15,0.94,2856,55.56,1.79,11.24,40.39
213	,2010.TW,春源,23.4,1.52,7024,61.61,5.78,6.75,28.29
214	,2012.TW,春雨,31.15,2.47,966,71.47,2.3,3.59,29.34
215	,2013.TW,中鋼構,55.9,3.14,3414,67.32,8.87,19.83,43.1
216	,2014.TW,中鴻,41.7,5.84,101346,53.81,8.49,16.29,40.59
217	,2015.TW,豐興,83.8,2.2,1278,81.37,12.38,0.29,11.78
218	,2017.TW,官田鋼,20.25,2.02,3652,64.57,16.35,6.76,31.71
219	,2020.TW,美亞,31.9,0.95,751,51.12,3.94,7.42,16.71
220	,2023.TW,燁輝,24.9,2.89,21335,68.55,5.67,8.26,3.31
221	,2024.TW,志聯,19.95,1.79,221,70.59,1.32,4.1,36.11
222	,2027.TW,大成鋼,47.65,1.17,39022,55.46,17.29,13.13,6.75
223	,2028.TW,威致,45.4,-0.33,14733,77.7,0.84,20.41,23.41
224	,2029.TW,盛餘,33.65,2.75,2111,69.79,69.87,10.39,65.78
225	,2030.TW,彰源,30.4,2.7,8442,33.05,3.41,24.83,24.73
226	,2031.TW,新光鋼,58.8,2.62,6975,43.88,9.35,19.11,22.47
227	,2032.TW,新鋼,23.85,2.58,1065,46.02,1.31,13.42,28.53
228	,2033.TW,佳大,17.75,1.72,693,54.04,1.11,7.76,16.21
229	,2034.TW,允強,32.85,2.82,4336,43.05,8.9,9.58,18.55
230	,2035.TW,唐榮,36.2,0,35,96.5,0.02,0.5,45.23
231	,2038.TW,海光,35.9,0.14,11084,48.79,1.44,24.45,33.25
232	,2049.TW,上銀,295,2.25,2070,59.52,48.18,2.72,12.4
233	,2059.TW,川湖,491.5,-0.51,143,70.11,18.81,2.41,21.11
234	,2062.TW,橋椿,26.9,-0.37,159,60.25,10.66,6.93,42.43
235	,2063.TW,世鎧,35.9,0.14,26,32.83,1.44,2.68,14.1
236	,2064.TW,晉椿,18.3,0.83,30,75.68,0.23,2.13,16.26
237	,2065.TW,世豐,48,0,70,31.22,1.62,1.93,11.29
238	,2066.TW,世德,61.7,-1.75,18,67.93,10.39,2.52,47.18
239	,2069.TW,運錩,35.75,1.42,3928,50.25,1.88,21.12,33.6
240	,2070.TW,精湛,34,1.95,54,62.54,0.64,3.24,37.06
241	,2101.TW,南港,38.7,0,1125,70.22,5.67,20.19,7.37
242	,2102.TW,泰豐,27.05,-0.55,458,74.24,6.34,3.81,34.75
243	,2103.TW,台橡,38,3.68,25330,64.89,32.38,5.06,14.14
244	,2104.TW,國際中橡,26.85,-0.19,3883,45.73,11.49,4.43,15.66
245	,2105.TW,正新,36.15,1.69,6443,76.37,14.84,1.36,15.4
246	,2106.TW,建大,30.45,1.16,611,78.35,6.81,1.34,26.02
247	,2107.TW,厚生,22.25,-0.89,486,48.82,10.28,2.43,18.2
248	,2108.TW,南帝,83.9,0.6,6252,68.31,14.74,5.63,41.01
249	,2109.TW,華豐,16.7,0.3,142,63.9,14.64,2.37,17.21
250	,2114.TW,鑫永銓,122,0.83,92,57.57,2.16,2.92,19.56
251	,2115.TW,六暉-KY,40.15,-0.37,39,68.15,44.26,0.47,8.27
252	,2201.TW,裕隆,41.85,1.45,3987,63.19,8.98,5.56,39.32
253	,2204.TW,中華,63.3,-0.16,646,74.49,30.28,0.66,52.84
254	,2206.TW,三陽工業,26.5,0,607,73.34,8.15,4.52,10.35
255	,2207.TW,和泰車,612,0.49,219,83.96,24.29,0.04,19.43
256	,2208.TW,台船,21.5,0,1611,50.09,4.77,8.36,42.62
257	,2211.TW,長榮鋼,55.1,0,1529,77.6,1.08,0.45,30.82
258	,2221.TW,大甲,39.65,0.63,685,64.36,4.17,11.51,40.93
259	,2228.TW,劍麟,67.4,-0.59,44,53.32,5.76,4.04,28.27
260	,2230.TW,泰茂,13.85,-1.07,9,45.6,0.22,14.13,19.55
261	,2231.TW,為升,180,-1.37,613,58.55,7.48,26.04,35.25
262	,2233.TW,宇隆,95,-0.52,136,26.3,20.38,12.93,9.84
263	,2235.TW,謚源,38.7,-0.39,16,75.95,0.05,0.26,45.43
264	,2236.TW,百達-KY,27.3,-1.44,25,76.37,35.01,1.14,21.28
265	,2239.TW,英利-KY,80.1,-1.72,170,76.93,75.76,5.21,39.96
266	,2241.TW,艾姆勒,49.4,-1,220,46.99,22.68,8.71,13.3
