符合條件商品
資料日期：2021年 12月 24日
策略,	00主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2021-12-27 09:22 符合檔數(534)
260	,6531.TW,愛普*,496,-0.6,3137,0.9
261	,1560.TW,中砂,94.7,-0.53,5846,0.9
262	,3551.TW,世禾,72.8,0.69,842,0.9
263	,3710.TW,連展投控,9.86,-0.8,1015,0.9
264	,2104.TW,國際中橡,27.5,-0.18,4828,0.9
265	,2498.TW,宏達電,86.4,-0.8,115396,0.9
266	,2385.TW,群光,82.2,0,1155,0.9
267	,2887.TW,台新金,18.75,0.54,9469,0.89
268	,6283.TW,淳安,46.1,-0.54,401,0.89
269	,1409.TW,新纖,20.05,-0.25,1847,0.89
270	,2002.TW,中鋼,35.55,0.14,26979,0.89
271	,3033.TW,威健,31.1,-1.89,10389,0.89
272	,3489.TW,森寶,12.15,2.97,1422,0.89
273	,5607.TW,遠雄港,66.1,-1.34,1304,0.89
274	,6275.TW,元山,38.25,2,2939,0.89
275	,8069.TW,元太,148,3.86,54679,0.89
276	,2634.TW,漢翔,29.4,0.17,801,0.88
277	,3406.TW,玉晶光,545,0.18,1512,0.88
278	,2301.TW,光寶科,62.7,0.32,2363,0.87
279	,2885.TW,元大金,25,0.2,6312,0.87
280	,3607.TW,谷崧,17.7,-2.21,7120,0.87
281	,5469.TW,瀚宇博,45.25,1.46,3677,0.87
282	,2465.TW,麗臺,85.8,-5.92,27047,0.87
283	,2401.TW,凌陽,38.45,-0.77,4154,0.87
284	,1308.TW,亞聚,36.7,0.27,7726,0.87
285	,3499.TW,環天科,25.6,-0.78,3100,0.87
286	,2457.TW,飛宏,49.4,-1,69041,0.87
287	,6168.TW,宏齊,27.6,0.55,7582,0.87
288	,3035.TW,智原,249,2.47,34388,0.86
289	,5211.TW,蒙恬,21.15,-3.42,528,0.86
290	,6129.TW,普誠,36.8,3.08,8880,0.86
291	,6153.TW,嘉聯益,25.65,0.79,5175,0.86
292	,9945.TW,潤泰新,63.3,1.28,5477,0.86
293	,8076.TW,伍豐,34.5,0,6871,0.85
294	,6190.TW,萬泰科,42.4,-1.17,44040,0.85
295	,2618.TW,長榮航,26.8,0.75,119391,0.85
296	,6547.TW,高端疫苗,293,0,778,0.85
297	,8021.TW,尖點,41.1,-0.48,844,0.85
298	,3691.TW,碩禾,205,0,3226,0.85
299	,6541.TW,泰福-KY,63.5,-2.01,905,0.84
300	,5371.TW,中光電,83.8,-1.3,2676,0.84
301	,1612.TW,宏泰,27.3,-1.27,13581,0.84
302	,2867.TW,三商壽,9.15,0.55,2475,0.83
303	,2328.TW,廣宇,39.45,0,2344,0.83
304	,6180.TW,橘子,66.8,-2.2,4885,0.83
305	,3290.TW,東浦,22.5,-0.22,1219,0.83
306	,6243.TW,迅杰,60,1.87,2720,0.83
307	,4770.TW,上品,252.5,-0.79,640,0.82
308	,3323.TW,加百裕,42.3,-0.24,425,0.82
309	,1455.TW,集盛,16.5,0,1815,0.82
310	,3071.TW,協禧,28.65,2.87,4725,0.82
311	,2338.TW,光罩,99,-1,4824,0.82
312	,3444.TW,利機,62.8,1.29,1346,0.82
313	,2038.TW,海光,35.75,-0.69,1677,0.82
314	,3236.TW,千如,25.6,-1.92,442,0.81
315	,6548.TW,長科*,104,0.48,3698,0.81
316	,6138.TW,茂達,254.5,-2.86,6282,0.81
317	,3189.TW,景碩,238.5,0.42,5773,0.8
318	,3481.TW,群創,19.05,0,58572,0.8
319	,2010.TW,春源,24.6,-2.38,5298,0.8
320	,4919.TW,新唐,143,-1.38,8236,0.8
321	,3322.TW,建舜電,28.95,0.52,57323,0.8
322	,6237.TW,驊訊,102,-0.97,1664,0.8
323	,3059.TW,華晶科,50.8,1.6,75094,0.8
324	,5351.TW,鈺創,92.4,-0.86,32093,0.8
325	,2812.TW,台中銀,12.05,0,3100,0.79
326	,6163.TW,華電網,20.35,-0.49,1047,0.79
327	,1605.TW,華新,26.25,-0.38,3034,0.79
328	,2892.TW,第一金,24.2,0.21,5373,0.79
329	,2342.TW,茂矽,49.7,-1,11739,0.79
330	,3294.TW,英濟,33.45,-0.89,12126,0.79
331	,2412.TW,中華電,115.5,0,7854,0.79
332	,3141.TW,晶宏,262.5,-0.19,15876,0.78
333	,2486.TW,一詮,52.1,-0.57,2319,0.78
334	,6706.TW,惠特,215.5,0,1268,0.78
335	,3339.TW,泰谷,22.8,-0.65,914,0.78
336	,2520.TW,冠德,37.45,0,968,0.78
337	,2331.TW,精英,22.2,-1.33,2506,0.78
338	,1474.TW,弘裕,15.4,-0.65,698,0.78
339	,2069.TW,運錩,35.35,-0.42,994,0.78
340	,3167.TW,大量,104,-6.73,6356,0.78
341	,8027.TW,鈦昇,76.9,-0.77,1106,0.78
342	,6576.TW,逸達,120,-0.83,625,0.77
343	,1301.TW,台塑,104,-0.48,3493,0.77
344	,3217.TW,優群,139,-4.14,5907,0.77
345	,5475.TW,德宏,35.6,-1.11,9674,0.77
346	,4968.TW,立積,275.5,-0.36,1443,0.77
347	,6477.TW,安集,48.85,-2.69,3632,0.77
348	,4915.TW,致伸,56.9,-2.57,13233,0.76
349	,1909.TW,榮成,24.55,1.45,15339,0.76
350	,6251.TW,定穎,22.45,-0.44,2780,0.76
351	,6111.TW,大宇資,96,-4.95,8238,0.76
352	,3019.TW,亞光,92.7,-1.17,2459,0.75
353	,3672.TW,康聯訊,46.75,0.32,1883,0.75
354	,3689.TW,湧德,50.4,-4.73,26729,0.75
355	,2007.TW,燁興,21.4,-0.93,1454,0.75
356	,6488.TW,環球晶,846,0,1501,0.75
357	,4119.TW,旭富,82.8,-2.01,675,0.74
358	,2380.TW,虹光,16.5,-2.94,3237,0.74
359	,8429.TW,金麗-KY,12.9,-0.77,385,0.74
360	,6603.TW,富強鑫,18.05,-1.37,1345,0.74
361	,8111.TW,立碁,29.95,-3.7,7940,0.74
362	,6213.TW,聯茂,135,-2.17,5368,0.74
363	,3508.TW,位速,69.1,0.14,2302,0.74
364	,6756.TW,威鋒電子,515,-0.96,698,0.74
365	,8046.TW,南電,567,-1.05,2682,0.73
366	,2617.TW,台航,37.25,-0.8,2362,0.73
367	,2354.TW,鴻準,64.6,0,1321,0.73
368	,2390.TW,云辰,22.4,-0.88,1372,0.73
369	,2013.TW,中鋼構,60.2,-2.9,3897,0.73
370	,8255.TW,朋程,242,-2.42,10662,0.73
371	,5608.TW,四維航,46.6,-0.53,3955,0.73
372	,6278.TW,台表科,119.5,-0.83,2196,0.72
373	,2377.TW,微星,160.5,-0.31,1441,0.72
374	,8215.TW,明基材,38.3,-0.65,3497,0.72
375	,1711.TW,永光,26.2,-0.19,5595,0.72
376	,3546.TW,宇峻,92,-1.92,1476,0.72
377	,8261.TW,富鼎,108.5,-1.81,1741,0.72
378	,3704.TW,合勤控,34.05,-0.87,5670,0.72
379	,2442.TW,新美齊,13.2,-0.75,1709,0.71
380	,2636.TW,台驊投控,135.5,-0.73,1091,0.71
381	,2030.TW,彰源,30.45,-1.62,3541,0.71
382	,2014.TW,中鴻,42.55,-2.3,26407,0.71
383	,2327.TW,國巨,473,-0.63,3478,0.71
384	,2610.TW,華航,26.2,0.19,155939,0.71
385	,8016.TW,矽創,320.5,0,2141,0.71
386	,1305.TW,華夏,34.6,0,3433,0.7
387	,4906.TW,正文,29.9,0.5,3142,0.7
388	,1809.TW,中釉,16.1,-0.62,6029,0.7
389	,6104.TW,創惟,199,-3.4,12880,0.7
390	,8933.TW,愛地雅,13.1,0,1722,0.7
391	,8081.TW,致新,257,-1.15,609,0.7
392	,3306.TW,鼎天,33.4,0.91,1596,0.7
393	,2308.TW,台達電,270.5,0.19,2161,0.7
394	,3483.TW,力致,90.7,-2.05,1969,0.7
395	,6672.TW,騰輝電子-KY,132.5,-1.49,1211,0.7
396	,8070.TW,長華*,34.35,-0.29,2487,0.7
397	,3630.TW,新鉅科,39.55,-1.25,524,0.7
398	,3714.TW,富采,76.2,-0.78,2018,0.69
399	,6509.TW,聚和,69.3,-1,6825,0.69
400	,3588.TW,通嘉,145,-1.69,1316,0.69
401	,1101.TW,台泥,47.9,0.42,6034,0.69
402	,2431.TW,聯昌,13.85,-2.12,1719,0.69
403	,2484.TW,希華,39.3,-1.01,2152,0.69
404	,3694.TW,海華,27.65,-2.3,1830,0.69
405	,3044.TW,健鼎,123,0,279,0.69
406	,8431.TW,匯鑽科,68.7,-4.72,1681,0.68
407	,3037.TW,欣興,239,-0.42,26941,0.68
408	,8299.TW,群聯,487.5,-0.41,2668,0.68
409	,1609.TW,大亞,24.75,-0.8,2263,0.68
410	,4989.TW,榮科,46.3,-1.17,1252,0.68
411	,5457.TW,宣德,79,-1.99,1555,0.68
412	,3661.TW,世芯-KY,991,-2.84,1654,0.68
413	,2820.TW,華票,17,0.29,277,0.68
414	,3060.TW,銘異,25.6,-3.03,3567,0.68
415	,6126.TW,信音,28.25,-1.22,1566,0.68
416	,2388.TW,威盛,87.7,-1.9,16140,0.67
417	,2462.TW,良得電,29.2,-3.31,1239,0.67
418	,1529.TW,樂士,21.35,-1.16,908,0.67
419	,5014.TW,建錩,21.7,-1.36,1130,0.67
420	,3504.TW,揚明光,119,-1.24,835,0.66
421	,6219.TW,富旺,17.9,-0.28,2177,0.66
422	,3491.TW,昇達科,211,-1.17,1710,0.66
423	,8096.TW,擎亞,15.2,-1.3,1846,0.66
424	,1440.TW,南紡,25.75,-0.77,16774,0.66
425	,6244.TW,茂迪,36,-1.91,6309,0.65
426	,3362.TW,先進光,80.1,-2.32,2258,0.65
427	,6167.TW,久正,15.6,-3.11,7242,0.64
428	,2027.TW,大成鋼,46.8,-1.16,13149,0.64
429	,9940.TW,信義,36.2,-1.09,530,0.64
430	,3046.TW,建碁,47,-8.74,2375,0.64
431	,4961.TW,天鈺,282.5,0.18,9629,0.64
432	,4967.TW,十銓,47.75,-0.42,1858,0.64
433	,6005.TW,群益證,16.55,0,1811,0.64
434	,3338.TW,泰碩,54.7,-1.44,3481,0.64
435	,6438.TW,迅得,107.5,-0.92,309,0.64
436	,2329.TW,華泰,26.1,0.38,33633,0.64
437	,4743.TW,合一,287,-1.37,1541,0.64
