符合條件商品
資料日期：2022年  8月 11日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例
執行時間：2022-08-11 22:33 符合檔數(1487)
243	,4162.TW,智擎,87.5,1.39,2337,18.14,5.16,1.41,2.49
244	,6126.TW,信音,22.75,-0.44,424,18.12,2.67,0.02,0
245	,1584.TW,精剛,21.6,-2.04,3095,18.1,1.72,0.25,0
246	,3661.TW,世芯-KY,667,7.93,7176,18.09,60.7,1.55,8.08
247	,3205.TW,佰研,53.6,1.9,1162,17.98,9.57,0.17,0
248	,6209.TW,今國光,30.15,0.84,674,17.97,2.41,0.22,0
249	,6416.TW,瑞祺電通,93.7,0.86,235,17.94,1.07,0.24,0.03
250	,6226.TW,光鼎,13.1,-0.76,1296,17.88,3.86,0.35,0
251	,3645.TW,達邁,37.25,6.13,3661,17.8,12.89,0.52,0
252	,4303.TW,信立,20.95,-1.18,395,17.8,2.36,0.05,0
253	,6231.TW,系微,72,-1.91,261,17.79,16.55,0.43,0
254	,3346.TW,麗清,34.8,9.95,4003,17.7,3.51,0.05,0.4
255	,1568.TW,倉佑,28.05,-1.75,3470,17.66,1.07,0.11,0
256	,8103.TW,瀚荃,38.05,-3.55,1522,17.65,11.35,1.23,0
257	,8104.TW,錸寶,41.25,3.64,1289,17.65,3.08,0.14,0
258	,3339.TW,泰谷,13.5,1.5,95,17.6,3.66,0.4,0
259	,8034.TW,榮群,15.65,-1.26,209,17.6,3.36,0,0
260	,6603.TW,富強鑫,17.4,2.05,1631,17.54,2.59,0.18,0
261	,2743.TW,山富,57.5,-0.17,768,17.42,0.53,0.4,0
262	,3094.TW,聯傑,27.15,1.69,426,17.42,1.8,0.16,0
263	,6251.TW,定穎,20.2,-0.98,3497,17.42,15.05,1.18,0.05
264	,4919.TW,新唐,113,1.8,7242,17.39,5.37,0.75,4.12
265	,6461.TW,益得,30.4,-3.65,4584,17.36,0.72,0.38,0
266	,6432.TW,今展科,29.75,-1,138,17.23,0.61,0,0
267	,6530.TW,創威,23,-0.65,142,17.08,1.04,0,0
268	,3379.TW,彬台,12.15,-2.02,250,17.06,0.45,0.16,0
269	,8429.TW,金麗-KY,9.55,-0.21,99,17.05,33.39,0.1,0
270	,4541.TW,晟田,29.5,-1.17,1088,17.03,1.89,0.03,0
271	,3003.TW,健和興,83.4,2.21,3082,16.99,4.41,0.51,1.68
272	,3276.TW,宇環,13.4,-8.22,1077,16.99,0.75,0.04,0
273	,8255.TW,朋程,190.5,1.87,5367,16.95,5.59,0.73,6.67
274	,5202.TW,力新,18.15,0,6,16.94,0.4,0,0
275	,8086.TW,宏捷科,73.5,3.81,1841,16.94,7.78,0.95,0.01
276	,5457.TW,宣德,57.5,4.93,1742,16.92,37.42,0.1,0.37
277	,8096.TW,擎亞,13.2,-0.75,764,16.84,22.29,0.06,0
278	,2461.TW,光群雷,19.35,0,689,16.83,4.94,0.05,0
279	,3419.TW,譁裕,18.3,3.1,10058,16.69,6.78,0.41,0
280	,2906.TW,高林,19.1,-0.26,1156,16.66,4.9,3.68,0.11
281	,1762.TW,中化生,56.1,-3.61,1108,16.65,3.01,0.96,0.92
282	,6538.TW,倉和,74.7,1.08,230,16.57,4.71,0.51,0
283	,2399.TW,映泰,15.4,0.65,1441,16.47,4.85,0.56,0
284	,2419.TW,仲琦,27.2,-1.81,8434,16.47,3.05,0.51,0.02
