符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
182	,1760.TW,寶齡富錦,69.4,0.58,649,0.7,0.58,0.66,0,0.62,0.6
183	,1762.TW,中化生,65.3,-0.76,313,0.42,0.62,0.59,0.4,0.59,0.6
184	,1773.TW,勝一,139.5,-1.76,274,0.78,0.55,0.64,0.29,0.39,0.52
185	,1776.TW,展宇,21.2,-0.93,61,0.44,0.45,0.3,0.25,0.42,0.24
186	,1777.TW,生泰,64.5,0,83,0.51,0.57,0,0,0,0.33
187	,1783.TW,和康生,51.1,-1.92,383,0.6,0.52,0.42,0,0.59,0.43
188	,1784.TW,訊聯,39.8,-0.5,162,0.58,0.54,0.18,0,0.41,0.46
189	,1785.TW,光洋科,48.3,-0.72,2296,0.7,0.58,0.57,0.43,0.61,0.52
190	,1786.TW,科妍,50.2,0.6,55,0.48,0.56,0.32,0,0,0.26
191	,1788.TW,杏昌,140,0,20,0.34,0.44,0,0,0.2,0.2
192	,1789.TW,神隆,24.25,-1.02,293,0.48,0.6,0.5,0,0.44,0.52
193	,1795.TW,美時,95.3,-1.95,3578,0.59,0.6,0.47,0.36,0.53,0.6
194	,1802.TW,台玻,25.8,1.18,8742,0.55,0.62,0.74,0.62,0.66,0.52
195	,1806.TW,冠軍,12.1,-1.63,1005,0.52,0.5,0.34,0,0.58,0.41
196	,1808.TW,潤隆,59.1,-0.51,79,0.4,0.62,0.55,0,0,0.42
197	,1809.TW,中釉,15.5,-0.64,1369,0.64,0.46,0.26,0.25,0.58,0.46
198	,1810.TW,和成,17,-1.16,2332,0.58,0.68,0.3,0.25,0.56,0.36
199	,1813.TW,寶利徠,18.05,-0.55,27,0.45,0.44,0.33,0,0,0
200	,1815.TW,富喬,16.5,-1.2,1577,0.6,0.66,0.68,0,0.7,0.46
201	,1817.TW,凱撒衛,36.85,-0.41,53,0.54,0.58,0.3,0,0,0.36
202	,1903.TW,士紙,66.9,4.21,919,0.44,0.66,0.56,0,0.73,0.5
203	,1904.TW,正隆,33.9,0.59,1916,0.62,0.56,0.56,0.55,0.4,0.54
204	,1905.TW,華紙,23.45,0.21,4830,0.64,0.56,0.58,0.29,0.64,0.48
205	,1906.TW,寶隆,20.35,0.25,166,0.68,0.48,0.32,0.18,0.4,0.5
206	,1907.TW,永豐餘,33.6,0.3,3192,0.64,0.42,0.84,0.57,0.54,0.54
207	,1909.TW,榮成,23.7,1.28,4104,0.52,0.5,0.64,0.6,0.62,0.54
208	,2002.TW,中鋼,35.45,3.2,187761,0.7,0.7,0.7,0.64,0.66,0.4
209	,2006.TW,東和鋼鐵,67,7.2,19523,0.68,0.6,0.8,0.74,0.51,0.53
210	,2007.TW,燁興,21.75,2.11,5005,0.67,0.76,0.45,0.09,0.69,0.5
211	,2008.TW,高興昌,19.9,1.02,142,0.6,0.58,0.25,0,0.58,0.45
212	,2009.TW,第一銅,43.15,0.94,2856,0.7,0.58,0.43,0,0.64,0.58
213	,2010.TW,春源,23.4,1.52,7024,0.82,0.4,0.64,0.08,0.56,0.5
214	,2012.TW,春雨,31.15,2.47,966,0.69,0.52,0.5,0.17,0.57,0.52
215	,2013.TW,中鋼構,55.9,3.14,3414,0.74,0.52,0.71,0,0.44,0.5
216	,2014.TW,中鴻,41.7,5.84,101346,0.7,0.56,0.62,0.58,0.67,0.46
217	,2015.TW,豐興,83.8,2.2,1278,0.6,0.6,0.67,0.33,0.41,0.44
218	,2017.TW,官田鋼,20.25,2.02,3652,0.64,0.48,0.58,0.06,0.78,0.54
219	,2020.TW,美亞,31.9,0.95,751,0.7,0.56,0.46,0.17,0.48,0.49
220	,2023.TW,燁輝,24.9,2.89,21335,0.56,0.56,0.64,0.25,0.66,0.5
221	,2024.TW,志聯,19.95,1.79,221,0.58,0.47,0.3,0,0.47,0.53
222	,2027.TW,大成鋼,47.65,1.17,39022,0.76,0.58,0.7,0.67,0.72,0.5
223	,2028.TW,威致,45.4,-0.33,14733,0.8,0.42,0.67,0,0.69,0.59
224	,2029.TW,盛餘,33.65,2.75,2111,0.5,0.56,0.61,0.21,0.48,0.54
225	,2030.TW,彰源,30.4,2.7,8442,0.74,0.42,0.56,0.13,0.44,0.5
226	,2031.TW,新光鋼,58.8,2.62,6975,0.64,0.58,0.7,0.51,0.67,0.56
227	,2032.TW,新鋼,23.85,2.58,1065,0.64,0.44,0.34,0.14,0.63,0.57
228	,2033.TW,佳大,17.75,1.72,693,0.56,0.48,0.52,0.09,0.58,0.52
229	,2034.TW,允強,32.85,2.82,4336,0.62,0.68,0.72,0.12,0.47,0.5
230	,2035.TW,唐榮,36.2,0,35,0.38,0.4,0.33,0,0.18,0.25
231	,2038.TW,海光,35.9,0.14,11084,0.72,0.52,0.48,0,0.71,0.62
232	,2049.TW,上銀,295,2.25,2070,0.46,0.76,0.73,0.65,0.52,0.42
233	,2059.TW,川湖,491.5,-0.51,143,0.48,0.67,0.49,0.45,0.48,0.46
234	,2062.TW,橋椿,26.9,-0.37,159,0.5,0.62,0.32,0,0.19,0.5
235	,2063.TW,世鎧,35.9,0.14,26,0.5,0.43,0.25,0,0,0.11
236	,2064.TW,晉椿,18.3,0.83,30,0.46,0.39,0,0,0,0
