符合條件商品
資料日期：2021年 12月 10日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-12 22:25 符合檔數(1450)
173	,1731.TW,美吾華,19.45,1.04,221,52.14,0.86,6.06,35
174	,1732.TW,毛寶,31.9,10,5888,44.33,3.96,17.3,28.64
175	,1733.TW,五鼎,24.25,-0.41,216,12.34,4.53,4.74,10.2
176	,1734.TW,杏輝,29.05,0.69,1576,24.96,3.06,14.04,17.51
177	,1735.TW,日勝化,18.25,0.55,7,83.68,50.44,0.34,58.98
178	,1736.TW,喬山,57,0,195,77.97,7.71,2.74,67.56
179	,1737.TW,臺鹽,33.25,0.15,326,53.41,11.05,0.8,39.28
180	,1742.TW,台蠟,19.6,0,40,62.74,0.46,44.16,31.21
181	,1752.TW,南光,36.3,-0.27,31,59.03,1.12,3.46,18.46
182	,1760.TW,寶齡富錦,69,-0.58,1359,23.71,1.23,18.87,20.75
183	,1762.TW,中化生,66.9,-0.89,284,40.01,6.67,30.21,30.68
184	,1773.TW,勝一,141.5,-0.35,178,64.83,4.02,0.97,54.03
185	,1776.TW,展宇,21.65,-1.59,86,53.63,1.46,6.33,9.85
186	,1777.TW,生泰,65.3,-1.21,119,59.92,0.15,1.86,29.77
187	,1783.TW,和康生,55.7,-3.63,1155,56.86,8.48,19.14,24.57
188	,1784.TW,訊聯,41.9,0.6,296,21.23,2.12,18.4,11.37
189	,1785.TW,光洋科,49,-2.58,9221,37.33,6.5,18.92,3.59
190	,1786.TW,科妍,49.8,0.81,65,44.17,0.45,5.65,17.18
191	,1788.TW,杏昌,139.5,0.36,8,42.28,11.05,0.09,30.45
192	,1789.TW,神隆,24.55,0.41,559,76.09,3.93,2.2,64.44
193	,1795.TW,美時,97.6,0.41,1829,68.02,76.7,15.45,57.5
194	,1802.TW,台玻,26.15,-2.79,12974,82.46,10.06,3.59,30.16
195	,1806.TW,冠軍,12.1,0,1094,69.96,10.95,8.48,15.46
196	,1808.TW,潤隆,59.4,-0.17,74,85,5.11,4.59,10.07
197	,1809.TW,中釉,15.45,1.98,4076,48.22,3.95,12.57,16.95
198	,1810.TW,和成,16.35,0.62,1647,68.7,6.11,31.91,10.06
199	,1813.TW,寶利徠,18.1,0,18,27.21,10.15,1.45,16.57
200	,1815.TW,富喬,16.7,-1.47,2277,29.19,5.37,17.43,16.95
201	,1817.TW,凱撒衛,36.9,-0.14,41,46.76,2.82,11.07,16.96
202	,1903.TW,士紙,64,-1.08,290,79.02,18.92,3.77,8.56
203	,1904.TW,正隆,33.9,-0.29,1936,64.41,8.98,2.17,12.43
204	,1905.TW,華紙,22.85,-0.65,2644,71.48,2.98,5.04,57.83
205	,1906.TW,寶隆,20.2,-1.22,108,68.26,1.8,16.61,35
206	,1907.TW,永豐餘,34.6,-0.86,2209,78.23,16.42,4.1,5.79
207	,1909.TW,榮成,23.8,-1.24,5670,67.99,10.42,8.83,36.71
208	,2002.TW,中鋼,34.2,-0.44,31299,60.67,21.47,2.24,20.17
209	,2006.TW,東和鋼鐵,60.8,0.16,1678,61.27,16,5.57,34.05
210	,2007.TW,燁興,21.25,-0.23,1813,75.91,0.33,21.89,73.59
211	,2008.TW,高興昌,20.15,1,133,84.91,7.7,1.74,37.7
212	,2009.TW,第一銅,43.7,-1.35,1250,55.56,1.98,11.42,40.39
213	,2010.TW,春源,22.6,-0.44,1435,61.85,5.7,6.52,28.29
214	,2012.TW,春雨,29.9,0,146,71.43,1.99,3.59,29.34
215	,2013.TW,中鋼構,54.8,0.37,1204,67.21,8.27,19.51,43.1
216	,2014.TW,中鴻,38.5,0.13,25933,53.17,6.62,15.38,40.59
217	,2015.TW,豐興,80,0,111,81.36,12.1,0.26,11.78
218	,2017.TW,官田鋼,19.95,-1.24,1446,64.72,15.85,7,31.71
219	,2020.TW,美亞,31.7,-0.78,422,51.01,3.72,7.54,16.71
220	,2023.TW,燁輝,24.3,-0.61,8985,68.63,5.23,8.43,3.31
221	,2024.TW,志聯,20.05,-0.5,97,70.34,1.49,4.41,36.11
222	,2027.TW,大成鋼,47,-0.63,17658,55.34,16.72,13.63,6.75
223	,2028.TW,威致,44.7,0.79,9721,77.7,0.71,20.12,23.41
224	,2029.TW,盛餘,33.35,0.15,1436,69.71,69.66,10.46,65.78
225	,2030.TW,彰源,30.25,-1.94,6029,34.11,3.03,25.34,24.75
226	,2031.TW,新光鋼,57.5,-0.52,1440,44.23,8.61,19.44,22.47
227	,2032.TW,新鋼,23.25,-1.06,505,46.02,0.89,13.56,28.53
228	,2033.TW,佳大,17.85,1.71,282,54.04,0.84,7.63,16.21
229	,2034.TW,允強,31.8,0,1064,43.03,8.63,9.42,18.55
230	,2035.TW,唐榮,36.1,0.42,12,96.5,0.02,0.5,45.23
231	,2038.TW,海光,36.05,1.55,5610,48.8,1.49,24.91,33.25
232	,2049.TW,上銀,292,-0.51,516,59.53,47.99,2.82,12.4
233	,2059.TW,川湖,488.5,0.83,119,69.88,18.68,2.39,21.11
234	,2062.TW,橋椿,26.95,-0.92,198,60.25,10.76,6.98,42.43
235	,2063.TW,世鎧,35.95,-0.96,105,32.83,1.43,2.68,14.1
236	,2064.TW,晉椿,18.1,0.28,9,75.65,0.25,2.15,16.26
237	,2065.TW,世豐,48,-0.52,90,31.23,1.8,2.01,11.56
238	,2066.TW,世德,62.7,1.95,126,67.98,10.39,2.68,47.18
239	,2069.TW,運錩,35.65,-0.14,1818,51.09,1.19,21.29,33.94
240	,2070.TW,精湛,32.85,-2.52,88,62.54,0.65,3.25,37.06
241	,2101.TW,南港,39.4,0,1634,70.16,5.74,20.07,7.37
242	,2102.TW,泰豐,28.25,-5.2,4908,74.25,6.62,3.75,34.75
243	,2103.TW,台橡,34.3,-1.86,3591,63.88,30.9,4.27,14.14
244	,2104.TW,國際中橡,26.15,-0.38,1301,45.65,11.33,4.35,15.66
245	,2105.TW,正新,35.85,-1.92,10641,76.58,14.9,1.35,15.4
246	,2106.TW,建大,31.05,-0.8,1254,78.41,6.95,1.34,26.02
247	,2107.TW,厚生,22.7,-0.87,225,48.99,10.63,2.42,18.19
248	,2108.TW,南帝,80.6,1.13,2606,68.63,14.3,5.63,41.01
249	,2109.TW,華豐,16.7,0.6,622,63.89,14.64,2.19,17.21
250	,2114.TW,鑫永銓,120.5,0.84,46,57.57,2.19,2.97,19.56
251	,2115.TW,六暉-KY,40.5,-0.86,32,68.21,44.27,0.48,8.27
252	,2201.TW,裕隆,41.35,-0.84,2192,63.48,8.87,5.64,39.32
253	,2204.TW,中華,64.6,-0.15,303,74.57,30.36,0.81,52.84
254	,2206.TW,三陽工業,26.9,1.7,715,73.33,8.23,4.49,10.28
255	,2207.TW,和泰車,615,-1.76,128,83.94,24.31,0.05,19.43
256	,2208.TW,台船,22.05,0,1929,50.28,4.9,8.37,42.62
257	,2211.TW,長榮鋼,55.9,2.19,2347,77.33,1.12,0.43,30.82
258	,2221.TW,大甲,42.05,-0.71,426,64.36,3.86,12.71,40.93
259	,2228.TW,劍麟,68.5,0.88,22,53.32,5.77,4.18,28.27
260	,2230.TW,泰茂,13.5,0.75,33,45.61,0.23,13.85,19.55
261	,2231.TW,為升,181,0.84,266,59.38,7.27,25.59,35.25
262	,2233.TW,宇隆,94.7,-0.32,164,26.37,21.19,13.04,9.85
263	,2235.TW,謚源,39.15,0.13,9,75.95,0.04,0.26,45.43
264	,2236.TW,百達-KY,27.95,2.19,85,76.37,35.01,1.09,21.28
265	,2239.TW,英利-KY,83.4,-0.12,143,76.93,75.84,5.5,39.96
266	,2241.TW,艾姆勒,50.2,-0.59,159,46.94,22.7,8.92,13.3
267	,2243.TW,宏旭-KY,18.9,0.27,225,63.45,43.56,3.39,39.71
268	,2247.TW,汎德永業,211,0.48,51,74.11,0.7,0.34,37.65
269	,2250.TW,IKKA-KY,105,0.96,73,60.04,5.76,0.39,15.5
270	,2301.TW,光寶科,62.7,0.16,3723,78.04,56.52,0.4,6.21
271	,2302.TW,麗正,16.9,-1.74,164,65.26,4.55,6.76,26.63
272	,2303.TW,聯電,63.5,-0.78,150492,68.25,42.8,7.98,6.87
273	,2305.TW,全友,8.7,-0.11,401,57.67,6.01,5.63,21.67
274	,2308.TW,台達電,271,0.74,7569,80.98,68.99,0.53,7.33
275	,2312.TW,金寶,14,0,16317,52.57,10.09,12.31,9.79
276	,2313.TW,華通,41.7,-1.77,5495,57.9,14.94,11.44,9.25
277	,2316.TW,楠梓電,29.35,0,316,46.28,26.72,5.52,19.2
278	,2317.TW,鴻海,105,-0.94,20489,71,48.22,1.52,9.75
279	,2323.TW,中環,9.14,-2.25,11792,35.39,14.37,12.34,11.67
280	,2324.TW,仁寶,24.3,1.25,41435,67.07,56.35,0.87,6.11
281	,2327.TW,國巨,447.5,-1.32,2495,47.37,52.42,10.68,8.31
282	,2328.TW,廣宇,38.95,0.52,2210,34.77,9.44,16.49,3.97
283	,2329.TW,華泰,25.95,0,3760,45.12,11.91,19.39,26.56
284	,2330.TW,台積電,605,-0.49,11372,88.53,76.53,0.38,6.73
285	,2331.TW,精英,22.35,-2.19,8220,58.69,7.75,24.91,30.63
286	,2332.TW,友訊,19.05,2.14,5789,41.88,8.86,10.4,5.39
287	,2337.TW,旺宏,41.4,0,11314,36.12,23.84,11.97,3.28
288	,2338.TW,光罩,107,-0.47,17635,45,14.61,41.59,10.83
289	,2340.TW,光磊,59.2,1.37,15664,39.23,16.32,29.56,21.01
290	,2342.TW,茂矽,48.35,-3.69,10293,43.09,7.05,49.08,31.43
291	,2344.TW,華邦電,30.9,-1.59,26233,61.58,23.57,7.44,30.26
292	,2345.TW,智邦,304,0.5,1656,68.68,73.59,0.35,2.02
293	,2347.TW,聯強,64.1,2.4,10675,77.52,40.47,1.83,19.75
294	,2348.TW,海悅,105.5,-1.4,591,72.48,2.4,6.61,54.11
295	,2351.TW,順德,157.5,-1.56,1464,69.16,25.93,7.52,13.51
296	,2352.TW,佳世達,30.25,-0.33,4022,55.04,22.12,2.94,17.77
297	,2353.TW,宏碁,29.75,-0.83,14851,47.16,37.72,5.1,4.21
298	,2354.TW,鴻準,65.3,0.15,4407,55.92,23.45,4.93,0.62
299	,2355.TW,敬鵬,35.5,-1.53,6799,41.65,15.19,8.87,11.89
300	,2356.TW,英業達,25.55,-0.39,7177,78.06,36.61,0.45,12.55
301	,2357.TW,華碩,368,0.27,2269,59.33,58.98,1.48,5.55
