符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
249	,2207.TW,和泰車,665,0.76,147,1.44
250	,6165.TW,浪凡,29.9,-0.66,127,1.43
251	,5425.TW,台半,105,0.96,4942,1.43
252	,6605.TW,帝寶,101,3.59,1558,1.43
253	,1709.TW,和益,26,0.58,1497,1.43
254	,3526.TW,凡甲,144.5,1.05,181,1.43
255	,1409.TW,新纖,17.85,-0.56,3346,1.43
256	,3533.TW,嘉澤,937,0.54,290,1.43
257	,5703.TW,亞都,21.9,-0.9,66,1.42
258	,1460.TW,宏遠,8.08,2.54,3056,1.42
259	,3037.TW,欣興,139,0,11789,1.42
260	,4123.TW,晟德,48.25,0.52,1912,1.42
261	,5243.TW,乙盛-KY,67.1,0.3,1594,1.42
262	,9960.TW,邁達康,29.95,0.34,45,1.42
263	,2450.TW,神腦,35.35,0.14,99,1.41
264	,1342.TW,八貫,157.5,0.64,2529,1.41
265	,1708.TW,東鹼,43.2,0.93,2497,1.41
266	,2007.TW,燁興,11.4,-1.3,386,1.41
267	,3483.TW,力致,72.3,2.84,957,1.41
268	,1218.TW,泰山,30.2,-0.17,1084,1.41
269	,3522.TW,御頂,12.6,3.28,165,1.41
270	,4167.TW,松瑞藥,19.3,1.85,1491,1.4
271	,8436.TW,大江,209.5,0.48,1639,1.4
272	,6558.TW,興能高,27.35,1.67,535,1.4
273	,8044.TW,網家,61.8,0.32,317,1.4
274	,3324.TW,雙鴻,251,1.41,3212,1.4
275	,1313.TW,聯成,15.2,0.33,1960,1.4
276	,2937.TW,集雅社,34.55,-0.29,12,1.4
277	,4430.TW,耀億,23.2,0.22,11,1.4
278	,2641.TW,正德,20.15,0.75,2236,1.4
279	,8367.TW,建新國際,48.75,0.52,84,1.4
280	,8249.TW,菱光,32.7,2.83,697,1.4
281	,8227.TW,巨有科技,172.5,-1.15,321,1.4
282	,4113.TW,聯上,16.75,1.21,847,1.39
283	,6141.TW,柏承,18.9,0.27,61,1.39
284	,2849.TW,安泰銀,14.75,0,60,1.39
285	,6510.TW,精測,572,1.24,68,1.39
286	,3704.TW,合勤控,39.95,2.96,4631,1.39
287	,4971.TW,IET-KY,72.9,9.95,1535,1.39
288	,8024.TW,佑華,25.6,1.99,462,1.39
289	,1323.TW,永裕,33.05,-0.15,40,1.39
290	,3035.TW,智原,194.5,0,4288,1.38
291	,3294.TW,英濟,19.3,0.78,1498,1.38
292	,6177.TW,達麗,32.1,-0.62,553,1.38
293	,3406.TW,玉晶光,393,1.03,1884,1.37
294	,6560.TW,欣普羅,36.8,-0.27,36,1.37
295	,2314.TW,台揚,46.5,5.92,7248,1.37
296	,4130.TW,健亞,28.1,0.54,721,1.37
297	,6662.TW,樂斯科,31.5,-0.63,31,1.37
298	,3045.TW,台灣大,105,0,2915,1.37
299	,4728.TW,雙美,194.5,9.89,486,1.37
300	,2726.TW,雅茗-KY,28,-1.23,93,1.37
301	,3217.TW,優群,113,4.63,3310,1.37
302	,6451.TW,訊芯-KY,85.4,1.18,293,1.37
303	,1533.TW,車王電,53.3,1.33,603,1.37
304	,6756.TW,威鋒電子,233,2.19,400,1.37
305	,2365.TW,昆盈,10.9,2.35,1069,1.37
306	,8111.TW,立碁,22.9,1.78,754,1.36
307	,3232.TW,昱捷,28.8,-0.52,76,1.36
308	,8103.TW,瀚荃,38.85,3.6,1254,1.36
309	,3141.TW,晶宏,109.5,1.39,1291,1.36
310	,3306.TW,鼎天,27.2,4.21,724,1.36
311	,3529.TW,力旺,2085,1.96,481,1.36
312	,4912.TW,聯德控股-KY,77.4,0.52,51,1.36
313	,3234.TW,光環,24.95,1.01,216,1.35
314	,5201.TW,凱衛,27.6,0.55,26,1.35
315	,8446.TW,華研,93,1.42,230,1.35
316	,3438.TW,類比科,61.3,0.49,220,1.35
317	,4133.TW,亞諾法,37.45,0.54,241,1.35
318	,6284.TW,佳邦,61.6,1.65,1840,1.35
319	,6530.TW,創威,29,4.5,534,1.35
320	,8092.TW,建暐,12.1,2.11,164,1.35
321	,5340.TW,建榮,46.65,1.63,605,1.35
322	,1340.TW,勝悅-KY,11.2,0,114,1.34
323	,3019.TW,亞光,68.5,2.24,2044,1.34
324	,2897.TW,王道銀行,10.2,1.49,11743,1.34
325	,3230.TW,錦明,13.6,3.42,408,1.34
326	,3466.TW,致振,32.95,2.65,548,1.34
327	,1702.TW,南僑,48.5,1.25,498,1.34
328	,1101.TW,台泥,37.95,1.07,28132,1.34
329	,2645.TW,長榮航太,122.5,9.87,5635,1.34
330	,2064.TW,晉椿,18.6,-0.27,38,1.33
331	,2357.TW,華碩,281,1.26,1618,1.33
332	,5274.TW,信驊,2815,2.18,288,1.33
333	,1568.TW,倉佑,24.55,1.87,364,1.33
334	,6020.TW,大展證,18.8,-0.53,8,1.33
335	,2029.TW,盛餘,26.5,0.76,404,1.33
336	,1440.TW,南紡,17.1,0,639,1.33
337	,1316.TW,上曜,13.6,3.03,3244,1.33
338	,2066.TW,世德,103,7.29,2041,1.33
339	,9939.TW,宏全,100.5,-0.5,1379,1.33
340	,2459.TW,敦吉,57.1,0.18,50,1.33
341	,3499.TW,環天科,24.05,5.48,3057,1.33
342	,3705.TW,永信,44.85,0.79,1206,1.33
343	,1506.TW,正道,21.6,1.41,284,1.32
344	,6796.TW,晉弘,105.5,0,273,1.32
345	,8131.TW,福懋科,44.5,0.68,588,1.32
346	,5344.TW,立衛,17.55,0.86,95,1.32
347	,1452.TW,宏益,17.65,0.28,82,1.32
348	,4527.TW,方土霖,32.05,0.94,153,1.32
349	,4729.TW,熒茂,17.7,-1.12,116,1.32
350	,1321.TW,大洋,37.55,0.54,210,1.31
351	,4175.TW,杏一,102.5,4.91,551,1.31
352	,2883.TW,開發金,13.25,-0.38,20553,1.31
353	,1809.TW,中釉,15.7,9.79,14191,1.31
354	,6275.TW,元山,35.9,4.51,2035,1.31
355	,2441.TW,超豐,54.7,0.18,620,1.31
356	,2547.TW,日勝生,9.39,0.11,1189,1.3
357	,6411.TW,晶焱,121.5,0.41,735,1.3
358	,5452.TW,佶優,23.85,8.66,6594,1.3
359	,6811.TW,宏碁資訊,236,3.96,1194,1.3
360	,2852.TW,第一保,15.8,0,264,1.3
361	,4911.TW,德英,67.8,4.15,484,1.3
362	,2515.TW,中工,11.3,4.63,72480,1.3
363	,3694.TW,海華,25.5,2,1347,1.3
364	,3332.TW,幸康,47.95,2.24,19,1.3
365	,4419.TW,元勝,22.45,9.51,15,1.3
366	,3010.TW,華立,88.5,0.34,213,1.3
367	,5515.TW,建國,13.3,1.92,523,1.3
368	,6747.TW,亨泰光,268,3.47,515,1.3
369	,2399.TW,映泰,16.05,-0.93,1315,1.3
370	,6218.TW,豪勉,21.45,8.33,1538,1.3
371	,4950.TW,牧東,18,1.12,826,1.3
372	,6446.TW,藥華藥,427,1.3,3331,1.29
373	,9924.TW,福興,43.9,0.23,57,1.29
374	,9962.TW,有益,21.45,0.47,1861,1.29
375	,8222.TW,寶一,52.1,9.8,17284,1.29
376	,6776.TW,展碁國際,56,5.26,1357,1.29
377	,2434.TW,統懋,29.75,0,12,1.29
378	,5321.TW,美而快,93.2,2.31,948,1.29
379	,6863.TW,永道-KY,200,5.54,1005,1.29
380	,3675.TW,德微,302.5,4.31,1877,1.29
381	,4116.TW,明基醫,62.9,1.13,264,1.29
382	,4951.TW,精拓科,69.3,10,749,1.29
383	,5309.TW,系統電,45.85,1.89,4960,1.29
384	,5299.TW,杰力,142,1.43,312,1.29
385	,3259.TW,鑫創,20.45,0,30,1.29
386	,3268.TW,海德威,23.3,1.08,36,1.28
387	,3653.TW,健策,475,-0.94,702,1.28
388	,1560.TW,中砂,118,1.29,1259,1.28
389	,6219.TW,富旺,11.2,0.45,196,1.28
390	,2888.TW,新光金,8.57,-0.12,21572,1.28
391	,6208.TW,日揚,54.1,-0.37,118,1.28
392	,6585.TW,鼎基,67.7,1.8,310,1.28
393	,2377.TW,微星,147.5,0.34,1137,1.28
394	,6790.TW,永豐實,38.95,2.64,382,1.28
395	,3322.TW,建舜電,23.55,3.52,2284,1.28
396	,4768.TW,晶呈科技,186.5,1.36,382,1.27
397	,2408.TW,南亞科,68,0.59,10771,1.27
