符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
199	,1773.TW,勝一,115.5,0.87,124,7856.17,6051,26.71,202212,1
200	,1776.TW,展宇,16.45,-0.3,8,491,309,26.85,202108,1
201	,1777.TW,生泰,82.6,-1.9,181,3245.17,9021,17.33,202103,1
202	,1781.TW,合世,14.95,-1.97,192,5252,7155,66.85,202006,0
203	,1783.TW,和康生,45.5,-4.51,2263,26847.17,65067,72.67,202004,0
204	,1784.TW,訊聯,43.7,-0.46,233,6953.17,12478,19.96,202004,0
205	,1785.TW,光洋科,32.25,0.62,398,36818.17,34044,88.44,202006,0
206	,1786.TW,科妍,53.6,-1.11,609,8363.67,26755,36.76,202004,0
207	,1788.TW,杏昌,144,0,12,558.67,337,10.36,202011,1
208	,1789.TW,神隆,25.2,-0.98,1010,47259.17,81657,25.25,202006,0
209	,1795.TW,美時,250.5,1.83,13203,367597.17,194943,57.93,202211,1
210	,1796.TW,金穎生技,66.9,0,37,2878.5,5238,34.24,202208,0
211	,1799.TW,易威,16,-0.31,4,1371.83,308,63.72,202005,1
212	,1802.TW,台玻,21.35,0.47,5303,184586.17,447279,70.1,202104,1
213	,1805.TW,寶徠,10.65,0,0,788.17,367,49.77,202102,0
214	,1806.TW,冠軍,8.85,-1.12,197,13548.83,10216,77.15,202104,0
215	,1808.TW,潤隆,69.2,-0.43,226,5743,9102,15.82,202205,1
216	,1809.TW,中釉,12.45,0.81,540,11113.33,15466,42.23,202104,0
217	,1810.TW,和成,18.6,0.54,10813,115731.33,329535,89.86,202211,0
218	,1813.TW,寶利徠,22.95,0.66,9,2505.17,1227,14.03,202208,1
219	,1815.TW,富喬,11.7,0.43,233,46208,18705,32.9,202104,1
220	,1817.TW,凱撒衛,37.9,0.13,15,1430,2422,13.14,202006,0
221	,1903.TW,士紙,49.8,0,19,1708,1358,31.68,202106,1
222	,1904.TW,正隆,27.35,0,278,18990.83,13794,30.6,202008,1
223	,1905.TW,華紙,16.05,-0.62,410,19819,14039,96.97,202104,0
224	,1906.TW,寶隆,16.85,0,33,12535,8825,22.43,202002,0
225	,1907.TW,永豐餘,24.6,0.61,753,39024.67,46221,34.07,202008,0
226	,1909.TW,榮成,16.25,-0.61,4626,49895,72667,31.88,202002,1
227	,2002.TW,中鋼,30.25,1.51,26160,719071.67,1113968,51.74,202104,1
228	,2006.TW,東和鋼鐵,51.8,-1.71,945,43755.67,47946,53.9,202212,1
229	,2007.TW,燁興,12.5,3.73,4113,39796,93283,73.3,202104,0
230	,2008.TW,高興昌,18.15,1.68,28,733,929,37.45,202012,1
231	,2009.TW,第一銅,30.15,0.84,1403,82491.33,77238,90.85,202104,0
232	,2010.TW,春源,15.9,-0.31,211,12633.17,15548,72.13,202104,0
233	,2012.TW,春雨,23.7,-1.25,79,2160,4888,66.42,202104,0
234	,2013.TW,中鋼構,59,0,102,7908.67,7292,66.74,202108,1
235	,2014.TW,中鴻,27.1,1.31,10104,334501,781666,118.46,202104,1
236	,2015.TW,豐興,63.9,0.31,102,5656.5,6007,24.02,202104,1
237	,2017.TW,官田鋼,13.9,0.36,377,16374.5,21207,89.3,202104,0
238	,2020.TW,美亞,23.2,1.09,209,7035,5998,31.18,202104,0
239	,2022.TW,聚亨,8.31,-0.12,290,20653.83,28616,112.75,202104,1
240	,2023.TW,燁輝,16.05,0.31,2794,93719.67,180081,62.55,202104,0
241	,2024.TW,志聯,18.6,0,42,1698.17,1554,46.86,202106,1
242	,2025.TW,千興,4.92,-1.4,343,6501.17,7647,81.56,202009,1
243	,2027.TW,大成鋼,42.6,0.47,6145,270553.5,483770,53.11,202104,1
244	,2028.TW,威致,27.9,0.9,980,30638.67,58938,80,202011,0
245	,2029.TW,盛餘,24.4,-0.41,260,11233.33,14469,47.78,202104,0
246	,2030.TW,彰源,23.25,0.22,848,53278.33,66403,84.69,202106,1
