符合條件商品
資料日期：2023年  1月  3日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	借融比
執行時間：2023-01-03 23:27 符合檔數(1490)
129	,5251.TW,天鉞電,24.15,1.26,274,24.28,23.06,0.08,0,1.09
130	,4168.TW,醣聯,30.35,-0.33,1131,24.26,5.02,0.09,0,3.83
131	,2498.TW,宏達電,58.1,4.31,25895,24.25,12.53,4.84,0.2,11.56
132	,6133.TW,金橋,22.45,-0.66,1598,24.24,3.14,0.32,0,3.4
133	,1708.TW,東鹼,40.6,1.25,1021,24.19,13.34,0.51,0,3.67
134	,2457.TW,飛宏,39.95,1.27,1284,24.01,5.87,1.39,0.11,4.09
135	,6276.TW,安鈦克,16.75,1.52,166,24,2.87,0.03,0,0.44
136	,3346.TW,麗清,34.75,0.72,326,23.99,3.97,0.12,0,2.55
137	,2497.TW,怡利電,72,2.56,883,23.97,1.3,0.67,1.24,6.51
138	,6223.TW,旺矽,118,4.89,2419,23.94,14.12,0.3,9.14,3.21
139	,2455.TW,全新,69.2,0.29,1345,23.8,27.66,2.35,2.42,4.25
140	,4543.TW,萬在,23.35,0,103,23.72,7.52,0.01,0,0.72
141	,6667.TW,信紘科,59.6,1.19,61,23.71,2.19,0,0,1.08
142	,3624.TW,光頡,39.6,2.06,428,23.66,42.71,1.04,0,2.89
143	,3548.TW,兆利,59.9,-1.16,150,23.63,6.69,0.07,0,0.85
144	,5902.TW,德記,33.95,0.44,8,23.4,1.17,0.16,0,0.14
145	,5608.TW,四維航,25,-0.4,2763,23.25,4.05,1.67,0.01,4.06
146	,8183.TW,精星,53.2,0.76,305,23.22,1.21,0.11,0,2.87
147	,3675.TW,德微,166,3.11,366,23.21,52.09,1.15,2.28,3.09
148	,3708.TW,上緯投控,99.6,4.29,5200,23.19,10.38,0.9,1.41,5.51
149	,4968.TW,立積,113.5,0.89,1711,23.17,23.72,2.15,2.8,9.66
150	,4744.TW,皇將,24.75,0,144,23.08,2.15,0,0,0.46
151	,3205.TW,佰研,40.85,0.37,210,22.8,11.7,0.18,0,2.12
152	,5321.TW,美而快,63.3,0.48,90,22.75,0.97,0.87,0,1.36
153	,1560.TW,中砂,108,2.37,2032,22.74,11.77,0.58,0,7.64
154	,6438.TW,迅得,86.4,1.65,163,22.68,12.89,0.17,0,1.9
155	,1467.TW,南緯,11.15,0.45,6227,22.67,20.16,0.13,0,3.02
156	,1784.TW,訊聯,43.7,-0.46,233,22.67,2.76,0.11,0,0.64
157	,3093.TW,港建*,27.2,0.93,79,22.67,68.02,0,0,0.31
158	,3025.TW,星通,20.45,-0.49,375,22.54,1.5,0.36,0,2.63
159	,1906.TW,寶隆,16.85,0,33,22.48,1.06,0.12,0,0.77
160	,3390.TW,旭軟,18,2.27,209,22.4,2.55,0.68,0,0.94
161	,6290.TW,良維,53.3,0.57,215,22.27,4.94,0.38,0.89,1.36
162	,3504.TW,揚明光,78.5,3.56,903,22.26,1.5,2.2,0.34,4.5
163	,8440.TW,綠電,44.8,2.63,2105,22.26,0.67,2.54,0,2.08
164	,6591.TW,動力-KY,41.7,-0.48,75,22.11,22.54,0.43,1.31,0.9
165	,4162.TW,智擎,128,2.4,7051,21.8,5.48,1.63,4.72,4.27
166	,3615.TW,安可,16.6,0,35,21.76,0.43,0.12,0,0.45
167	,3221.TW,台嘉碩,26,-0.19,318,21.6,4.49,0.16,0,3.02
168	,9944.TW,新麗,20.3,-0.73,73,21.59,1.43,0.02,0,0.25
169	,3356.TW,奇偶,39.5,1.94,1359,21.54,5.8,0.21,0,3.92
170	,3228.TW,金麗科,183.5,1.66,1190,21.5,6.01,1.22,0,7.04
171	,6182.TW,合晶,41.45,1.59,2160,21.46,12.74,0.74,0.07,4.06
172	,3294.TW,英濟,17,0.29,43,21.29,7.45,0.15,0,0.46
173	,4114.TW,健喬,46,-5.54,31085,21.29,9.55,0.79,1.05,3.66
174	,2465.TW,麗臺,41.8,10,10592,21.25,2.4,1.02,0,5.45
175	,3055.TW,蔚華科,24.4,-1.41,76,21.25,1.58,0.04,0,0.61
176	,4303.TW,信立,15.15,-0.98,36,21.24,0.67,0,0,0.47
177	,2371.TW,大同,34.7,0.58,4406,21.16,17,1.88,0.04,2.42
178	,6531.TW,愛普*,174,5.45,2153,21.16,14.63,0.75,0.53,8.47
179	,2484.TW,希華,34.3,1.48,697,21,7.42,0.33,0,4.47
180	,2736.TW,富野,21.95,-2.88,862,20.92,4.88,0.3,0,1.5
181	,2641.TW,正德,18.55,-0.8,1241,20.79,0.08,2.29,0,3.27
182	,5351.TW,鈺創,40.85,3.42,3626,20.78,7.17,1.69,0.02,11.07
183	,8040.TW,九暘,53.2,1.33,381,20.71,1,1.29,0,3.85
184	,1454.TW,台富,13.25,0,117,20.69,0.88,0.03,0,0.16
185	,6417.TW,韋僑,86.9,-0.34,55,20.48,11.19,0,0,0.05
186	,6472.TW,保瑞,434.5,4.83,6549,20.33,15.01,0.39,5.3,4.83
187	,4739.TW,康普,92.7,1.31,301,20.32,2.22,0.04,0.7,4.43
188	,4128.TW,中天,62.1,-0.16,2425,20.3,5.63,0.74,0.14,2.7
189	,3707.TW,漢磊,86.2,1.89,2440,20.18,8.71,0.58,1.38,4.88
190	,4121.TW,優盛,24.6,0.61,4604,20.13,1.1,1.47,0,2.54
191	,3693.TW,營邦,112,-1.75,947,20.08,9.8,0.87,0,1.95
192	,2436.TW,偉詮電,42,1.69,595,20.01,6.5,1.02,0,6.58
193	,6706.TW,惠特,89.2,1.36,218,20,7.09,0.07,0,4.09
194	,4139.TW,馬光-KY,42.15,-0.35,19,19.96,23.61,0,0,0.23
195	,6231.TW,系微,86.9,4.95,568,19.92,15.07,0.32,0,1.51
196	,4566.TW,時碩工業,53.2,4.31,728,19.86,1.7,0.02,0.06,1.59
197	,2406.TW,國碩,18.55,0.82,750,19.58,5.72,0.36,0,3.73
198	,2367.TW,燿華,17.6,2.03,1907,19.54,8.45,0.92,0,4.89
199	,3490.TW,單井,24.2,-0.62,206,19.42,1.24,0.61,0,1.48
200	,6411.TW,晶焱,85.2,1.19,259,19.42,11.29,0.15,0,2.21
201	,4116.TW,明基醫,64.8,1.25,295,19.41,0.61,0.48,0,1.87
