符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
373	,2421.TW,建準,42.95,0.59,706,57.92,4.49
374	,2423.TW,固緯,27.55,0.18,132,71.26,0
375	,2424.TW,隴華,21.25,1.19,54,85.23,0
376	,2425.TW,承啟,30.8,-0.65,6459,75.53,2.67
377	,2426.TW,鼎元,16.6,0,199,42.13,0.26
378	,2427.TW,三商電,12,0.42,85,69.28,0
379	,2428.TW,興勤,124,0,311,64.45,0.88
380	,2429.TW,銘旺科,10.8,-1.37,2,69.32,0
381	,2430.TW,燦坤,43.4,-1.81,196,63.57,0.56
382	,2431.TW,聯昌,9.9,-0.1,146,43.25,0.1
383	,2433.TW,互盛電,48.05,-0.21,9,79.39,0
384	,2434.TW,統懋,28.7,3.24,5,79.24,0
385	,2436.TW,偉詮電,42,1.69,595,20.38,21.75
386	,2438.TW,翔耀,14.25,2.52,71,67.93,0
387	,2439.TW,美律,80.7,1.25,382,32.75,3.36
388	,2440.TW,太空梭,12.05,-0.41,50,66.91,0
389	,2441.TW,超豐,47.9,-0.21,658,71.62,6.98
390	,2442.TW,新美齊,13.2,-0.38,227,57.07,0
391	,2443.TW,昶虹,2.88,2.49,77,55.24,0
392	,2444.TW,兆勁,16.6,0.3,2602,29.69,0
393	,2449.TW,京元電子,36.6,1.1,2407,69.99,17.48
394	,2450.TW,神腦,30.8,0.33,13,79.87,0
395	,2451.TW,創見,66,0,153,71.68,1.2
396	,2453.TW,凌群,25.55,0.2,16,67.1,0.18
397	,2454.TW,聯發科,644,3.04,4509,77.84,21.17
398	,2455.TW,全新,69.2,0.29,1345,54,6.41
399	,2457.TW,飛宏,39.95,1.27,1284,42.26,11.67
400	,2458.TW,義隆,87,1.16,454,53.71,32.43
401	,2459.TW,敦吉,51,-0.39,38,53.17,0
402	,2460.TW,建通,16.55,1.85,91,59.81,1.09
