符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
187	,1730.TW,花仙子,63.5,-0.16,20,0,0,0,5
188	,1731.TW,美吾華,18.95,0,135,3,0,0,7
189	,1732.TW,毛寶,33.2,0.61,5236,15,0,0,11
190	,1733.TW,五鼎,24.45,2.52,805,1,0,0,10
191	,1734.TW,杏輝,28.85,0.52,741,10,0,0,11
192	,1735.TW,日勝化,18.05,0,2,2,0,0,23
193	,1736.TW,喬山,57.9,0.17,140,1,4,4,8
194	,1737.TW,臺鹽,33.2,0,363,0,0,0,11
195	,1742.TW,台蠟,20.15,0.5,67,8,0,0,7
196	,1752.TW,南光,36.1,-0.69,44,0,0,0,8
197	,1760.TW,寶齡富錦,70.3,0.14,485,8,0,0,11
198	,1762.TW,中化生,67.9,3.03,1092,2,1,1,9
199	,1773.TW,勝一,142,3.27,1069,0,2,0,10
200	,1776.TW,展宇,21.4,0.47,78,7,0,0,10
201	,1777.TW,生泰,66,0.61,128,0,0,0,12
202	,1781.TW,合世,16.2,-4.71,346,8,0,0,8
203	,1783.TW,和康生,58.5,0.86,308,14,0,0,11
204	,1784.TW,訊聯,41.7,1.09,106,0,0,0,7
205	,1785.TW,光洋科,50,0.5,6252,5,3,6,13
206	,1786.TW,科妍,50,-0.4,63,0,0,0,12
207	,1788.TW,杏昌,139,0,26,0,0,0,14
208	,1789.TW,神隆,24.15,0.84,288,0,0,0,7
209	,1795.TW,美時,103,0.98,1727,6,5,3,11
210	,1799.TW,易威,16.2,3.18,76,6,0,0,7
211	,1802.TW,台玻,26.55,0.76,5912,9,14,11,9
212	,1805.TW,寶徠,13.75,0,25,5,0,0,10
213	,1806.TW,冠軍,11.45,1.78,813,11,0,0,10
214	,1808.TW,潤隆,59.6,0.85,91,0,0,0,18
215	,1809.TW,中釉,14.4,3.97,10846,8,1,0,10
216	,1810.TW,和成,16.15,0.94,4058,5,0,0,13
217	,1813.TW,寶利徠,18,-0.55,37,0,0,0,6
218	,1815.TW,富喬,16.5,0,1537,5,0,0,12
219	,1817.TW,凱撒衛,36.5,0,26,0,0,0,16
220	,1903.TW,士紙,64.7,-1.82,668,6,0,0,13
221	,1904.TW,正隆,33.85,0.15,1239,1,8,9,10
222	,1905.TW,華紙,23.4,-0.43,3417,10,0,2,10
223	,1906.TW,寶隆,20,0.5,165,2,1,0,11
224	,1907.TW,永豐餘,34.9,1.45,4839,6,7,8,11
225	,1909.TW,榮成,24.55,0,5325,1,8,6,9
226	,2002.TW,中鋼,34.1,0.59,49879,2,30,30,9
227	,2007.TW,燁興,20.9,0.48,2393,19,2,1,10
228	,2008.TW,高興昌,19.95,2.31,117,17,0,0,10
229	,2009.TW,第一銅,43.3,0.93,1093,19,1,0,8
230	,2010.TW,春源,22.35,1.59,1507,9,1,0,8
