符合條件商品
資料日期：2023年  1月  3日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2023-01-03 23:28 符合檔數(1446)
148	,1612.TW,宏泰,16.45,1.23,468,0,0,2,1,3,1,1,2,1,0,0,0,0,0,0,0
149	,1614.TW,三洋電,35.4,-0.14,11,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0
150	,1615.TW,大山,28.45,-0.87,40,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
151	,1617.TW,榮星,15,0.33,16,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
152	,1618.TW,合機,14.45,0.7,623,0,0,1,0,2,0,0,1,0,0,3,0,1,0,0,1
153	,1626.TW,艾美特-KY,16.55,1.22,47,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
154	,1701.TW,中化,31.45,-5.41,23413,0,1,0,0,0,3,1,0,1,2,5,1,0,0,2,0
155	,1702.TW,南僑,45.15,-0.77,64,0,0,0,1,0,1,0,0,0,1,0,3,0,0,1,0
156	,1707.TW,葡萄王,168,0,1074,2,3,4,0,0,6,4,0,1,0,2,6,0,0,5,0
157	,1708.TW,東鹼,40.6,1.25,1021,0,6,0,0,1,0,0,0,1,10,1,0,1,0,3,0
158	,1709.TW,和益,22.35,0.45,642,0,0,0,2,1,1,1,0,0,4,0,0,0,0,2,1
159	,1710.TW,東聯,18.6,0,1268,0,1,2,0,0,0,1,0,1,0,5,3,2,0,3,0
160	,1711.TW,永光,18.4,-0.54,591,0,1,0,0,2,1,1,1,0,5,2,0,0,0,0,0
161	,1712.TW,興農,36.6,0.41,446,0,0,2,0,1,0,0,3,0,0,2,0,1,0,0,0
162	,1713.TW,國化,25,-0.2,65,0,1,0,2,0,0,0,0,0,0,0,5,0,0,1,0
163	,1714.TW,和桐,8.7,-0.57,1437,0,0,0,1,2,0,0,0,1,1,0,0,1,0,1,0
164	,1717.TW,長興,31.2,-0.16,859,1,8,0,0,0,0,0,5,0,1,5,4,11,0,0,0
165	,1718.TW,中纖,8.48,-1.51,3770,0,0,0,1,0,0,0,4,3,3,0,1,4,0,0,0
166	,1720.TW,生達,59.4,-3.41,6889,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,0
167	,1721.TW,三晃,14.7,-0.68,328,1,0,1,3,0,0,0,3,5,0,0,2,0,0,0,0
168	,1722.TW,台肥,53.3,-0.37,1173,2,0,0,1,0,0,6,0,0,1,0,4,2,0,1,1
169	,1723.TW,中碳,105.5,0,91,0,0,0,0,0,0,0,4,0,1,0,1,4,0,0,0
170	,1725.TW,元禎,20.2,0.5,11,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
171	,1726.TW,永記,70.2,-0.14,45,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0
172	,1727.TW,中華化,24.75,1.02,171,0,3,1,0,1,0,0,0,0,0,7,0,0,0,1,0
173	,1730.TW,花仙子,55.3,-0.18,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174	,1731.TW,美吾華,19.75,0,269,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
175	,1732.TW,毛寶,32,-2.14,848,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3
176	,1733.TW,五鼎,25.45,-0.39,223,0,0,0,1,4,3,0,1,0,1,0,0,0,0,0,0
177	,1734.TW,杏輝,32.6,-1.66,2849,0,1,0,0,0,0,0,0,2,5,3,4,1,0,1,0
