符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
121	,1558.TW,伸興,146.5,0.34,30,0.44,0.66,0.45,0.08,0,0.5
122	,1560.TW,中砂,117.5,2.17,15505,0.7,0.58,0.69,0.4,0.53,0.42
123	,1565.TW,精華,319.5,1.43,270,0.49,0.62,0.78,0.59,0.55,0.52
124	,1568.TW,倉佑,23.15,-1.49,236,0.61,0.55,0.41,0,0.37,0.56
125	,1569.TW,濱川,25.3,-1.17,268,0.66,0.66,0.41,0,0.38,0.5
126	,1570.TW,力肯,23.2,1.75,470,0.64,0.5,0.26,0,0.35,0.34
127	,1580.TW,新麥,106.5,0,72,0.41,0.5,0.21,0,0,0.19
128	,1582.TW,信錦,69.9,-0.43,176,0.58,0.7,0.46,0,0.34,0.58
129	,1583.TW,程泰,63.7,0,0,0.2,0.6,0.27,0,0,0.19
130	,1584.TW,精剛,17.4,1.16,155,0.58,0.62,0.23,0,0.56,0.37
131	,1586.TW,和勤,41.2,-1.55,198,0.44,0.58,0.29,0,0.37,0.59
132	,1587.TW,吉茂,25.95,-0.57,93,0.72,0.7,0.21,0,0.33,0.48
133	,1589.TW,永冠-KY,64,2.07,541,0.44,0.54,0.6,0,0.3,0.5
134	,1590.TW,亞德客-KY,981,-2.39,633,0.31,0.65,0.56,0.59,0.52,0.48
135	,1591.TW,駿吉-KY,14.4,1.05,13,0.59,0.55,0,0,0,0
136	,1593.TW,祺驊,84.6,1.68,48,0.6,0.46,0.33,0,0.29,0.48
137	,1595.TW,川寶,45.65,-1.4,121,0.46,0.5,0.22,0,0.2,0.37
138	,1597.TW,直得,88.5,-0.78,125,0.55,0.52,0.63,0.31,0.57,0.57
139	,1598.TW,岱宇,55.3,-0.18,528,0.52,0.72,0.61,0.22,0.52,0.64
140	,1599.TW,宏佳騰,51.1,-1.35,1062,0.65,0.58,0.18,0,0.4,0.35
141	,1603.TW,華電,26.9,0,108,0.58,0.6,0.31,0,0.29,0.51
142	,1604.TW,聲寶,29.95,0,240,0.44,0.76,0.49,0.18,0.33,0.46
143	,1605.TW,華新,26.15,-0.38,4525,0.54,0.66,0.66,0.42,0.64,0.46
144	,1608.TW,華榮,21.65,-0.92,941,0.52,0.46,0.55,0.31,0.6,0.52
145	,1609.TW,大亞,24.95,1.01,3379,0.58,0.52,0.72,0.27,0.59,0.56
146	,1611.TW,中電,21.5,-2.05,12829,0.56,0.64,0.35,0,0.47,0.47
147	,1612.TW,宏泰,26.4,-1.12,1154,0.5,0.74,0.74,0.22,0.48,0.48
148	,1614.TW,三洋電,35.8,-0.28,69,0.63,0.61,0.44,0,0,0.47
149	,1615.TW,大山,32.1,-0.62,52,0.56,0.64,0.22,0,0.05,0.41
150	,1617.TW,榮星,17.85,0,41,0.54,0.56,0.31,0,0,0.36
151	,1618.TW,合機,14.4,-0.69,209,0.58,0.7,0.37,0,0.3,0.37
152	,1626.TW,艾美特-KY,21.55,-3.58,146,0.45,0.55,0.33,0,0.35,0.36
153	,1701.TW,中化,22.6,0.22,342,0.58,0.64,0.59,0.5,0.18,0.5
154	,1702.TW,南僑,49.5,-0.4,383,0.6,0.64,0.49,0.41,0.15,0.5
155	,1707.TW,葡萄王,160.5,0,145,0.44,0.7,0.54,0.11,0.09,0.52
156	,1708.TW,東鹼,34.4,-0.43,2357,0.44,0.68,0.48,0.2,0.61,0.44
157	,1709.TW,和益,23.85,-2.25,8400,0.55,0.6,0.46,0,0.57,0.45
158	,1710.TW,東聯,22.55,0.45,3658,0.68,0.64,0.7,0.2,0.73,0.42
159	,1711.TW,永光,27.8,-2.11,20544,0.64,0.54,0.8,0,0.65,0.46
160	,1712.TW,興農,28,-0.18,898,0.61,0.62,0.38,0,0.42,0.31
161	,1713.TW,國化,24.55,-0.61,95,0.66,0.64,0.32,0,0.1,0.23
