符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
242	,2458.TW,義隆,98.5,-1.5,1842,0.87
243	,6197.TW,佳必琪,53.6,-2.72,2060,0.87
244	,3090.TW,日電貿,57.6,-0.86,753,0.87
245	,2605.TW,新興,23.8,-1.45,2870,0.87
246	,3033.TW,威健,30.3,-1.14,2055,0.87
247	,6470.TW,宇智,70.3,0.28,8916,0.87
248	,2601.TW,益航,9.32,-1.06,3935,0.87
249	,2457.TW,飛宏,74.6,-4.11,46063,0.87
250	,8068.TW,全達,29.5,-3.59,622,0.87
251	,6612.TW,奈米醫材,169,-5.32,6117,0.86
252	,6592.TW,和潤企業,130.5,-1.88,1481,0.86
253	,6148.TW,驊宏資,27.1,-7.51,10457,0.86
254	,3092.TW,鴻碩,38.35,-5.54,5805,0.86
255	,1611.TW,中電,19.15,9.74,13066,0.86
256	,3484.TW,崧騰,47.05,-2.08,776,0.85
257	,2302.TW,麗正,21.5,-3.59,2557,0.85
258	,4931.TW,新盛力,49.15,3.58,10670,0.85
259	,6282.TW,康舒,44.1,1.15,159161,0.85
260	,5531.TW,鄉林,9.9,-1,1214,0.85
261	,1810.TW,和成,27.1,-2.52,48490,0.85
262	,2360.TW,致茂,175.5,0.86,1326,0.85
263	,8222.TW,寶一,54,-7.53,28264,0.85
264	,6548.TW,長科*,43.9,0.23,3508,0.85
265	,2610.TW,華航,19.25,-0.26,19205,0.84
266	,4968.TW,立積,172.5,-5.48,11860,0.84
267	,3029.TW,零壹,56.8,-0.7,11885,0.84
268	,6233.TW,旺玖,26.55,-3.63,1148,0.84
269	,3594.TW,磐儀,54,-2.88,2620,0.84
270	,3005.TW,神基,59.2,-3.74,7399,0.84
271	,2327.TW,國巨,518,-3.18,2801,0.84
272	,3056.TW,總太,48.4,-0.62,3408,0.83
273	,3071.TW,協禧,31.3,0.48,2657,0.83
274	,2363.TW,矽統,17.9,-0.83,1849,0.83
275	,3691.TW,碩禾,115,-4.96,1750,0.83
