符合條件商品
資料日期：2023年  4月 20日
策略,	01主力賣出股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-20 23:58 符合檔數(641)
294	,4746.TW,台耀,82.6,-1.2,1794,1.32
295	,4966.TW,譜瑞-KY,1070,-4.04,1442,1.32
296	,1210.TW,大成,52,-1.14,1373,1.32
297	,2331.TW,精英,23.55,-1.05,4369,1.32
298	,2436.TW,偉詮電,50.6,-2.69,1621,1.31
299	,2201.TW,裕隆,82,-1.44,43764,1.31
300	,1504.TW,東元,44,-2.22,20971,1.31
301	,2375.TW,凱美,73.2,-2.01,1166,1.31
302	,3558.TW,神準,300.5,-3.69,2598,1.31
303	,5608.TW,四維航,26.3,-0.19,1611,1.3
304	,8112.TW,至上,44.25,-0.23,970,1.3
305	,2705.TW,六福,17.9,-1.1,1118,1.3
306	,2495.TW,普安,26.5,-3.64,10359,1.3
307	,3663.TW,鑫科,35.2,-4.99,735,1.3
308	,1802.TW,台玻,20.3,-4.02,9295,1.3
309	,8046.TW,南電,255,0.39,4239,1.3
310	,2405.TW,輔信,12.85,-3.02,3519,1.29
311	,6782.TW,視陽,303,-7.62,2250,1.29
312	,3491.TW,昇達科,172,-2.82,1987,1.29
313	,5309.TW,系統電,43.5,-1.69,6353,1.29
314	,3003.TW,健和興,78.3,-1.14,4209,1.29
315	,3540.TW,曜越,41.4,-5.8,2289,1.28
316	,2412.TW,中華電,125,0.4,8924,1.28
317	,2303.TW,聯電,50.7,-0.98,38506,1.28
318	,5488.TW,松普,13.8,-1.78,980,1.28
319	,9939.TW,宏全,98.7,-1.2,903,1.28
320	,4164.TW,承業醫,70.7,-4.2,12836,1.28
321	,6863.TW,永道-KY,215.5,-9.07,2140,1.28
322	,5388.TW,中磊,85.5,-2.95,3715,1.28
323	,3027.TW,盛達,46.15,-4.45,8218,1.28
324	,8084.TW,巨虹,114.5,-2.97,2682,1.28
325	,6202.TW,盛群,71.7,-0.83,495,1.27
326	,1612.TW,宏泰,20.8,-0.95,1169,1.27
327	,4976.TW,佳凌,49.1,-2.39,1395,1.27
328	,8183.TW,精星,56.1,-0.36,1322,1.27
329	,5351.TW,鈺創,45.55,-1.51,4290,1.27
330	,2328.TW,廣宇,38.5,-1.66,6717,1.26
331	,8088.TW,品安,32.9,-2.37,3026,1.26
332	,5371.TW,中光電,76.8,-4.12,6236,1.26
333	,6188.TW,廣明,57.2,-3.05,2793,1.26
334	,1503.TW,士電,95.1,-2.76,6574,1.26
335	,1784.TW,訊聯,57.4,1.23,5905,1.25
336	,5284.TW,jpp-KY,115.5,-2.94,1443,1.25
337	,1312.TW,國喬,20.25,0.25,2209,1.25
338	,1471.TW,首利,10,0.5,7800,1.25
339	,2009.TW,第一銅,34.7,-4.41,6819,1.25
340	,6570.TW,維田,64,-3.47,1466,1.25
341	,8016.TW,矽創,236.5,-1.66,1097,1.25
342	,6741.TW,91APP*-KY,124.5,0,3586,1.24
343	,6243.TW,迅杰,37.6,-0.92,540,1.24
344	,3483.TW,力致,71.5,-1.52,1478,1.24
345	,8299.TW,群聯,394,0.13,900,1.24
346	,8091.TW,翔名,104.5,-5,4162,1.24
347	,6438.TW,迅得,112.5,-0.44,850,1.24
348	,6690.TW,安碁資訊,207.5,-5.68,2737,1.23
349	,2645.TW,長榮航太,111,-6.33,6768,1.23
350	,2342.TW,茂矽,47.3,0.75,6860,1.23
351	,6147.TW,頎邦,67.5,0,1433,1.23
352	,3260.TW,威剛,73.1,-1.62,2895,1.23
353	,2419.TW,仲琦,28.2,-2.08,2412,1.22
354	,3675.TW,德微,308,-1.75,3706,1.22
355	,1305.TW,華夏,25.55,-2.29,2129,1.22
356	,2476.TW,鉅祥,53.8,-5.61,4851,1.22
357	,6719.TW,力智,346,-4.29,4455,1.22
358	,6533.TW,晶心科,477.5,-4.02,2272,1.22
359	,3169.TW,亞信,138,-0.36,3793,1.22
360	,2368.TW,金像電,100,-1.48,5458,1.22
361	,6245.TW,立端,103,-4.63,5760,1.22
362	,6743.TW,安普新,62.5,0.16,1653,1.22
363	,8403.TW,盛弘,35.1,-1.13,1745,1.22
364	,1303.TW,南亞,77,0,3219,1.21
365	,5353.TW,台林,49.9,-5.31,4172,1.21
366	,4977.TW,眾達-KY,121.5,-3.95,6042,1.21
367	,3691.TW,碩禾,115,-4.96,1750,1.21
368	,2363.TW,矽統,17.9,-0.83,1849,1.21
369	,3071.TW,協禧,31.3,0.48,2657,1.21
370	,3056.TW,總太,48.4,-0.62,3408,1.2
371	,2327.TW,國巨,518,-3.18,2801,1.19
372	,3005.TW,神基,59.2,-3.74,7399,1.19
373	,3594.TW,磐儀,54,-2.88,2620,1.19
374	,3029.TW,零壹,56.8,-0.7,11885,1.19
375	,6233.TW,旺玖,26.55,-3.63,1148,1.19
376	,4968.TW,立積,172.5,-5.48,11860,1.19
377	,2610.TW,華航,19.25,-0.26,19205,1.18
378	,6548.TW,長科*,43.9,0.23,3508,1.18
379	,8222.TW,寶一,54,-7.53,28264,1.18
380	,2360.TW,致茂,175.5,0.86,1326,1.18
381	,1810.TW,和成,27.1,-2.52,48490,1.18
382	,5531.TW,鄉林,9.9,-1,1214,1.17
383	,6282.TW,康舒,44.1,1.15,159161,1.17
384	,2302.TW,麗正,21.5,-3.59,2557,1.17
385	,4931.TW,新盛力,49.15,3.58,10670,1.17
386	,3484.TW,崧騰,47.05,-2.08,776,1.17
387	,1611.TW,中電,19.15,9.74,13066,1.17
388	,3092.TW,鴻碩,38.35,-5.54,5805,1.17
389	,6148.TW,驊宏資,27.1,-7.51,10457,1.16
390	,6592.TW,和潤企業,130.5,-1.88,1481,1.16
391	,6612.TW,奈米醫材,169,-5.32,6117,1.16
392	,8068.TW,全達,29.5,-3.59,622,1.16
393	,2457.TW,飛宏,74.6,-4.11,46063,1.16
394	,2601.TW,益航,9.32,-1.06,3935,1.15
395	,6470.TW,宇智,70.3,0.28,8916,1.15
396	,3033.TW,威健,30.3,-1.14,2055,1.15
397	,2605.TW,新興,23.8,-1.45,2870,1.15
398	,3090.TW,日電貿,57.6,-0.86,753,1.15
399	,6197.TW,佳必琪,53.6,-2.72,2060,1.14
400	,2458.TW,義隆,98.5,-1.5,1842,1.14
401	,6122.TW,擎邦,32.6,-5.78,8754,1.14
402	,6841.TW,長佳智能,118.5,-1.66,9454,1.14
403	,2362.TW,藍天,30.55,-1.61,611,1.14
404	,6209.TW,今國光,32.5,-2.55,2629,1.14
405	,2379.TW,瑞昱,385,-0.52,2292,1.14
406	,6278.TW,台表科,100,1.21,1576,1.14
407	,3704.TW,合勤控,42.85,-5.62,17541,1.14
408	,2329.TW,華泰,20.85,-2.11,3310,1.13
409	,2472.TW,立隆電,65.7,-1.35,914,1.13
410	,6223.TW,旺矽,135,-2.17,2996,1.13
411	,3011.TW,今皓,31.3,6.83,8403,1.13
412	,6139.TW,亞翔,45.2,-3.21,2246,1.13
413	,6213.TW,聯茂,74.1,-0.67,981,1.13
414	,6799.TW,來頡,166,-8.29,4325,1.13
415	,6811.TW,宏碁資訊,244,-4.69,2969,1.12
416	,6547.TW,高端疫苗,68.5,-1.3,7131,1.12
417	,3305.TW,昇貿,52.1,-3.34,2296,1.12
418	,4961.TW,天鈺,163.5,-5.76,9786,1.11
419	,6111.TW,大宇資,67,0,1316,1.11
420	,6235.TW,華孚,95.4,-4.22,36221,1.11
421	,2353.TW,宏碁,29.7,-0.34,9861,1.11
422	,1783.TW,和康生,59.7,-3.86,8960,1.1
423	,3264.TW,欣銓,55.8,-1.24,5919,1.1
424	,3362.TW,先進光,96,-2.54,3548,1.1
425	,4906.TW,正文,32.1,-1.23,4173,1.1
426	,4174.TW,浩鼎,87.6,-3.42,1483,1.09
427	,3081.TW,聯亞,128,-0.78,907,1.09
428	,2603.TW,長榮,170.5,1.49,19690,1.09
429	,6160.TW,欣技,31.65,-5.24,9119,1.09
430	,2542.TW,興富發,41.85,-0.36,2087,1.09
431	,5289.TW,宜鼎,297,-2.94,1758,1.09
432	,4123.TW,晟德,50.1,-0.6,14472,1.09
433	,3443.TW,創意,1050,1.94,3606,1.09
434	,5880.TW,合庫金,26.4,-0.75,5510,1.08
435	,8436.TW,大江,219,-4.37,6766,1.08
436	,2754.TW,亞洲藏壽司,169,-8.65,6359,1.08
437	,3044.TW,健鼎,115,-2.54,933,1.08
438	,4190.TW,佐登-KY,103,-0.96,1696,1.08
439	,6134.TW,萬旭,27.75,1.28,13701,1.07
440	,6712.TW,長聖,227.5,-1.09,7306,1.07
441	,2453.TW,凌群,73.6,-5.28,20495,1.07
442	,1795.TW,美時,265,-1.49,18672,1.07
443	,6715.TW,嘉基,151.5,-5.02,1406,1.07
444	,8215.TW,明基材,39.7,-2.34,5030,1.07
445	,3224.TW,三顧,52.5,-1.32,2753,1.07
446	,2915.TW,潤泰全,56.4,-0.53,2573,1.06
447	,3205.TW,佰研,45.8,2.92,5328,1.06
448	,6806.TW,森崴能源,113.5,-4.22,17712,1.06
449	,3037.TW,欣興,135.5,2.26,21484,1.06
450	,6531.TW,愛普*,301,-0.82,5122,1.06
451	,2101.TW,南港,38.4,-1.41,1266,1.06
452	,6538.TW,倉和,108,-5.26,1598,1.06
453	,8033.TW,雷虎,74.6,-2.61,16677,1.06
454	,1514.TW,亞力,50,-2.15,8452,1.05
455	,2347.TW,聯強,61,-1.13,2012,1.05
456	,1721.TW,三晃,14.4,-2.04,722,1.05
457	,4919.TW,新唐,142.5,-0.7,2831,1.05
458	,4175.TW,杏一,104,-4.59,990,1.04
459	,3380.TW,明泰,39.3,1.16,7542,1.04
460	,4714.TW,永捷,11.8,-1.67,448,1.04
461	,5439.TW,高技,63.7,0,1515,1.04
462	,6234.TW,高僑,29.7,-4.96,3658,1.04
463	,3324.TW,雙鴻,239,-1.65,4430,1.04
464	,8086.TW,宏捷科,90.6,-3.72,3210,1.03
465	,2413.TW,環科,39.95,-2.8,5058,1.03
466	,6666.TW,羅麗芬-KY,89.3,-3.25,986,1.03
467	,5227.TW,立凱-KY,73,3.55,5761,1.03
468	,5871.TW,中租-KY,225,-1.75,1715,1.03
469	,6274.TW,台燿,65,-2.26,3848,1.03
470	,4904.TW,遠傳,77.4,-0.13,3038,1.03
471	,6491.TW,晶碩,436,-1.13,899,1.02
472	,6177.TW,達麗,31.6,0.8,1020,1.02
473	,1806.TW,冠軍,9.25,0.98,1296,1.02
