符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
318	,2344.TW,華邦電,25.5,-1.16,21229,0
319	,2345.TW,智邦,298.5,-6.57,4602,1
320	,2347.TW,聯強,61,-1.13,2012,0
321	,2348.TW,海悅,68,-0.29,39,0
322	,2349.TW,錸德,9.21,-1.29,1760,1
323	,2351.TW,順德,135.5,3.83,4381,3
324	,2352.TW,佳世達,32.75,-0.15,5354,0
325	,2353.TW,宏碁,29.7,-0.34,9861,0
326	,2354.TW,鴻準,54.4,-1.09,1848,0
327	,2355.TW,敬鵬,32.25,-1.68,1011,0
328	,2356.TW,英業達,32.4,-0.31,10210,0
329	,2357.TW,華碩,276.5,-0.72,1088,0
330	,2358.TW,廷鑫,9.43,-0.84,446,7
331	,2359.TW,所羅門,34.3,-3.38,9997,9
332	,2360.TW,致茂,175.5,0.86,1326,1
333	,2362.TW,藍天,30.55,-1.61,611,0
334	,2363.TW,矽統,17.9,-0.83,1849,0
335	,2364.TW,倫飛,103,-4.19,493,52
336	,2365.TW,昆盈,10.75,-0.46,313,1
337	,2367.TW,燿華,18.15,-2.68,5019,2
338	,2368.TW,金像電,100,-1.48,5458,1
339	,2369.TW,菱生,15.05,-2.9,966,0
340	,2371.TW,大同,32.85,-0.15,4255,0
341	,2373.TW,震旦行,80.2,-0.25,62,0
342	,2374.TW,佳能,20.5,-1.68,650,1
343	,2375.TW,凱美,73.2,-2.01,1166,3
344	,2376.TW,技嘉,134,-0.37,2914,0
345	,2377.TW,微星,145,-1.02,2428,0
346	,2379.TW,瑞昱,385,-0.52,2292,0
347	,2380.TW,虹光,10.15,-1.93,907,10
348	,2382.TW,廣達,85.5,-0.58,12175,0
349	,2383.TW,台光電,173,-1.98,1163,0
350	,2385.TW,群光,95.1,-0.31,1033,0
351	,2387.TW,精元,44.3,-0.78,1236,0
352	,2388.TW,威盛,77.8,-2.02,6065,12
353	,2390.TW,云辰,12.85,-2.28,665,3
354	,2392.TW,正崴,42.35,-2.08,1878,0
355	,2393.TW,億光,39.9,-0.62,621,0
356	,2395.TW,研華,367,-1.87,646,0
357	,2397.TW,友通,69.6,-2.66,126,0
358	,2399.TW,映泰,15.45,-1.9,1205,5
359	,2401.TW,凌陽,24.85,-1.78,1881,1
360	,2402.TW,毅嘉,28.05,-3.77,19181,3
361	,2404.TW,漢唐,210,-0.71,603,1
362	,2405.TW,輔信,12.85,-3.02,3519,5
363	,2406.TW,國碩,19.95,-2.92,4680,0
364	,2408.TW,南亞科,65.5,-2.24,10469,0
365	,2409.TW,友達,18.1,-0.82,28004,0
366	,2412.TW,中華電,125,0.4,8924,0
367	,2413.TW,環科,39.95,-2.8,5058,4
368	,2414.TW,精技,34.65,-0.43,149,0
369	,2415.TW,錩新,25.05,-1.57,118,3
370	,2417.TW,圓剛,23.65,-1.46,331,8
371	,2419.TW,仲琦,28.2,-2.08,2412,7
372	,2420.TW,新巨,44.2,-0.11,270,0
373	,2421.TW,建準,53.3,-0.74,2455,0
374	,2423.TW,固緯,33.5,-2.33,456,0
375	,2424.TW,隴華,22.2,-1.99,20,7
376	,2425.TW,承啟,32.6,-1.66,2210,2
377	,2426.TW,鼎元,18.95,-2.82,965,1
378	,2427.TW,三商電,14.95,-1.97,3915,2
379	,2428.TW,興勤,155,-1.27,527,2
380	,2429.TW,銘旺科,19.2,-3.03,124,10
381	,2430.TW,燦坤,42.1,-0.47,231,2
382	,2431.TW,聯昌,11.5,-0.43,503,1
383	,2433.TW,互盛電,53.2,-0.56,39,0
384	,2434.TW,統懋,30.3,2.19,17,2
385	,2436.TW,偉詮電,50.6,-2.69,1621,1
386	,2438.TW,翔耀,26.2,0.96,594,2
387	,2439.TW,美律,88.1,-0.68,504,1
388	,2440.TW,太空梭,11.55,-1.28,263,5
389	,2441.TW,超豐,54.3,-0.37,726,0
390	,2442.TW,新美齊,16.15,-0.62,1095,0
391	,2443.TW,昶虹,3.99,-0.25,178,11
392	,2444.TW,兆勁,16.9,-4.79,2054,9
393	,2449.TW,京元電子,46,-0.33,7158,0
394	,2450.TW,神腦,34.6,-1.7,238,0
395	,2451.TW,創見,70.6,-0.56,447,0
396	,2453.TW,凌群,73.6,-5.28,20495,10
397	,2454.TW,聯發科,673,-0.3,10238,0
398	,2455.TW,全新,100,0.91,9825,2
399	,2457.TW,飛宏,74.6,-4.11,46063,5
400	,2458.TW,義隆,98.5,-1.5,1842,0
401	,2459.TW,敦吉,57,-0.7,106,0
402	,2460.TW,建通,22.85,-4.19,1048,6
403	,2461.TW,光群雷,22.4,-1.54,520,1
404	,2462.TW,良得電,31.8,-3.93,814,6
405	,2464.TW,盟立,37.8,-0.4,196,0
406	,2465.TW,麗臺,38.2,-1.29,376,9
407	,2466.TW,冠西電,34.9,0,17,1
408	,2467.TW,志聖,48.25,-0.21,79,1
