符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
178	,1736.TW,喬山,58.3,-0.51,409,0.17,7.68,2.81,0.03
179	,1737.TW,臺鹽,32.95,-0.15,503,0,10.94,2.15,0
180	,1742.TW,台蠟,20.2,-0.74,80,1,0.39,40.94,0
181	,1752.TW,南光,34.6,-0.14,57,0,1.13,3.62,0
182	,1760.TW,寶齡富錦,68.6,-2.14,558,0.27,2.91,18.46,0
183	,1762.TW,中化生,65.2,-0.46,908,0.08,10.19,27.27,1.61
184	,1773.TW,勝一,133,-0.37,331,0.01,4,1.01,0.07
185	,1776.TW,展宇,23.1,1.32,368,0.43,1.11,7.83,0.08
186	,1777.TW,生泰,68.6,-0.29,35,0,0.2,2.25,0
187	,1783.TW,和康生,50.8,-1.36,430,0.07,10.77,11.38,0
188	,1784.TW,訊聯,42.6,-1.39,264,0,3.15,19.32,0
189	,1785.TW,光洋科,50,-0.2,5543,0.16,8.26,22.08,1.76
190	,1786.TW,科妍,48.8,-0.51,41,0.01,0.38,5.97,0
191	,1788.TW,杏昌,137.5,0,22,0.05,11.04,0.15,0
192	,1789.TW,神隆,24.8,0.2,338,0,3.93,2.3,0
193	,1795.TW,美時,94,1.4,1472,0.17,74.73,15.98,1.09
194	,1802.TW,台玻,27.3,-0.73,6777,0.25,12.31,2.8,0.9
195	,1806.TW,冠軍,10.75,0,279,0.02,9.77,8.28,0
196	,1808.TW,潤隆,59.9,0.84,194,0,5.01,4.58,0
197	,1809.TW,中釉,14.55,-0.68,998,0.05,2.16,12.28,0.09
198	,1810.TW,和成,14.25,0.35,1288,0.22,4.95,35.64,0.1
199	,1813.TW,寶利徠,17.8,0.85,43,0,10.22,1.3,0
200	,1815.TW,富喬,17.5,1.74,5387,3.52,5.75,19.68,0
201	,1817.TW,凱撒衛,34.9,-0.14,9,0,2.66,6.9,0.41
202	,1903.TW,士紙,68.5,0.44,364,0.03,18.7,3.36,0
203	,1904.TW,正隆,34,2.41,3902,0.03,9.91,1.88,0.65
204	,1905.TW,華紙,22.2,2.78,8694,0.55,2.82,5.47,0
205	,1906.TW,寶隆,19.85,2.32,1158,0.04,1.54,16.04,0
206	,1907.TW,永豐餘,32,2.56,4280,0.07,17.17,3.24,0.07
207	,1909.TW,榮成,24,3.23,11167,0.07,11.21,8.46,0.74
208	,2002.TW,中鋼,33.6,-0.3,36232,0.03,21.88,2.33,1.08
209	,2006.TW,東和鋼鐵,40.4,1.25,4251,0.06,15.67,6.32,0.86
210	,2007.TW,燁興,22.35,-0.89,4650,5.79,0.65,19.64,0
211	,2008.TW,高興昌,18.4,-1.08,146,0.02,7.71,1.92,0
212	,2009.TW,第一銅,45.2,-0.11,2759,6.7,2.58,13.8,0
213	,2010.TW,春源,22.7,0.22,2979,0.08,6.02,6.32,0
214	,2012.TW,春雨,28.8,0,225,0.11,1.9,3.49,0
215	,2013.TW,中鋼構,55.5,-1.77,1341,5.26,11.84,20.31,0
216	,2014.TW,中鴻,35.1,0.72,11733,1.08,8.69,13.17,0
217	,2015.TW,豐興,78.3,-0.13,458,0.03,11.93,0.28,0.06
218	,2017.TW,官田鋼,20.4,-0.49,1883,0.35,17.15,6.03,0
219	,2020.TW,美亞,30.35,-0.16,671,0.08,2.99,7.69,0
220	,2023.TW,燁輝,24.8,-0.2,12447,0.92,7.43,6.83,0.23
221	,2024.TW,志聯,18.05,-4.24,694,0.01,1.89,5.43,0
222	,2027.TW,大成鋼,44.15,-1.78,27482,1.16,16.42,12.31,0.38
223	,2028.TW,威致,36.1,-1.5,1494,1.73,1.8,11.82,0
224	,2029.TW,盛餘,33.3,-0.3,1851,0.19,70.03,10.94,0
225	,2030.TW,彰源,28.55,0.35,4720,0.58,4.93,22.63,0
226	,2031.TW,新光鋼,58.2,-1.36,4273,0.46,9.48,20.61,0.05
227	,2032.TW,新鋼,23.6,-2.07,1186,0.7,1.55,13.27,0
228	,2033.TW,佳大,16.3,-0.91,316,0.01,0.92,7.32,0
229	,2034.TW,允強,31.55,-0.32,1640,0.07,8.35,9.59,0.08
230	,2035.TW,唐榮,37.25,9.88,262,0,0.02,0.45,0
231	,2038.TW,海光,32.7,0,3709,2.03,6,20.65,0
232	,2049.TW,上銀,309,0.32,692,0.08,51.05,1.7,0.23
233	,2059.TW,川湖,427,1.43,272,0.01,17.82,2.87,0.54
234	,2062.TW,橋椿,28.15,1.99,657,0,10.38,8.56,0.44
235	,2063.TW,世鎧,35.1,0,44,0.03,1.36,2.65,0
236	,2064.TW,晉椿,18.4,0.27,55,0.01,0.22,4.46,0
237	,2065.TW,世豐,46.8,0.32,194,0.74,1.71,1.83,0
238	,2066.TW,世德,51.3,-0.77,12,0,10.4,1.26,0
239	,2069.TW,運錩,31.1,0.81,2011,1.09,1.71,19.51,0
240	,2070.TW,精湛,32.45,-1.67,62,0,0.77,3.12,0
241	,2101.TW,南港,40,-0.99,3670,0.03,5.89,19.86,0
242	,2102.TW,泰豐,26.9,-0.74,1132,0.07,6.03,5.28,0
243	,2103.TW,台橡,32.05,2.4,5543,0.16,30.52,3.98,0.03
244	,2104.TW,國際中橡,24,-1.23,3672,0.02,12.16,3.91,0.02
245	,2105.TW,正新,34.1,-1.87,6064,0.01,15.96,1.12,0.1
246	,2106.TW,建大,30.6,-1.13,1547,0,7.58,1.29,0
247	,2107.TW,厚生,22.55,-0.66,545,0.01,10.88,2.6,0.06
