符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
324	,2352.TW,佳世達,27.8,-1.24,2911,1,2
325	,2353.TW,宏碁,23.65,0.42,5704,0,2
326	,2354.TW,鴻準,51.3,-1.16,2552,5,2
327	,2355.TW,敬鵬,28.85,0.35,169,0,2
328	,2356.TW,英業達,26.1,-0.57,5224,0,2
329	,2357.TW,華碩,270,0.56,1059,12,2
330	,2358.TW,廷鑫,14.05,0,524,5,1
331	,2359.TW,所羅門,27.2,4.21,4780,2,2
332	,2360.TW,致茂,182,0.55,240,0,2
333	,2362.TW,藍天,30.6,0,64,3,1
334	,2363.TW,矽統,16.2,-0.31,1263,5,1
335	,2364.TW,倫飛,101.5,2.42,783,0,2
336	,2365.TW,昆盈,10.25,-1.44,455,0,1
337	,2367.TW,燿華,17.6,2.03,1907,0,1
338	,2368.TW,金像電,89.2,2.76,5622,0,2
339	,2369.TW,菱生,13.05,0.77,329,5,1
340	,2371.TW,大同,34.7,0.58,4406,0,2
341	,2373.TW,震旦行,77.9,0,50,10,2
342	,2374.TW,佳能,20.3,0,327,6,2
343	,2375.TW,凱美,53.9,0.75,133,7,1
344	,2376.TW,技嘉,111,4.23,10764,8,2
345	,2377.TW,微星,122.5,2.51,1701,3,2
346	,2379.TW,瑞昱,289,2.85,1553,3,2
347	,2380.TW,虹光,11.3,1.35,322,3,2
348	,2382.TW,廣達,72.1,-0.28,8341,7,2
349	,2383.TW,台光電,176.5,3.22,1491,2,2
350	,2385.TW,群光,86.1,-0.23,744,2,2
351	,2387.TW,精元,38.15,0.26,287,0,2
352	,2388.TW,威盛,69.1,2.67,10481,3,1
353	,2390.TW,云辰,12.05,-0.41,756,10,1
354	,2392.TW,正崴,37.1,0.54,612,3,2
355	,2393.TW,億光,36.65,-0.81,235,3,2
356	,2395.TW,研華,334,0.91,411,5,2
357	,2397.TW,友通,59,0.17,19,0,2
358	,2399.TW,映泰,13.7,3.01,8033,6,2
359	,2401.TW,凌陽,22.65,1.12,575,0,1
360	,2402.TW,毅嘉,17.9,-1.65,1938,0,2
361	,2404.TW,漢唐,184,0.55,405,0,2
362	,2405.TW,輔信,11.75,1.73,570,3,1
363	,2406.TW,國碩,18.55,0.82,750,3,2
364	,2408.TW,南亞科,53,3.52,7493,0,1
365	,2409.TW,友達,15.45,3,31623,1,1
366	,2412.TW,中華電,113,0,7433,5,2
367	,2413.TW,環科,26,4.84,1117,0,1
368	,2414.TW,精技,30.3,-0.16,18,1,2
369	,2415.TW,錩新,20.15,-1.23,47,4,1
370	,2417.TW,圓剛,22.2,0,210,5,2
371	,2419.TW,仲琦,24.4,1.88,820,1,1
372	,2420.TW,新巨,39.2,-0.13,61,0,2
373	,2421.TW,建準,42.95,0.59,706,0,2
374	,2423.TW,固緯,27.55,0.18,132,0,2
375	,2424.TW,隴華,21.25,1.19,54,0,2
376	,2425.TW,承啟,30.8,-0.65,6459,4,2
377	,2426.TW,鼎元,16.6,0,199,0,2
378	,2427.TW,三商電,12,0.42,85,3,2
379	,2428.TW,興勤,124,0,311,0,1
380	,2429.TW,銘旺科,10.8,-1.37,2,9,2
381	,2430.TW,燦坤,43.4,-1.81,196,7,1
382	,2431.TW,聯昌,9.9,-0.1,146,0,1
383	,2433.TW,互盛電,48.05,-0.21,9,4,2
384	,2434.TW,統懋,28.7,3.24,5,0,1
385	,2436.TW,偉詮電,42,1.69,595,11,2
386	,2438.TW,翔耀,14.25,2.52,71,4,2
387	,2439.TW,美律,80.7,1.25,382,0,1
388	,2440.TW,太空梭,12.05,-0.41,50,2,1
389	,2441.TW,超豐,47.9,-0.21,658,8,2
390	,2442.TW,新美齊,13.2,-0.38,227,0,1
391	,2443.TW,昶虹,2.88,2.49,77,2,2
392	,2444.TW,兆勁,16.6,0.3,2602,0,2
393	,2449.TW,京元電子,36.6,1.1,2407,4,2
394	,2450.TW,神腦,30.8,0.33,13,0,2
395	,2451.TW,創見,66,0,153,1,2
396	,2453.TW,凌群,25.55,0.2,16,2,2
397	,2454.TW,聯發科,644,3.04,4509,6,2
398	,2455.TW,全新,69.2,0.29,1345,1,2
399	,2457.TW,飛宏,39.95,1.27,1284,0,2
400	,2458.TW,義隆,87,1.16,454,14,2
401	,2459.TW,敦吉,51,-0.39,38,2,1
402	,2460.TW,建通,16.55,1.85,91,3,2
403	,2461.TW,光群雷,18.5,0.27,48,5,1
404	,2462.TW,良得電,28.15,-1.23,272,7,2
405	,2464.TW,盟立,38,0.4,96,0,2
