符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
211	,1796.TW,金穎生技,66.9,0,37,-9.96,61.8,261.3,高
212	,1799.TW,易威,16,-0.31,4,-8.31,63.39,11.45,高
213	,1802.TW,台玻,21.35,0.47,5303,-17.73,42.23,20406.5,中
214	,1805.TW,寶徠,10.65,0,0,-24.47,37.43,12.1,低
215	,1806.TW,冠軍,8.85,-1.12,197,-32.18,31.41,412.4,低
216	,1808.TW,潤隆,69.2,-0.43,226,-7.24,75.2,431.5,高
217	,1809.TW,中釉,12.45,0.81,540,-21.2,25.76,608.35,低
218	,1810.TW,和成,18.6,0.54,10813,-20.34,65.23,15957.95,中
219	,1813.TW,寶利徠,22.95,0.66,9,-3.37,58.36,53.1,高
220	,1815.TW,富喬,11.7,0.43,233,-28.22,32.15,740.25,低
221	,1817.TW,凱撒衛,37.9,0.13,15,-2.45,76.75,112.55,高
222	,1903.TW,士紙,49.8,0,19,-24.32,38.71,57.8,低
223	,1904.TW,正隆,27.35,0,278,-25.38,69.05,518.85,低
224	,1905.TW,華紙,16.05,-0.62,410,-33.4,19.88,594.65,低
225	,1906.TW,寶隆,16.85,0,33,-23.23,74.73,330.7,低
226	,1907.TW,永豐餘,24.6,0.61,753,-30.7,21.34,1638.3,低
227	,1909.TW,榮成,16.25,-0.61,4626,-30.26,58.87,3593.85,低
228	,2002.TW,中鋼,30.25,1.51,26160,-24.84,81.73,52463.4,低
229	,2006.TW,東和鋼鐵,51.8,-1.71,945,-37.59,64.04,2209.55,低
230	,2007.TW,燁興,12.5,3.73,4113,-44.2,80.43,4710.9,低
231	,2008.TW,高興昌,18.15,1.68,28,-16.55,74.96,45,中
232	,2009.TW,第一銅,30.15,0.84,1403,-45.48,56.33,3324.9,中
233	,2010.TW,春源,15.9,-0.31,211,-40.67,60.23,708,低
234	,2012.TW,春雨,23.7,-1.25,79,-29.25,63.91,235.2,低
235	,2013.TW,中鋼構,59,0,102,-8.53,70.66,341.95,高
236	,2014.TW,中鴻,27.1,1.31,10104,-44.86,82.06,37237.4,低
237	,2015.TW,豐興,63.9,0.31,102,-35.45,67.19,236.55,低
238	,2017.TW,官田鋼,13.9,0.36,377,-34.28,71.65,1010.1,低
239	,2020.TW,美亞,23.2,1.09,209,-32.66,49.91,281.2,低
240	,2022.TW,聚亨,8.31,-0.12,290,-44.6,46.29,1310.45,低
241	,2023.TW,燁輝,16.05,0.31,2794,-39.89,67.38,8772.75,低
242	,2024.TW,志聯,18.6,0,42,-41.87,46.45,71.25,低
243	,2025.TW,千興,4.92,-1.4,343,-21.9,67.73,377.7,中
244	,2027.TW,大成鋼,42.6,0.47,6145,-24.33,68.43,21182.55,中
245	,2028.TW,威致,27.9,0.9,980,-42.59,64.13,2826.15,低
246	,2029.TW,盛餘,24.4,-0.41,260,-41.97,65.85,692.05,低
247	,2030.TW,彰源,23.25,0.22,848,-44.18,66.26,3058.7,低
248	,2031.TW,新光鋼,43.4,1.17,1381,-44.14,84.79,3683.25,低
249	,2032.TW,新鋼,20.35,0.25,823,-47.14,76.6,2555.25,低
250	,2033.TW,佳大,15.75,0,436,-39.77,72.09,1403.05,低
251	,2034.TW,允強,29.3,1.21,845,-23.4,74.74,1990.85,低
252	,2035.TW,唐榮,31.85,0.31,15,-28.1,50.11,22.55,低
253	,2038.TW,海光,22.05,0.23,995,-39.59,72.58,3906.45,低
254	,2049.TW,上銀,181,-0.82,675,-35.82,56.34,916.15,低
255	,2059.TW,川湖,382.5,-0.39,182,-22.65,8.72,221.2,低
256	,2061.TW,風青,24,-2.64,128,-15.94,31.29,123.65,中
257	,2062.TW,橋椿,22.6,0,124,-21.8,69.19,219.85,低
258	,2063.TW,世鎧,44.1,1.38,360,-0.45,92.38,295,高
259	,2064.TW,晉椿,18,0,5,-46.59,81.73,45,低
260	,2065.TW,世豐,51.6,-0.39,39,-5.49,58.57,77.3,高
261	,2066.TW,世德,73,-0.82,72,-21.34,30.91,168.8,中
262	,2067.TW,嘉鋼,10.65,-2.74,19,-30.16,28.82,22.3,低
263	,2069.TW,運錩,21.3,-0.7,559,-44.68,57.7,1089.15,低
264	,2070.TW,精湛,38,0.13,95,-4.52,62.92,91.9,高
265	,2101.TW,南港,33.1,-1.05,451,-28.51,15.44,412.45,低
266	,2102.TW,泰豐,19.95,-0.25,389,-32.03,48.92,438.8,低
267	,2103.TW,台橡,27.25,0.74,489,-30.4,46.21,898.15,低
268	,2104.TW,國際中橡,19.4,-0.26,637,-32.05,32.31,1607.05,低
269	,2105.TW,正新,34.1,0.59,2189,-14.43,56.17,2112.55,低
270	,2106.TW,建大,30.3,0,368,-22.01,20.06,470.9,低
271	,2107.TW,厚生,21.65,-0.46,99,-4.42,71.26,118.8,高
272	,2108.TW,南帝,37.15,0.27,305,-55.93,53.56,1216.1,低
273	,2109.TW,華豐,14.45,-0.34,104,-11.62,50.78,82,低
274	,2114.TW,鑫永銓,97,-0.21,3,-32.17,63.51,12.6,低
275	,2115.TW,六暉-KY,29.65,0,9,-32.31,39.63,20.1,低
276	,2201.TW,裕隆,63.2,1.94,17978,-10.99,69.91,26517.85,高
277	,2204.TW,中華,50.9,-1.17,810,-21.21,59.5,2313.8,中
278	,2206.TW,三陽工業,33.95,0.3,885,-19.26,18.94,3364.2,中
279	,2207.TW,和泰車,592,0.68,165,-10.3,36.63,209.15,中
280	,2208.TW,台船,19.2,-1.54,1399,-14.48,67.58,3549.5,中
281	,2211.TW,長榮鋼,51.4,-0.39,10218,-21.65,59.44,2676.15,低
282	,2221.TW,大甲,38.25,0.66,25,-15.38,37.91,146.8,中
283	,2227.TW,裕日車,189,0,6,-25.15,42.72,39.75,低
284	,2228.TW,劍麟,74.8,3.03,143,-18.07,35.73,154.95,中
285	,2230.TW,泰茂,32.1,1.26,621,-25.09,69.36,754.55,中
286	,2231.TW,為升,139.5,1.09,326,-22.93,37.82,889.45,低
287	,2233.TW,宇隆,100,-0.99,59,-21.26,69.77,145.45,低
288	,2235.TW,謚源,46.75,-0.21,0,-11.29,33.39,14.4,中
289	,2236.TW,百達-KY,26.05,0.58,1841,-9.71,72.33,1023.75,高
290	,2239.TW,英利-KY,59,0.68,51,-27.96,18.96,67.05,低
291	,2241.TW,艾姆勒,31,0.32,12,-37.12,44.53,27.05,低
292	,2243.TW,宏旭-KY,16.7,2.14,927,-18.54,80.98,577.4,中
293	,2247.TW,汎德永業,211,-0.47,19,-4.95,66.33,30.05,中
294	,2250.TW,IKKA-KY,71.6,0,14,-36.92,48.37,24.05,低
295	,2301.TW,光寶科,64.2,0.63,3481,-9.96,36.36,11501.65,中
296	,2302.TW,麗正,16.75,0.3,162,-18.09,40.82,392.25,中
297	,2303.TW,聯電,41.4,1.72,34838,-26.07,42.65,50911.15,低
298	,2305.TW,全友,26.3,2.94,731,-30.97,16.94,978.9,中
299	,2308.TW,台達電,285.5,-0.35,4621,-6.85,61.41,4481.05,高
300	,2312.TW,金寶,13.5,0,1551,-24.58,22.68,4597.55,低
301	,2313.TW,華通,45.55,2.36,5331,-16.73,39.38,9699.15,中
302	,2314.TW,台揚,39,-0.64,330,-44.68,46.69,701.05,低
303	,2316.TW,楠梓電,27,0.37,25,-20.82,87.93,123.15,中
304	,2317.TW,鴻海,99.1,-0.8,47342,-14.57,15.98,31414.8,低
305	,2321.TW,東訊,6.16,2.5,22,-24.51,67.03,25.8,高
306	,2323.TW,中環,7.36,1.52,1568,-37.09,55.72,2866.05,低
307	,2324.TW,仁寶,23.2,0.65,9711,-14.71,91.78,14985.7,中
308	,2327.TW,國巨,465.5,3.22,1742,-8.55,74.32,2421.3,高
309	,2328.TW,廣宇,38.1,2.14,1781,-8.63,63.13,5816.45,高
310	,2329.TW,華泰,17.65,0.57,898,-27.07,49.31,1999.85,中
311	,2330.TW,台積電,453,1,15311,-30.31,61.54,28620.85,中
312	,2331.TW,精英,21.25,3.16,2345,-21,31.87,2210.15,中
313	,2332.TW,友訊,14.8,-0.34,833,-18.9,38.89,4470.55,低
314	,2337.TW,旺宏,34.25,1.48,3017,-24.14,68.28,14783.05,中
