符合條件商品
資料日期：2021年 11月 22日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-11-22 18:49 符合檔數(1743)
413	,2472.TW,立隆電,66.7,1.21,1146,47.66
414	,2474.TW,可成,160,-0.62,2466,59.85
415	,2476.TW,鉅祥,60.9,-2.56,5719,42.28
416	,2477.TW,美隆電,31.35,5.73,1020,68.26
417	,2478.TW,大毅,67.1,1.21,462,42.28
418	,2480.TW,敦陽科,72.1,-0.14,67,20.07
419	,2481.TW,強茂,108.5,-2.69,34805,51.6
420	,2482.TW,連宇,15.65,0.64,2201,47.65
421	,2483.TW,百容,25.05,1.21,1055,54.91
422	,2484.TW,希華,43.9,2.09,21940,17.66
423	,2485.TW,兆赫,21.9,2.82,7399,22.53
424	,2486.TW,一詮,59.6,-1,17136,30.83
425	,2488.TW,漢平,27.5,0.18,127,35.52
426	,2489.TW,瑞軒,18.4,3.08,10570,28.05
427	,2491.TW,吉祥全,21.9,3.3,396,61.6
428	,2492.TW,華新科,183.5,3.38,8072,55.95
429	,2493.TW,揚博,37.85,0,128,38.24
430	,2495.TW,普安,16.05,3.55,1702,56.35
431	,2496.TW,卓越,50.1,0,12,28.24
432	,2497.TW,怡利電,47.65,9.67,7261,58.28
433	,2498.TW,宏達電,86.7,-1.03,64516,41.45
434	,2501.TW,國建,19.75,0.25,411,79.96
435	,2504.TW,國產,27.15,-1.45,5372,66.69
436	,2505.TW,國揚,25.35,1.2,755,66.1
437	,2506.TW,太設,9.76,0.1,40,72.82
438	,2509.TW,全坤建,18.8,0,168,65.09
439	,2511.TW,太子,13.45,0.75,1311,76.29
440	,2514.TW,龍邦,17.95,0.56,130,86.58
441	,2515.TW,中工,9.08,-0.44,3123,41.49
442	,2516.TW,新建,6.1,0.83,724,45.76
443	,2520.TW,冠德,38.4,-0.39,2511,64.7
444	,2524.TW,京城,43.5,-1.36,308,90.03
445	,2527.TW,宏璟,34.25,1.63,646,75.31
