符合條件商品
資料日期：2021年 12月  3日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-05 18:05 符合檔數(1451)
201	,1815.TW,富喬,16.5,0,1537,0.66,0.63,0.53,0,0.35,0.48
202	,1817.TW,凱撒衛,36.5,0,26,0.52,0.56,0.34,0,0,0.3
203	,1903.TW,士紙,64.7,-1.82,668,0.23,0.58,0.41,0.13,0.2,0.32
204	,1904.TW,正隆,33.85,0.15,1239,0.55,0.58,0.55,0.46,0.41,0.47
205	,1905.TW,華紙,23.4,-0.43,3417,0.54,0.61,0.41,0.29,0.32,0.46
206	,1906.TW,寶隆,20,0.5,165,0.59,0.53,0.28,0.18,0.28,0.41
207	,1907.TW,永豐餘,34.9,1.45,4839,0.55,0.51,0.63,0.4,0.32,0.36
208	,1909.TW,榮成,24.55,0,5325,0.49,0.57,0.58,0.51,0.36,0.44
209	,2002.TW,中鋼,34.1,0.59,49879,0.5,0.67,0.58,0.53,0.41,0.39
210	,2007.TW,燁興,20.9,0.48,2393,0.68,0.59,0.25,0.09,0.32,0.53
211	,2008.TW,高興昌,19.95,2.31,117,0.44,0.45,0.26,0,0.33,0.4
212	,2009.TW,第一銅,43.3,0.93,1093,0.5,0.57,0.38,0.11,0.26,0.41
213	,2010.TW,春源,22.35,1.59,1507,0.57,0.46,0.49,0.15,0.37,0.43
214	,2012.TW,春雨,30.1,0.5,261,0.57,0.53,0.39,0.17,0.33,0.41
215	,2013.TW,中鋼構,55.3,1.84,3115,0.65,0.56,0.48,0,0.4,0.5
216	,2014.TW,中鴻,36.5,0.83,25638,0.47,0.64,0.58,0.49,0.24,0.47
217	,2015.TW,豐興,78.9,0.25,115,0.49,0.51,0.57,0.38,0.31,0.37
218	,2017.TW,官田鋼,19.95,0.25,1011,0.57,0.49,0.46,0.13,0.18,0.45
219	,2020.TW,美亞,31.95,0,640,0.57,0.53,0.36,0.18,0.3,0.33
220	,2023.TW,燁輝,23.9,-0.42,9414,0.45,0.62,0.55,0.17,0.35,0.49
221	,2024.TW,志聯,19.9,-0.25,90,0.5,0.44,0.21,0,0.23,0.34
222	,2027.TW,大成鋼,46.2,-0.22,15393,0.57,0.59,0.59,0.5,0.38,0.54
223	,2028.TW,威致,41.35,0.73,2480,0.79,0.46,0.34,0,0.3,0.63
224	,2029.TW,盛餘,32.35,0.15,1250,0.47,0.58,0.46,0.21,0.33,0.42
225	,2030.TW,彰源,30.7,0.49,6495,0.53,0.51,0.35,0.14,0.28,0.39
226	,2031.TW,新光鋼,57.3,0,1681,0.59,0.62,0.55,0.45,0.38,0.51
227	,2032.TW,新鋼,23.35,0.43,422,0.55,0.49,0.31,0.14,0.27,0.4
228	,2033.TW,佳大,17.2,-0.29,228,0.52,0.46,0.42,0.08,0.25,0.46
229	,2034.TW,允強,31.65,0.16,1467,0.55,0.57,0.52,0.2,0.36,0.43
230	,2035.TW,唐榮,36.05,-0.69,43,0.24,0.32,0.22,0,0.09,0.14
231	,2038.TW,海光,34.55,-0.14,3740,0.57,0.53,0.38,0,0.25,0.47
232	,2049.TW,上銀,282.5,-0.88,785,0.39,0.71,0.69,0.69,0.36,0.43
233	,2059.TW,川湖,490,4.26,336,0.41,0.62,0.48,0.34,0.21,0.5
234	,2062.TW,橋椿,27.3,0.74,142,0.45,0.65,0.28,0,0.34,0.54
235	,2063.TW,世鎧,37.5,0.27,71,0.44,0.36,0.05,0,0.17,0
236	,2064.TW,晉椿,17.95,0,54,0.38,0.31,0,0,0,0
237	,2065.TW,世豐,48.05,0.73,100,0.52,0.53,0.28,0,0.31,0.48
238	,2066.TW,世德,60.7,0.5,66,0.43,0.38,0,0,0,0.11
