符合條件商品
資料日期：2021年 12月  6日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-12-07 02:15 符合檔數(1743)
212	,1795.TW,美時,100.5,-2.43,19869,71.14
213	,1796.TW,金穎生技,44.85,9.93,387,51.1
214	,1799.TW,易威,16.3,0.62,101,71.41
215	,1802.TW,台玻,26.9,1.32,7726,82.42
216	,1805.TW,寶徠,13.75,0,27,72.68
217	,1806.TW,冠軍,11.9,3.93,2658,69.57
218	,1808.TW,潤隆,59.6,0,86,85.09
219	,1809.TW,中釉,14.5,0.69,2663,48.16
220	,1810.TW,和成,16.35,1.24,2719,68.81
221	,1813.TW,寶利徠,18,0,14,27.21
222	,1815.TW,富喬,16.5,0,1460,28.84
223	,1817.TW,凱撒衛,36.6,0.27,24,46.74
224	,1903.TW,士紙,64.9,0.31,189,79.01
225	,1904.TW,正隆,33.7,-0.44,1471,64.83
226	,1905.TW,華紙,23.1,-1.28,2719,71.85
227	,1906.TW,寶隆,20.2,1,381,67.59
228	,1907.TW,永豐餘,34.6,-0.86,2590,77.96
229	,1909.TW,榮成,24.6,0.2,2361,68.63
230	,2002.TW,中鋼,33.9,-0.59,26548,60.39
231	,2007.TW,燁興,20.8,-0.48,1674,75.88
232	,2008.TW,高興昌,19.75,-1,103,84.9
233	,2009.TW,第一銅,43.3,0,899,55.57
234	,2010.TW,春源,22.4,0.22,1100,61.49
235	,2012.TW,春雨,29.9,-0.66,258,71.39
236	,2013.TW,中鋼構,54.7,-1.08,874,67.28
237	,2014.TW,中鴻,37.1,1.64,26372,52.57
238	,2015.TW,豐興,78.8,-0.13,114,81.34
239	,2017.TW,官田鋼,20,0.25,920,64.48
240	,2020.TW,美亞,31.85,-0.31,499,50.79
241	,2022.TW,聚亨,13.9,0,2209,24.9
242	,2023.TW,燁輝,24.1,0.84,6382,68.7
243	,2024.TW,志聯,20,0.5,121,70.25
244	,2025.TW,千興,5.33,0.57,429,29.79
245	,2027.TW,大成鋼,46.2,0,17226,54.96
246	,2028.TW,威致,41.6,0.6,2419,78.15
247	,2029.TW,盛餘,32.3,-0.15,731,69.37
248	,2030.TW,彰源,30.75,0.16,4216,33.43
249	,2031.TW,新光鋼,57.3,0,1184,43.51
250	,2032.TW,新鋼,23.5,0.64,230,46.02
251	,2033.TW,佳大,17.35,0.87,196,54.05
252	,2034.TW,允強,31.7,0.16,902,42.35
253	,2035.TW,唐榮,35.8,-0.69,36,96.5
254	,2038.TW,海光,35.05,1.45,3483,48.8
255	,2049.TW,上銀,286.5,1.42,1453,59.24
256	,2059.TW,川湖,490,0,200,69.67
257	,2061.TW,風青,20.15,0,20,46.57
258	,2062.TW,橋椿,27.3,0,127,60.27
259	,2063.TW,世鎧,36.85,-1.73,178,32.83
260	,2064.TW,晉椿,18.1,0.84,11,75.62
261	,2065.TW,世豐,47.9,-0.31,66,31.23
262	,2066.TW,世德,58.6,-3.46,59,67.99
263	,2067.TW,嘉鋼,12.8,0.39,37,47.57
264	,2069.TW,運錩,35,-0.85,1965,50.95
265	,2070.TW,精湛,34.2,1.48,63,62.54
266	,2101.TW,南港,39.1,-0.13,805,70.12
267	,2102.TW,泰豐,27.8,0,1367,73.87
268	,2103.TW,台橡,33.85,3.04,6895,62.98
269	,2104.TW,國際中橡,25.85,0.98,2580,45.73
270	,2105.TW,正新,34.85,2.35,5088,76.48
271	,2106.TW,建大,30.3,1,670,78.52
272	,2107.TW,厚生,22.65,-0.66,291,49
273	,2108.TW,南帝,84.2,-0.36,1799,68.73
274	,2109.TW,華豐,16.5,0,62,63.86
275	,2114.TW,鑫永銓,120.5,0.42,54,59.63
276	,2115.TW,六暉-KY,39.7,0.89,81,68.27
277	,2201.TW,裕隆,41.55,0.24,1320,63.44
278	,2204.TW,中華,64.7,-0.77,394,74.51
279	,2206.TW,三陽工業,26.3,0.38,353,73.34
280	,2207.TW,和泰車,619,1.14,171,83.73
281	,2208.TW,台船,22.1,0.68,1738,50.28
282	,2211.TW,長榮鋼,52.5,-0.38,307,77.31
283	,2221.TW,大甲,42.7,0.12,659,64.36
284	,2227.TW,裕日車,248.5,-0.2,10,93.54
285	,2228.TW,劍麟,67.2,-0.15,21,53.32
286	,2230.TW,泰茂,13.4,0.37,21,45.64
287	,2231.TW,為升,184.5,1.65,900,57.68
288	,2233.TW,宇隆,95,-0.84,233,26.3
289	,2235.TW,謚源,39,-0.38,6,75.95
290	,2236.TW,百達-KY,26.4,0,5,76.37
291	,2239.TW,英利-KY,81.9,-0.61,158,76.93
292	,2241.TW,艾姆勒,50.4,-0.59,210,47.17
293	,2243.TW,宏旭-KY,19.05,0.53,163,63.46
294	,2247.TW,汎德永業,209,-0.71,27,74.11
295	,2250.TW,IKKA-KY,102.5,-3.3,110,60.04
296	,2301.TW,光寶科,62.1,2.48,7061,78.06
297	,2302.TW,麗正,16.95,-2.02,229,65.26
298	,2303.TW,聯電,67.3,-1.46,135275,69.06
299	,2305.TW,全友,8.73,-0.57,798,57.67
300	,2308.TW,台達電,261,-0.19,4449,80.83
301	,2312.TW,金寶,13.25,0.38,6195,51.65
302	,2313.TW,華通,42.9,4.13,18871,57.81
303	,2314.TW,台揚,77.6,-0.77,1850,33.6
304	,2316.TW,楠梓電,29.1,0,160,46.12
305	,2317.TW,鴻海,106.5,1.43,22958,71.02
306	,2321.TW,東訊,6.15,-3.45,5,35.27
307	,2323.TW,中環,8.95,-0.56,2422,35.12
308	,2324.TW,仁寶,23.85,2.36,17469,67.07
309	,2327.TW,國巨,465,-1.59,2946,47.4
310	,2328.TW,廣宇,38.55,1.45,2325,35.17
311	,2329.TW,華泰,25.75,-0.39,4214,43.96
312	,2330.TW,台積電,600,-1.32,24475,88.58
313	,2331.TW,精英,23,-1.5,2806,59.84
314	,2332.TW,友訊,18.15,-0.27,1151,42.2
315	,2337.TW,旺宏,42.35,-0.12,14525,36.43
316	,2338.TW,光罩,109.5,0,52105,40.74
317	,2340.TW,光磊,60.1,2.21,39848,40.17
318	,2342.TW,茂矽,54.2,9.94,29457,42.66
319	,2344.TW,華邦電,31.9,-2.15,49151,61.34
320	,2345.TW,智邦,283.5,2.35,1629,68.6
321	,2347.TW,聯強,61,2.35,11903,77.82
322	,2348.TW,海悅,105,0.96,115,71.99
323	,2349.TW,錸德,9.11,-0.76,1614,18.51
324	,2351.TW,順德,163.5,-0.3,2429,69.36
