符合條件商品
資料日期：2021年 12月  6日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-07 02:08 符合檔數(1585)
341	,2380.TW,虹光,13.65,-0.73,2967,13,0,0,11
342	,2382.TW,廣達,87.3,-0.57,4424,0,5,9,17
343	,2383.TW,台光電,275.5,0.36,2830,3,7,12,12
344	,2385.TW,群光,81.8,0.86,2960,0,7,3,9
345	,2387.TW,精元,45.8,-1.4,1075,1,0,5,9
346	,2388.TW,威盛,90,-0.44,16026,11,2,0,19
347	,2390.TW,云辰,21.9,3.79,3175,12,0,0,10
348	,2392.TW,正崴,38.05,-0.26,471,0,1,3,12
349	,2393.TW,億光,51.9,0.19,2459,1,11,0,12
350	,2395.TW,研華,377.5,0.94,1041,0,7,1,17
351	,2397.TW,友通,60,0.17,33,0,0,0,10
352	,2399.TW,映泰,23.15,-2.73,4111,15,0,0,15
353	,2401.TW,凌陽,40.8,-1.09,9227,4,2,1,11
354	,2402.TW,毅嘉,16.55,-0.6,516,1,0,0,10
355	,2404.TW,漢唐,173.5,-1.98,1294,0,6,4,13
356	,2405.TW,浩鑫,12.7,0.4,1587,2,0,0,8
357	,2406.TW,國碩,25.45,2.41,30205,5,0,0,12
358	,2408.TW,南亞科,77.5,-1.65,14634,0,12,10,16
359	,2409.TW,友達,21.1,1.2,65835,4,12,23,13
360	,2412.TW,中華電,114,0.44,3216,0,14,7,16
361	,2413.TW,環科,23.05,3.6,12955,3,0,0,10
362	,2414.TW,精技,39,-0.38,195,1,0,0,12
363	,2415.TW,錩新,46.7,-0.53,3021,5,1,0,11
364	,2417.TW,圓剛,24.9,-1.58,568,3,0,0,12
365	,2419.TW,仲琦,24,-0.41,4071,1,0,0,12
366	,2420.TW,新巨,47.2,1.4,2155,0,0,0,9
367	,2421.TW,建準,41.45,-0.84,830,1,1,0,8
368	,2423.TW,固緯,28.65,1.6,203,1,0,0,5
369	,2424.TW,隴華,22.3,3.24,2,6,0,0,12
370	,2425.TW,承啟,27.35,0,419,2,0,0,16
371	,2426.TW,鼎元,31.9,10,30116,4,1,0,17
372	,2427.TW,三商電,11,-0.45,88,1,0,0,11
373	,2428.TW,興勤,151.5,-1.3,350,1,2,3,8
374	,2429.TW,銘旺科,24.5,-3.54,284,2,0,0,5
375	,2430.TW,燦坤,40.9,-2.15,550,4,1,0,12
376	,2431.TW,聯昌,12.85,-1.53,914,2,0,0,14
377	,2433.TW,互盛電,51.3,0,27,0,0,0,15
378	,2434.TW,統懋,40.15,0.37,24,3,0,0,14
379	,2436.TW,偉詮電,99.3,0.3,16834,3,7,1,13
380	,2438.TW,翔耀,13.9,1.83,123,11,0,0,13
381	,2439.TW,美律,93.7,-0.85,1100,2,0,2,8
382	,2440.TW,太空梭,17.1,3.32,441,16,0,0,7
383	,2441.TW,超豐,78.2,0.51,898,0,9,7,9
384	,2442.TW,新美齊,12.5,9.65,12674,3,0,0,11
385	,2444.TW,兆勁,11.8,-1.67,290,3,0,0,11
386	,2449.TW,京元電子,44.95,1.24,8009,0,7,10,12
387	,2450.TW,神腦,33,0.15,62,0,0,0,9
388	,2451.TW,創見,70.3,0.72,347,0,0,5,7
389	,2453.TW,凌群,27,2.47,1141,4,0,0,15
390	,2454.TW,聯發科,1085,2.36,4651,1,10,7,16
391	,2455.TW,全新,143.5,-2.71,2575,2,3,1,13
392	,2456.TW,奇力新,91.8,-1.29,630,0,5,4,10
393	,2457.TW,飛宏,37.2,2.76,5782,16,0,0,12
394	,2458.TW,義隆,160.5,-0.93,1070,1,8,11,11
395	,2459.TW,敦吉,58.4,-0.17,32,0,1,0,17
396	,2460.TW,建通,26.85,-0.74,675,9,2,0,11
397	,2461.TW,光群雷,23.15,1.31,619,1,0,0,15
398	,2462.TW,良得電,28.25,0.71,515,0,0,0,8
399	,2464.TW,盟立,42.25,0.72,272,0,1,1,13
400	,2465.TW,麗臺,71.5,-3.77,4333,29,0,0,10
401	,2466.TW,冠西電,35.5,-1.93,75,0,0,0,27
402	,2467.TW,志聖,50.7,0,226,1,0,0,11
403	,2468.TW,華經,13.15,0.38,14,1,0,0,8
404	,2471.TW,資通,25.45,1.19,73,1,0,0,10
405	,2472.TW,立隆電,67,-1.76,1007,2,0,2,12
406	,2474.TW,可成,152,1.67,2345,0,7,4,5
407	,2476.TW,鉅祥,63.9,1.27,9076,4,2,0,11
408	,2477.TW,美隆電,31.45,0.8,310,3,0,0,16
409	,2478.TW,大毅,66.3,-0.75,197,1,0,0,13
410	,2480.TW,敦陽科,72,0,63,0,1,1,13
411	,2481.TW,強茂,113,1.35,26360,8,18,9,15
412	,2482.TW,連宇,15.8,9.72,8807,6,0,0,16
413	,2483.TW,百容,23.8,-0.83,90,1,0,0,9
414	,2484.TW,希華,39.25,-2.61,6243,4,0,0,15
415	,2485.TW,兆赫,21.25,-0.23,858,5,2,0,10
416	,2486.TW,一詮,53.1,-0.75,4146,11,4,3,11
417	,2488.TW,漢平,27.15,-0.37,57,0,0,0,11
418	,2489.TW,瑞軒,17.95,-0.55,4382,5,3,1,10
419	,2491.TW,吉祥全,21.95,1.39,296,23,0,0,10
420	,2492.TW,華新科,169,-2.03,2870,1,6,17,10
421	,2493.TW,揚博,37.7,0.27,79,0,0,0,3
422	,2495.TW,普安,15.1,0.67,399,11,0,0,13
423	,2496.TW,卓越,49.4,0,9,2,0,0,21
424	,2497.TW,怡利電,77.6,9.92,3543,11,0,0,18
425	,2498.TW,宏達電,86.1,1.06,83684,12,3,1,19
426	,2501.TW,國建,19.35,-0.51,999,0,0,0,17
427	,2504.TW,國產,27.25,1.3,2660,1,1,2,9
