符合條件商品
資料日期：2021年 12月  6日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-12-07 02:15 符合檔數(1451)
220	,2020.TW,美亞,31.85,-0.31,499,0.04,3.56,7.36,0
221	,2023.TW,燁輝,24.1,0.84,6382,0.33,5.3,8.26,0
222	,2024.TW,志聯,20,0.5,121,0.14,1.63,4.59,0
223	,2027.TW,大成鋼,46.2,0,17226,0.52,16.48,13.4,0.28
224	,2028.TW,威致,41.6,0.6,2419,2.48,0.68,15.56,0
225	,2029.TW,盛餘,32.3,-0.15,731,0.09,69.49,11.06,0
226	,2030.TW,彰源,30.75,0.16,4216,0.95,3.57,25.42,0
227	,2031.TW,新光鋼,57.3,0,1184,0.28,8.72,19.49,0
228	,2032.TW,新鋼,23.5,0.64,230,0.74,1.1,13.16,0
229	,2033.TW,佳大,17.35,0.87,196,0.07,0.62,7.77,0
230	,2034.TW,允強,31.7,0.16,902,0.07,8.53,9.18,0.08
231	,2035.TW,唐榮,35.8,-0.69,36,0,0.02,0.49,0
232	,2038.TW,海光,35.05,1.45,3483,2.34,1.56,23.97,0
233	,2049.TW,上銀,286.5,1.42,1453,0.05,47.71,3.05,0.28
234	,2059.TW,川湖,490,0,200,0.02,18.74,2.46,0.78
235	,2062.TW,橋椿,27.3,0,127,0,10.8,6.97,0.44
236	,2063.TW,世鎧,36.85,-1.73,178,0,1.44,2.67,0
237	,2064.TW,晉椿,18.1,0.84,11,0,0.25,2.13,0
238	,2065.TW,世豐,47.9,-0.31,66,0.12,1.78,2.08,0
239	,2066.TW,世德,58.6,-3.46,59,0,10.38,2.54,0
240	,2069.TW,運錩,35,-0.85,1965,1.28,1.36,21.4,0
241	,2070.TW,精湛,34.2,1.48,63,0,0.75,3.21,0
242	,2101.TW,南港,39.1,-0.13,805,0.02,5.65,20.16,0.01
243	,2102.TW,泰豐,27.8,0,1367,0.01,5.73,3.68,0.01
244	,2103.TW,台橡,33.85,3.04,6895,0.04,30.57,4.57,0.08
245	,2104.TW,國際中橡,25.85,0.98,2580,0.01,11.37,4.33,0.01
246	,2105.TW,正新,34.85,2.35,5088,0.04,15.05,1.09,0.1
247	,2106.TW,建大,30.3,1,670,0.05,6.96,1.28,0
248	,2107.TW,厚生,22.65,-0.66,291,0,10.68,2.45,0.02
249	,2108.TW,南帝,84.2,-0.36,1799,1.31,14.56,5.82,4.18
250	,2109.TW,華豐,16.5,0,62,0,14.55,2.17,0
251	,2114.TW,鑫永銓,120.5,0.42,54,0,2.38,3.04,0.03
252	,2115.TW,六暉-KY,39.7,0.89,81,0,44.27,0.48,0
253	,2201.TW,裕隆,41.55,0.24,1320,0.02,8.89,5.66,0.71
254	,2204.TW,中華,64.7,-0.77,394,0.08,30.33,0.83,0.18
255	,2206.TW,三陽工業,26.3,0.38,353,0.01,9.27,4.56,0.01
256	,2207.TW,和泰車,619,1.14,171,0,24.32,0.04,0.42
257	,2208.TW,台船,22.1,0.68,1738,0.32,4.92,7.99,0.02
258	,2211.TW,長榮鋼,52.5,-0.38,307,0,0.92,0.33,0
259	,2221.TW,大甲,42.7,0.12,659,0.21,3.83,12.36,0
260	,2228.TW,劍麟,67.2,-0.15,21,0,5.71,4.34,0
261	,2230.TW,泰茂,13.4,0.37,21,0.01,0.23,13.88,0
262	,2231.TW,為升,184.5,1.65,900,0.87,7.28,24.7,0.03
263	,2233.TW,宇隆,95,-0.84,233,0.04,21.74,13.04,1.21
264	,2235.TW,謚源,39,-0.38,6,0,0.05,0.27,0
265	,2236.TW,百達-KY,26.4,0,5,0,35.01,0.97,0.88
266	,2239.TW,英利-KY,81.9,-0.61,158,0.41,75.86,5.3,0.15
267	,2241.TW,艾姆勒,50.4,-0.59,210,0.04,22.7,8.97,0.03
268	,2243.TW,宏旭-KY,19.05,0.53,163,0.88,43.51,3.47,0
269	,2247.TW,汎德永業,209,-0.71,27,0,0.69,0.33,0
270	,2301.TW,光寶科,62.1,2.48,7061,0.03,56.53,0.45,3.9
271	,2302.TW,麗正,16.95,-2.02,229,0.03,4.51,6.78,0
272	,2303.TW,聯電,67.3,-1.46,135275,0.25,44.38,8.2,3.92
273	,2305.TW,全友,8.73,-0.57,798,0,5.79,5.57,0
274	,2308.TW,台達電,261,-0.19,4449,0.11,68.79,0.55,1.17
275	,2312.TW,金寶,13.25,0.38,6195,0.08,8.96,12.62,0.01
276	,2313.TW,華通,42.9,4.13,18871,0.45,15.58,11.62,0.84
277	,2316.TW,楠梓電,29.1,0,160,0.01,26.44,5.55,0
278	,2317.TW,鴻海,106.5,1.43,22958,0.01,48.41,1.49,1.04
279	,2323.TW,中環,8.95,-0.56,2422,0.28,14.17,11.86,0.01
280	,2324.TW,仁寶,23.85,2.36,17469,0.01,56.36,0.69,5.94
281	,2327.TW,國巨,465,-1.59,2946,1.35,52.64,10.71,1.46
282	,2328.TW,廣宇,38.55,1.45,2325,0.15,9.19,16.76,0
283	,2329.TW,華泰,25.75,-0.39,4214,1.03,10.84,19.57,0
284	,2330.TW,台積電,600,-1.32,24475,0,76.54,0.38,1
285	,2331.TW,精英,23,-1.5,2806,0.13,8.2,24.95,0.01
286	,2332.TW,友訊,18.15,-0.27,1151,0.01,8.98,10.42,0.01
287	,2337.TW,旺宏,42.35,-0.12,14525,0.64,23.83,12.35,1.44
288	,2338.TW,光罩,109.5,0,52105,5.71,15.91,41.59,6.75
289	,2340.TW,光磊,60.1,2.21,39848,3.76,15.94,32.07,0.04
290	,2342.TW,茂矽,54.2,9.94,29457,3.49,9.93,49.69,0
291	,2344.TW,華邦電,31.9,-2.15,49151,0.48,23.53,7.68,2.99
292	,2345.TW,智邦,283.5,2.35,1629,0.1,73.47,0.37,1.27
293	,2347.TW,聯強,61,2.35,11903,0.05,40.23,1.56,2.01
294	,2348.TW,海悅,105,0.96,115,0,2.31,6.41,0
295	,2351.TW,順德,163.5,-0.3,2429,2,26.76,6.98,8.61
296	,2352.TW,佳世達,30.25,1,8992,0.04,22.32,3.1,0.35
297	,2353.TW,宏碁,29.75,-1.33,57994,0.46,37.43,5.39,1.2
298	,2354.TW,鴻準,65.5,1.71,3806,0.01,23.37,5.04,1.1
299	,2355.TW,敬鵬,35.1,-2.5,8074,0.28,15.29,8.78,0
300	,2356.TW,英業達,25.55,-0.39,8479,0.02,36.75,0.45,5.65
301	,2357.TW,華碩,365,-0.14,1622,0.03,58.94,1.53,3.27
302	,2358.TW,廷鑫,21.25,-1.16,702,0.34,1.8,47.21,0.07
303	,2359.TW,所羅門,17.2,-0.58,305,0,1.92,10.71,0
304	,2360.TW,致茂,188,3.3,1198,0,69.92,0.55,0.56
305	,2362.TW,藍天,31.6,0.48,485,0,10.65,4.3,0
306	,2363.TW,矽統,26.65,-0.37,10798,0.57,8.27,14.6,0.01
307	,2365.TW,昆盈,11.1,0.91,1247,0.19,6.93,8.1,0
308	,2367.TW,燿華,18.5,0,2514,0.31,7.04,16.85,0.02
309	,2368.TW,金像電,71.5,-2.19,7099,0.99,18.68,15.15,4.7
310	,2369.TW,菱生,26.6,-1.48,7574,1.47,14.91,23.94,0
311	,2371.TW,大同,34.15,-1.3,17562,0.54,21.71,22.92,1.24
312	,2373.TW,震旦行,90,-0.33,8,0,1.96,0.04,0
313	,2374.TW,佳能,23.9,0.21,7262,0.69,6.14,16.2,0
314	,2375.TW,凱美,114.5,-1.72,5802,1.32,10.34,42.96,2.05
315	,2376.TW,技嘉,134.5,-4.61,23355,0.94,40.66,10.83,6.82
316	,2377.TW,微星,163.5,1.24,7626,0.09,49.25,2.52,4.54
317	,2379.TW,瑞昱,577,3.96,2993,0.08,60.34,2.15,2.9
318	,2382.TW,廣達,87.3,-0.57,4424,0.01,32.19,0.3,2.65
319	,2383.TW,台光電,275.5,0.36,2830,0.25,43.12,2.66,5.11
320	,2385.TW,群光,81.8,0.86,2960,0,43.02,1.97,4.27
321	,2387.TW,精元,45.8,-1.4,1075,0.01,4.04,14.86,1.95
322	,2388.TW,威盛,90,-0.44,16026,3.82,9.62,12.08,0.01
323	,2390.TW,云辰,21.9,3.79,3175,0.57,2.34,23.83,0
324	,2392.TW,正崴,38.05,-0.26,471,0.01,11.91,4.11,0
325	,2393.TW,億光,51.9,0.19,2459,0.13,38.62,7.22,0.08
326	,2395.TW,研華,377.5,0.94,1041,0,43.43,0.03,0.58
327	,2397.TW,友通,60,0.17,33,0,23.88,2.91,0
328	,2399.TW,映泰,23.15,-2.73,4111,0.45,10.28,23.85,0
329	,2401.TW,凌陽,40.8,-1.09,9227,1.05,15.31,17.49,0.01
330	,2402.TW,毅嘉,16.55,-0.6,516,0,12.51,11.05,0.01
331	,2404.TW,漢唐,173.5,-1.98,1294,0.73,29.11,4.64,3.82
332	,2406.TW,國碩,25.45,2.41,30205,1.39,6,25.19,0
333	,2408.TW,南亞科,77.5,-1.65,14634,0.51,20.74,2.22,1.94
334	,2409.TW,友達,21.1,1.2,65835,0.97,31.94,12.43,3.97
335	,2412.TW,中華電,114,0.44,3216,0,17.19,0.03,0.6
336	,2413.TW,環科,23.05,3.6,12955,0.16,1.17,13.1,0
337	,2414.TW,精技,39,-0.38,195,0.02,9.72,0.7,0.07
338	,2415.TW,錩新,46.7,-0.53,3021,1.07,3.55,17.55,0
339	,2417.TW,圓剛,24.9,-1.58,568,1.62,2.95,19.16,0
340	,2419.TW,仲琦,24,-0.41,4071,0.62,3.23,9.53,0
341	,2420.TW,新巨,47.2,1.4,2155,0.01,8.8,5.01,0.02
342	,2421.TW,建準,41.45,-0.84,830,0.09,19.12,8.09,0.79
343	,2423.TW,固緯,28.65,1.6,203,0.01,3.81,2.12,0.02
