符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
170	,1732.TW,毛寶,31.95,-3.77,2752,0.62,0.5,0.25,0,0.34,0.47,0.51
171	,1733.TW,五鼎,24.4,-0.2,275,0.62,0.65,0.29,0,0.17,0.48,0.63
172	,1734.TW,杏輝,28.75,-0.35,738,0.56,0.54,0.29,0,0.31,0.54,0.52
173	,1735.TW,日勝化,18.15,0.55,6,0.26,0.42,0.23,0,0,0.21,0.43
174	,1736.TW,喬山,57.2,-1.21,274,0.6,0.62,0.69,0.36,0.3,0.54,0.66
175	,1737.TW,臺鹽,33.25,0.15,288,0.49,0.63,0.39,0,0.1,0.4,0.6
176	,1742.TW,台蠟,20.35,0.99,72,0.49,0.48,0.03,0,0.16,0.22,0.45
177	,1752.TW,南光,36,-0.28,21,0.67,0.56,0.41,0,0.24,0.51,0.59
178	,1760.TW,寶齡富錦,70.1,-0.28,347,0.67,0.57,0.64,0.08,0.45,0.6,0.63
179	,1762.TW,中化生,66.7,-1.77,838,0.55,0.67,0.49,0.22,0.37,0.51,0.69
180	,1773.TW,勝一,141.5,-0.35,535,0.64,0.59,0.47,0.17,0.26,0.46,0.61
181	,1776.TW,展宇,21.85,2.1,130,0.38,0.45,0.34,0.25,0.2,0.21,0.47
182	,1777.TW,生泰,67,1.52,67,0.57,0.55,0,0,0.1,0.27,0.54
183	,1783.TW,和康生,58.5,0,531,0.59,0.57,0.48,0,0.31,0.46,0.58
184	,1784.TW,訊聯,42,0.72,73,0.62,0.55,0.16,0,0.23,0.48,0.54
185	,1785.TW,光洋科,50.6,1.2,4165,0.73,0.61,0.47,0.39,0.44,0.45,0.63
186	,1786.TW,科妍,49.8,-0.4,5,0.52,0.51,0.3,0,0.32,0.35,0.54
187	,1788.TW,杏昌,139,0,14,0.35,0.37,0.15,0,0,0.24,0.38
188	,1789.TW,神隆,24.45,1.24,502,0.58,0.56,0.52,0.05,0.29,0.55,0.59
189	,1795.TW,美時,100.5,-2.43,19869,0.61,0.67,0.49,0.3,0.32,0.51,0.71
190	,1802.TW,台玻,26.9,1.32,7726,0.49,0.59,0.57,0.45,0.34,0.44,0.63
191	,1806.TW,冠軍,11.9,3.93,2658,0.53,0.59,0.35,0,0.32,0.35,0.6
192	,1808.TW,潤隆,59.6,0,86,0.44,0.66,0.5,0,0.3,0.41,0.65
193	,1809.TW,中釉,14.5,0.69,2663,0.63,0.49,0.3,0.25,0.32,0.43,0.5
194	,1810.TW,和成,16.35,1.24,2719,0.62,0.65,0.33,0.25,0.27,0.36,0.64
195	,1815.TW,富喬,16.5,0,1460,0.65,0.63,0.52,0,0.35,0.47,0.64
196	,1817.TW,凱撒衛,36.6,0.27,24,0.52,0.56,0.34,0,0,0.3,0.56
197	,1903.TW,士紙,64.9,0.31,189,0.24,0.58,0.41,0.13,0.22,0.32,0.59
198	,1904.TW,正隆,33.7,-0.44,1471,0.55,0.59,0.55,0.45,0.41,0.48,0.63
199	,1905.TW,華紙,23.1,-1.28,2719,0.54,0.61,0.41,0.29,0.32,0.46,0.61
200	,1906.TW,寶隆,20.2,1,381,0.59,0.53,0.29,0.18,0.28,0.41,0.55
201	,1907.TW,永豐餘,34.6,-0.86,2590,0.56,0.51,0.62,0.39,0.32,0.36,0.54
202	,1909.TW,榮成,24.6,0.2,2361,0.48,0.56,0.58,0.5,0.35,0.44,0.62
203	,2002.TW,中鋼,33.9,-0.59,26548,0.5,0.66,0.58,0.52,0.42,0.39,0.68
204	,2006.TW,東和鋼鐵,59.6,-0.91,3774,0.6,0.61,0.57,0.59,0.37,0.4,0.6
205	,2007.TW,燁興,20.8,-0.48,1674,0.69,0.59,0.27,0.09,0.31,0.54,0.58
206	,2008.TW,高興昌,19.75,-1,103,0.43,0.45,0.26,0,0.33,0.41,0.42
207	,2009.TW,第一銅,43.3,0,899,0.5,0.57,0.37,0,0.26,0.4,0.57
208	,2010.TW,春源,22.4,0.22,1100,0.56,0.46,0.5,0.15,0.37,0.44,0.47
209	,2012.TW,春雨,29.9,-0.66,258,0.57,0.53,0.4,0.17,0.33,0.41,0.52
210	,2013.TW,中鋼構,54.7,-1.08,874,0.65,0.56,0.49,0,0.39,0.51,0.57
211	,2014.TW,中鴻,37.1,1.64,26372,0.47,0.64,0.57,0.5,0.24,0.48,0.71
212	,2015.TW,豐興,78.8,-0.13,114,0.5,0.51,0.57,0.38,0.31,0.38,0.54
213	,2017.TW,官田鋼,20,0.25,920,0.57,0.5,0.46,0.13,0.19,0.45,0.5
214	,2020.TW,美亞,31.85,-0.31,499,0.57,0.53,0.37,0.18,0.29,0.33,0.51
215	,2023.TW,燁輝,24.1,0.84,6382,0.45,0.62,0.55,0.17,0.34,0.48,0.61
