符合條件商品
資料日期：2023年  4月 19日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-19 22:52 符合檔數(588)
413	,6117.TW,迎廣,14.9,0.34,53,1.93
414	,6118.TW,建達,35.2,-1.12,658,1.43
415	,6120.TW,達運,11.1,-3.06,2436,2.41
416	,6121.TW,新普,314.5,-1.1,422,1.76
417	,6123.TW,上奇,73.2,-1.48,378,1.44
418	,6126.TW,信音,23.2,0,298,1.52
419	,6129.TW,普誠,36.9,-1.86,9013,1.93
420	,6130.TW,星寶國際,36.2,0.84,66,2.05
421	,6133.TW,金橋,23.05,-1.28,1897,2.05
422	,6136.TW,富爾特,19.55,-0.76,210,1.74
423	,6141.TW,柏承,18.8,0,27,1.69
424	,6142.TW,友勁,14.55,0.69,4160,1.48
425	,6147.TW,頎邦,67.5,-0.59,2486,1.74
426	,6150.TW,撼訊,75,-2.22,561,2.3
427	,6152.TW,百一,12.1,-2.81,2324,2.1
428	,6158.TW,禾昌,27.45,-1.79,121,1.44
429	,6166.TW,凌華,61.2,-0.81,125,1.68
430	,6173.TW,信昌電,40.4,-1.82,361,1.47
431	,6177.TW,達麗,31.35,-1.88,2904,3.94
432	,6182.TW,合晶,45.25,-1.95,7087,1.98
433	,6183.TW,關貿,63.3,-0.31,48,1.43
434	,6185.TW,幃翔,19.35,-2.27,2586,2.06
435	,6187.TW,萬潤,66,-0.75,382,1.86
436	,6189.TW,豐藝,42,0.12,209,1.4
437	,6194.TW,育富,27.3,-0.91,413,1.54
438	,6202.TW,盛群,72.3,-2.95,1577,2.12
439	,6205.TW,詮欣,77.2,-2.28,1514,1.61
440	,6207.TW,雷科,28.7,0,170,2.12
441	,6208.TW,日揚,54.1,0,104,2.17
442	,6213.TW,聯茂,74.6,-2.74,2887,1.78
443	,6214.TW,精誠,81.2,-0.61,243,1.45
444	,6216.TW,居易,27,-0.18,112,1.92
445	,6219.TW,富旺,11.1,0,181,2
446	,6220.TW,岳豐,29,0.17,2640,1.81
447	,6225.TW,天瀚,10.35,-9.21,69,1.89
448	,6227.TW,茂綸,50,-0.6,124,1.51
449	,6237.TW,驊訊,49.2,-1.99,432,1.74
450	,6239.TW,力成,90.4,-2.8,3437,1.69
451	,6240.TW,松崗,24.5,-5.22,335,1.54
452	,6257.TW,矽格,55.2,-0.36,1191,1.39
453	,6261.TW,久元,66.5,-1.04,270,1.83
454	,6264.TW,富裔,7.78,-0.26,105,3.01
455	,6265.TW,方土昶,10.5,-0.94,161,1.55
456	,6269.TW,台郡,100,-0.5,2444,2.46
457	,6275.TW,元山,35.1,-1.13,603,1.65
458	,6276.TW,安鈦克,23.3,-1.69,495,1.53
459	,6278.TW,台表科,98.8,-2.66,2268,1.77
460	,6279.TW,胡連,143,-1.38,737,1.81
461	,6290.TW,良維,68.1,-1.3,2710,1.39
